,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 16:30:16,2021-12-14,APR,Scally Celina M.,"SVP, CHRO",S - Sale,$30.75,-1274,0,-100%,"-$39,176",,,,,APR
1,,2021-12-14 18:03:41,2021-12-14,APR,Blackstone Inc,10%,S - Sale,$29.93,-349527,14187515,-2%,"-$10,459,595",,,,,APR
2,,2021-12-14 18:02:38,2021-12-14,APR,Apria Holdings LLC,10%,S - Sale,$29.93,-349527,14187515,-2%,"-$10,459,595",,,,,APR
3,,2021-12-14 16:30:16,2021-12-10,APR,Litkovitz Mark E.,"EVP, CIO",S - Sale,$31.13,-2458,1907,-56%,"-$76,518",,,,,APR
4,M,2021-12-08 16:23:25,2021-12-03,APR,Figueroa John G.,Dir,S - Sale,$30.00,-21600,500003,-4%,"-$648,041",,,,,APR
5,,2021-12-03 16:15:49,2021-12-01,APR,Walker Robert P.,"EVP, Managed Care",S - Sale,$28.48,-5421,8389,-39%,"-$154,390",,,,,APR
6,D,2021-11-19 19:17:18,2021-11-19,APR,Fyfe Angela,"EVP, Enterprise Services",S - Sale+OE,$30.00,-1707,0,-100%,"-$51,210",,,,,APR
7,D,2021-11-17 20:32:02,2021-11-17,APR,Lee Christopher G,Chief Accounting Officer,S - Sale+OE,$30.11,-1310,0,-100%,"-$39,441",,,,,APR
8,,2021-11-17 17:00:45,2021-11-15,APR,Blackstone Inc,10%,S - Sale,$29.93,-4500000,14537042,-24%,"-$134,662,500",,,,,APR
9,,2021-11-17 17:00:39,2021-11-15,APR,Apria Holdings LLC,10%,S - Sale,$29.93,-4500000,14537042,-24%,"-$134,662,500",,,,,APR
10,D,2021-11-15 16:15:40,2021-11-11,APR,Scally Celina M.,"SVP, CHRO",S - Sale+OE,$30.76,-1283,0,-100%,"-$39,459",,,,,APR
11,,2021-11-15 16:15:33,2021-11-10,APR,Litkovitz Mark E.,"EVP, CIO",S - Sale,$33.92,-2458,4365,-36%,"-$83,370",,,,,APR
12,,2021-11-03 16:15:27,2021-11-01,APR,Figueroa John G.,Dir,S - Sale,$36.92,-21600,521603,-4%,"-$797,574",,,,,APR
13,,2021-11-03 16:15:25,2021-11-01,APR,Walker Robert P.,"EVP, Managed Care",S - Sale,$36.94,-5421,13810,-28%,"-$200,268",,,,,APR
14,,2021-10-25 16:15:26,2021-10-21,APR,Lee Christopher G,Chief Accounting Officer,S - Sale,$34.65,-1524,0,-100%,"-$52,807",,,,,APR
15,,2021-10-25 16:15:20,2021-10-21,APR,Fyfe Angela,"EVP, Enterprise Services",S - Sale,$34.64,-1844,0,-100%,"-$63,876",,,,,APR
16,DM,2021-10-20 18:36:15,2021-08-11,APR,Lee Christopher G,Chief Accounting Officer,S - Sale+OE,$33.84,-3040,1524,-67%,"-$102,869",,,,,APR
17,,2021-10-13 19:14:43,2021-10-11,APR,Litkovitz Mark E.,"EVP, CIO",S - Sale,$32.40,-2458,6823,-26%,"-$79,629",,,,,APR
18,D,2021-10-13 19:11:06,2021-10-13,APR,Scally Celina M.,"SVP, CHRO",S - Sale+OE,$32.35,-1278,0,-100%,"-$41,343",,,,,APR
19,,2021-10-05 16:59:41,2021-10-01,APR,Walker Robert P.,"EVP, Managed Care",S - Sale,$35.41,-5421,19231,-22%,"-$191,936",,,,,APR
20,,2021-10-05 16:55:40,2021-10-01,APR,Figueroa John G.,Dir,S - Sale,$35.40,-21600,543203,-4%,"-$764,587",,,,,APR
21,D,2021-09-21 17:53:28,2021-09-21,APR,Fyfe Angela,"EVP, Enterprise Services",S - Sale+OE,$37.47,-2025,0,-100%,"-$75,877",,,,,APR
22,,2021-09-14 18:38:17,2021-09-10,APR,Litkovitz Mark E.,"EVP, CIO",S - Sale,$37.66,-2458,9281,-21%,"-$92,568",,,,,APR
23,D,2021-09-14 18:33:22,2021-09-13,APR,Scally Celina M.,"SVP, CHRO",S - Sale+OE,$37.08,-1314,0,-100%,"-$48,726",,,,,APR
24,,2021-09-03 16:30:39,2021-09-01,APR,Walker Robert P.,"EVP, Managed Care",S - Sale,$36.59,-5421,24652,-18%,"-$198,373",,,,,APR
25,,2021-09-03 16:30:21,2021-09-01,APR,Figueroa John G.,Dir,S - Sale,$36.60,-21600,564803,-4%,"-$790,456",,,,,APR
26,,2021-08-31 16:31:01,2021-08-27,APR,Morris Debra L,"EVP, CFO",S - Sale,$36.17,-53241,0,-100%,"-$1,925,719",,,,,APR
27,,2021-08-24 17:10:58,2021-08-20,APR,Starck Daniel J,CEO,S - Sale,$35.95,-25983,210426,-11%,"-$934,184",,,,,APR
28,M,2021-08-20 16:30:27,2021-08-18,APR,Starck Daniel J,CEO,S - Sale,$35.22,-52762,236409,-18%,"-$1,858,153",,,,,APR
29,D,2021-08-19 16:11:50,2021-08-18,APR,Fyfe Angela,"EVP, Enterprise Services",S - Sale+OE,$35.04,-1994,0,-100%,"-$69,870",,,,,APR
30,M,2021-08-17 16:27:32,2021-08-13,APR,Starck Daniel J,CEO,S - Sale,$35.15,-58755,289171,-17%,"-$2,065,349",,,,,APR
31,,2021-08-12 16:30:41,2021-08-10,APR,Starck Daniel J,CEO,S - Sale,$30.59,-12500,347926,-3%,"-$382,375",,,,,APR
32,,2021-08-12 16:30:35,2021-08-10,APR,Walker Robert P.,"EVP, Managed Care",S - Sale,$30.64,-5421,30073,-15%,"-$166,099",,,,,APR
33,D,2021-08-12 16:30:25,2021-08-11,APR,Scally Celina M.,"SVP, CHRO",S - Sale+OE,$30.21,-1269,0,-100%,"-$38,336",,,,,APR
34,,2021-08-12 16:30:20,2021-08-10,APR,Figueroa John G.,Dir,S - Sale,$30.61,-21600,586403,-4%,"-$661,176",,,,,APR
35,,2021-08-12 16:30:16,2021-08-10,APR,Litkovitz Mark E.,"EVP, CIO",S - Sale,$30.66,-2458,11739,-17%,"-$75,362",,,,,APR
36,,2021-06-16 21:23:05,2021-06-14,APR,Blackstone Group Inc,10%,S - Sale,$25.38,-5175000,19037042,-21%,"-$131,341,500",,,,,APR
37,,2021-06-16 21:20:07,2021-06-14,APR,Apria Holdings LLC,10%,S - Sale,$25.38,-5175000,19037042,-21%,"-$131,341,500",,,,,APR
38,,2021-02-18 21:12:21,2021-02-16,APR,Blackstone Group Inc,10%,S - Sale,$18.60,-8625000,24212042,-26%,"-$160,425,000",,,,,APR
39,,2021-02-18 20:32:09,2021-02-16,APR,Apria Holdings LLC,10%,S - Sale,$18.60,-8625000,24212042,-26%,"-$160,425,000",,,,,APR
