,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-17 12:04:45,2021-11-16,ATAX,Rogozinski Kenneth,CEO,P - Purchase,$6.58,"+20,000",198381,+11%,"+$131,600",,,,,ATAX
1,M,2021-11-16 16:05:15,2021-11-12,ATAX,Rogozinski Kenneth,CEO,P - Purchase,$6.67,"+25,000",178381,+16%,"+$166,708",,,,,ATAX
2,M,2021-05-14 09:41:17,2021-05-12,ATAX,Rogozinski Kenneth,CEO,P - Purchase,$5.95,"+2,173",96711,+2%,"+$12,929",,,,,ATAX
3,,2021-05-11 08:00:09,2021-05-10,ATAX,Wilson Deborah A,Dir,P - Purchase,$6.20,"+1,339",1339,New,"+$8,303",,,,,ATAX
4,,2020-12-14 08:20:39,2020-12-11,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$4.01,"+6,000",94538,+7%,"+$24,079",,,,,ATAX
5,,2020-12-02 08:59:07,2020-12-01,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$4.15,"+15,000",88538,+20%,"+$62,291",,,,,ATAX
6,,2020-08-24 17:01:46,2020-08-19,ATAX,Rosenberg Stephen,Dir,P - Purchase,$4.66,"+42,500",48200,+746%,"+$198,199",,,,,ATAX
7,,2020-08-19 17:08:42,2020-08-19,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$4.58,"+8,600",73538,+13%,"+$39,407",,,,,ATAX
8,,2020-08-12 10:07:38,2020-08-11,ATAX,Baevsky Jeffrey,Dir,P - Purchase,$4.68,"+5,000",10700,+88%,"+$23,400",,,,,ATAX
9,,2020-08-11 14:40:57,2020-08-10,ATAX,Daffer Chad L,CEO,P - Purchase,$4.48,"+16,740",422499,+4%,"+$75,045",,,,,ATAX
10,,2020-08-10 14:16:51,2020-08-06,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$4.33,"+5,308",64938,+9%,"+$22,971",,,,,ATAX
11,,2020-03-17 08:30:11,2020-03-16,ATAX,Daffer Chad L,CEO,P - Purchase,$6.04,"+6,500",330759,+2%,"+$39,270",,,,,ATAX
12,,2020-03-17 08:30:11,2020-03-16,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$6.15,"+3,000",8000,+60%,"+$18,457",,,,,ATAX
13,,2020-03-13 09:32:38,2020-03-12,ATAX,Rogozinski Kenneth,Chief Investment Officer,P - Purchase,$6.87,"+5,000",5000,New,"+$34,345",,,,,ATAX
14,,2020-03-04 16:30:11,2020-03-03,ATAX,Daffer Chad L,CEO,P - Purchase,$7.69,"+13,200",324259,+4%,"+$101,554",,,,,ATAX
15,,2018-09-07 13:42:19,2018-08-27,ATAX,Roskens Lisa Y,Dir,P - Purchase,$5.95,"+5,965",111408,+6%,"+$35,462",,,,,ATAX
16,,2018-09-07 13:42:19,2018-09-05,ATAX,Roskens Lisa Y,Dir,S - Sale,$5.87,-8500,111408,-7%,"-$49,900",,,,,ATAX
17,,2018-08-17 15:19:00,2018-08-17,ATAX,Daffer Chad L,CEO,P - Purchase,$5.64,"+20,000",316361,+7%,"+$112,800",,,,,ATAX
18,,2018-08-17 12:48:30,2018-08-17,ATAX,Krauss George H,Dir,P - Purchase,$5.64,"+3,228",298775,+1%,"+$18,217",,,,,ATAX
19,,2018-05-29 16:06:41,2018-05-29,ATAX,Carter William S,Dir,P - Purchase,$6.33,+708,21551,+3%,"+$4,482",,,,,ATAX
20,,2018-05-16 16:17:01,2018-05-15,ATAX,Yanney Michael B,Dir,S - Sale,$6.39,-20000,547331,-4%,"-$127,838",,,,,ATAX
21,,2018-03-22 08:57:24,2018-03-20,ATAX,Krauss George H,Dir,P - Purchase,$6.30,"+1,375",293394,0%,"+$8,663",,,,,ATAX
22,,2017-12-19 14:33:42,2017-12-18,ATAX,Jung Patrick J,Director of GP of GP,P - Purchase,$6.00,+200,44671,0%,"+$1,200",,,,,ATAX
