,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 19:59:16,2021-12-15,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$55.21,-25000,36287,-41%,"-$1,380,337",,,,,ATEX
1,,2021-12-06 18:06:20,2021-12-02,ATEX,Gray Timothy,CFO,P - Purchase,$59.64,+100,71715,0%,"+$5,964",,,,,ATEX
2,,2021-11-18 19:05:26,2021-11-17,ATEX,Akhavan Hamid,Dir,P - Purchase,$62.31,"+1,600",10706,+18%,"+$99,690",,,,,ATEX
3,,2021-11-17 20:10:35,2021-11-16,ATEX,Akhavan Hamid,Dir,P - Purchase,$61.04,"+2,500",9106,+38%,"+$152,612",,,,,ATEX
4,,2021-11-09 18:33:41,2021-11-05,ATEX,Ashe Gena L,"GC, Corp Sec",S - Sale,$61.96,-997,34123,-3%,"-$61,777",,,,,ATEX
5,DM,2021-09-20 19:14:57,2021-09-16,ATEX,Schwartz Robert Harris,"Pres, CEO",S - Sale+OE,$56.53,-63188,107329,-37%,"-$3,572,087",,,,,ATEX
6,,2021-09-17 19:08:54,2021-09-15,ATEX,Obrien Morgan E,Exec COB,S - Sale,$56.20,-16895,36287,-32%,"-$949,496",,,,,ATEX
7,DM,2021-09-15 21:19:02,2021-09-13,ATEX,Schwartz Robert Harris,"Pres, CEO",S - Sale+OE,$57.25,-41737,131383,-24%,"-$2,389,255",,,,,ATEX
8,,2021-08-19 18:55:36,2021-08-19,ATEX,Gray Timothy,CFO,P - Purchase,$55.49,+100,71615,0%,"+$5,549",,,,,ATEX
9,,2021-08-19 18:52:54,2021-08-18,ATEX,Daniels Leslie B,Dir,P - Purchase,$55.35,"+1,000",37906,+3%,"+$55,350",,,,,ATEX
10,,2021-08-18 19:12:41,2021-08-16,ATEX,Akhavan Hamid,Dir,P - Purchase,$56.40,"+1,700",6606,+35%,"+$95,882",,,,,ATEX
11,,2021-08-17 18:09:19,2021-08-13,ATEX,Obrien Morgan E,Exec COB,S - Sale,$56.50,-5000,53182,-9%,"-$282,485",,,,,ATEX
12,,2021-08-17 18:03:51,2021-08-13,ATEX,Ashe Gena L,"GC, Corp Sec",S - Sale,$56.11,-2301,35565,-6%,"-$129,109",,,,,ATEX
13,,2021-06-22 21:46:29,2020-11-18,ATEX,Daniels Leslie B,Dir,P - Purchase,$28.81,"+2,000",34072,+6%,"+$57,620",,,,,ATEX
14,DM,2021-06-07 18:00:54,2021-06-03,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$50.06,-31666,78717,-29%,"-$1,585,065",,,,,ATEX
15,,2021-06-01 17:58:39,2021-05-27,ATEX,Schwartz Robert Harris,"Pres, CEO",S - Sale,$48.32,-3409,81383,-4%,"-$164,723",,,,,ATEX
16,,2021-05-25 20:11:47,2021-05-25,ATEX,Gray Timothy,CFO,S - Sale,$47.76,-5347,72568,-7%,"-$255,374",,,,,ATEX
17,,2021-05-24 19:44:45,2021-05-24,ATEX,Obrien Morgan E,Exec COB,S - Sale,$48.58,-1333,78717,-2%,"-$64,752",,,,,ATEX
18,,2021-05-24 19:43:50,2021-05-24,ATEX,Gangeri Elaine,"Chief Acc Officer, Treasurer",S - Sale,$48.65,-854,36646,-2%,"-$41,545",,,,,ATEX
19,,2021-05-24 19:43:00,2021-05-24,ATEX,Ashe Gena L,"GC, Corp Sec",S - Sale,$48.65,-1307,37866,-3%,"-$63,586",,,,,ATEX
20,,2021-03-08 18:21:54,2021-03-05,ATEX,Daniels Leslie B,Dir,P - Purchase,$41.00,"+4,000",32072,+14%,"+$164,000",,,,,ATEX
21,,2021-03-02 18:11:59,2021-02-26,ATEX,Yazdi Mahvash,Dir,P - Purchase,$43.07,"+1,000",2000,+100%,"+$43,070",,,,,ATEX
22,M,2021-03-01 18:04:29,2021-02-25,ATEX,Daniels Leslie B,Dir,P - Purchase,$42.88,"+4,000",28072,+17%,"+$171,500",,,,,ATEX
23,M,2021-02-25 20:30:26,2021-02-23,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$42.47,"+9,606",10817771,0%,"+$407,990",,,,,ATEX
24,,2021-02-24 19:14:58,2021-02-22,ATEX,Daniels Leslie B,Dir,P - Purchase,$42.88,"+3,000",24072,+14%,"+$128,625",,,,,ATEX
25,,2021-02-22 18:18:59,2021-02-19,ATEX,Gray Timothy,CFO,P - Purchase,$44.57,+225,58349,0%,"+$10,029",,,,,ATEX
26,,2021-02-22 18:17:45,2021-02-19,ATEX,Ashe Gena L,"GC, Secretary",S - Sale,$45.04,-948,19607,-5%,"-$42,698",,,,,ATEX
27,,2021-02-19 19:55:16,2021-02-18,ATEX,Guttman-McCabe Christopher,"Chief Reg, Comm Officer",S - Sale,$44.26,-7538,36482,-17%,"-$333,594",,,,,ATEX
28,,2021-02-19 16:17:18,2021-02-17,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$42.93,"+151,117",10681447,+1%,"+$6,486,908",,,,,ATEX
29,,2021-02-17 19:39:17,2021-02-17,ATEX,Gerbrandt Ryan,COO,S - Sale,$42.00,-2018,18794,-10%,"-$84,756",,,,,ATEX
30,,2021-02-17 19:35:56,2021-02-17,ATEX,Gangeri Elaine,"Chief Acc Officer, Treasurer",S - Sale,$42.00,-668,26630,-2%,"-$28,056",,,,,ATEX
31,D,2021-02-17 19:33:47,2021-02-16,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$40.16,-31667,94250,-25%,"-$1,271,902",,,,,ATEX
32,D,2020-12-23 18:13:49,2020-12-21,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$40.17,-31667,94250,-25%,"-$1,272,063",,,,,ATEX
33,,2020-12-16 19:23:12,2020-12-16,ATEX,Guttman-McCabe Christopher,"Chief Reg, Comm Officer",S - Sale,$29.75,-1590,44020,-3%,"-$47,303",,,,,ATEX
34,,2020-12-03 19:32:00,2020-12-01,ATEX,Gangeri Elaine,"Chief Acc Officer, Treasurer",S - Sale,$30.10,-1018,27298,-4%,"-$30,642",,,,,ATEX
35,,2020-11-24 18:25:41,2020-11-23,ATEX,Daniels Leslie B,Dir,P - Purchase,$28.50,"+2,000",21072,+10%,"+$57,000",,,,,ATEX
36,DM,2020-09-08 18:14:10,2020-09-04,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$41.61,-14350,94250,-13%,"-$597,142",,,,,ATEX
37,D,2020-09-03 18:40:09,2020-09-03,ATEX,Schwartz Robert Harris,"Pres, CEO",S - Sale+OE,$42.70,-6493,40850,-14%,"-$277,259",,,,,ATEX
38,,2020-09-02 18:22:17,2020-09-02,ATEX,Gray Timothy,CFO,S - Sale,$42.85,-3338,58124,-5%,"-$143,034",,,,,ATEX
39,,2020-09-02 18:19:16,2020-09-01,ATEX,McAuley Brian,COB Emeritus,S - Sale,$43.38,-3246,332676,-1%,"-$140,813",,,,,ATEX
40,,2020-08-27 17:31:53,2020-08-25,ATEX,Gangeri Elaine,"Chief Acc Officer, Asst Sect",S - Sale,$44.80,-1641,28316,-5%,"-$73,519",,,,,ATEX
41,,2020-08-27 17:30:39,2020-08-25,ATEX,Ashe Gena L,"GC, Secretary",S - Sale,$44.80,-493,19706,-2%,"-$22,087",,,,,ATEX
42,,2020-08-20 20:13:52,2020-08-19,ATEX,Schwartz Robert Harris,"Pres, CEO",S - Sale,$47.03,-409,37215,-1%,"-$19,236",,,,,ATEX
43,D,2020-08-19 20:23:14,2020-08-18,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$44.76,-3030,82591,-4%,"-$135,626",,,,,ATEX
44,DM,2020-08-17 19:06:44,2020-08-13,ATEX,Obrien Morgan E,Exec COB,S - Sale+OE,$44.63,-25544,82591,-24%,"-$1,140,060",,,,,ATEX
45,M,2020-06-15 17:44:20,2020-06-11,ATEX,Akers Thomas Clark,Dir,S - Sale,$52.98,-9800,5095,-66%,"-$519,213",,,,,ATEX
46,M,2020-06-08 17:51:22,2020-06-04,ATEX,Gray Timothy,CFO,S - Sale,$56.18,-5348,55613,-9%,"-$300,431",,,,,ATEX
47,M,2020-06-04 19:19:48,2020-06-02,ATEX,Gangeri Elaine,"Chief Acc Officer, Asst Sect",S - Sale,$53.80,-1801,29957,-6%,"-$96,887",,,,,ATEX
48,M,2020-06-04 19:17:50,2020-06-02,ATEX,Ashe Gena L,"GC, Secretary",S - Sale,$54.22,-1981,20199,-9%,"-$107,410",,,,,ATEX
49,M,2020-05-15 17:21:00,2020-05-13,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$54.20,"+233,353",10318677,+2%,"+$12,648,113",,,,,ATEX
50,,2020-03-23 21:27:56,2020-03-19,NASDA,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$34.05,+300,0,-100%,"+$10,216",,,,,ATEX
51,,2020-03-17 17:29:01,2020-03-13,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$38.82,"+75,200",5017362,+2%,"+$2,919,272",,,,,ATEX
52,M,2020-03-11 17:22:36,2020-03-09,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$45.89,"+90,921",9819090,+1%,"+$4,172,310",,,,,ATEX
53,,2019-10-30 15:10:24,2019-10-28,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$40.49,"+73,900",9630782,+1%,"+$2,991,849",,,,,ATEX
54,M,2019-10-24 18:56:31,2019-10-22,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$38.87,"+16,281",9538701,0%,"+$632,876",,,,,ATEX
55,M,2019-10-21 17:30:47,2019-10-17,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$38.86,"+21,329",9514920,0%,"+$828,902",,,,,ATEX
56,M,2019-10-16 17:03:51,2019-10-11,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$40.12,"+143,582",9339072,+2%,"+$5,760,171",,,,,ATEX
57,,2019-10-15 17:10:00,2019-10-11,ATEX,Feinberg Stephen,10%,S - Sale,$40.50,-115000,1701599,-6%,"-$4,657,500",,,,,ATEX
58,M,2019-10-10 17:25:17,2019-10-08,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$37.41,"+26,439",9172159,0%,"+$989,121",,,,,ATEX
59,M,2019-10-07 17:18:56,2019-10-03,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$37.86,"+16,267",9126469,0%,"+$615,949",,,,,ATEX
60,M,2019-09-30 17:29:32,2019-09-26,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$35.45,"+28,833",9078753,0%,"+$1,022,195",,,,,ATEX
61,M,2019-09-20 16:32:10,2019-09-18,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$39.21,"+6,700",9044619,0%,"+$262,707",,,,,ATEX
62,M,2019-09-17 17:23:37,2019-09-13,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$39.41,"+49,715",8996102,+1%,"+$1,959,051",,,,,ATEX
63,M,2019-09-12 17:26:40,2019-09-10,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$39.25,"+76,883",8873793,+1%,"+$3,017,435",,,,,ATEX
64,,2019-09-03 19:05:39,2019-08-30,ATEX,Feinberg Stephen,10%,S - Sale,$43.50,-1000000,1816599,-36%,"-$43,500,000",,,,,ATEX
65,,2019-08-30 10:21:48,2019-08-30,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$43.50,"+1,000,000",4391312,+29%,"+$43,500,000",,,,,ATEX
66,,2019-08-21 16:36:03,2019-08-20,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$41.99,"+17,000",3391312,+1%,"+$713,830",,,,,ATEX
67,,2019-08-15 18:12:07,2018-08-07,ATEX,Hennessy Mark,Dir,P - Purchase,$28.15,"+5,000",15881,+46%,"+$140,750",,,,,ATEX
68,M,2019-08-06 21:43:33,2019-08-02,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$43.65,"+76,681",6724182,+1%,"+$3,346,890",,,,,ATEX
69,M,2019-08-01 17:11:08,2019-07-30,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$44.47,"+96,861",6524393,+2%,"+$4,307,219",,,,,ATEX
70,M,2019-07-29 17:18:13,2019-07-25,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$44.90,"+41,300",6377340,+1%,"+$1,854,342",,,,,ATEX
71,M,2019-07-24 17:23:08,2019-07-22,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$44.20,"+83,171",6258774,+1%,"+$3,676,124",,,,,ATEX
72,A,2019-07-24 17:02:19,2019-07-17,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$44.99,"+401,830",6093843,+7%,"+$18,076,910",,,,,ATEX
73,M,2019-07-19 17:06:13,2019-07-17,ATEX,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$44.92,"+428,486",6120559,+8%,"+$19,247,340",,,,,ATEX
74,M,2019-06-13 20:00:15,2019-06-11,PDVW,Feinberg Stephen,10%,S - Sale,$48.95,-72843,2816599,-3%,"-$3,565,619",,,,,ATEX
75,M,2019-06-04 20:00:15,2019-05-31,PDVW,Feinberg Stephen,10%,S - Sale,$48.27,-139413,2889442,-5%,"-$6,728,803",,,,,ATEX
76,M,2019-05-30 20:00:28,2019-05-28,PDVW,Feinberg Stephen,10%,S - Sale,$49.90,-477602,3028855,-14%,"-$23,833,108",,,,,ATEX
77,,2019-05-29 18:13:00,2019-05-24,PDVW,McAuley Brian,COB,S - Sale,$50.26,-36000,328521,-10%,"-$1,809,470",,,,,ATEX
78,,2018-09-11 17:35:39,2018-09-10,PDVW,Sidman Thomas J.,GC,P - Purchase,$28.00,+642,24880,+3%,"+$17,976",,,,,ATEX
79,,2018-08-22 21:50:56,2018-08-20,PDVW,Fie II LLC,10%,S - Sale,$31.84,-25100,1449900,-2%,"-$799,295",,,,,ATEX
80,,2018-08-15 17:06:24,2018-08-13,PDVW,Fie II LLC,10%,S - Sale,$32.30,-25000,1475000,-2%,"-$807,500",,,,,ATEX
81,,2018-08-10 17:44:41,2018-08-08,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$28.28,"+19,675",5282846,0%,"+$556,384",,,,,ATEX
82,,2018-08-03 17:00:52,2018-08-01,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$28.69,"+6,583",2627998,0%,"+$188,873",,,,,ATEX
83,M,2018-07-30 18:25:17,2018-07-26,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$27.89,"+34,500",0,-100%,"+$962,359",,,,,ATEX
84,M,2018-07-25 18:07:30,2018-07-23,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$26.10,"+30,773",5153057,+1%,"+$803,050",,,,,ATEX
85,M,2018-07-20 17:28:49,2018-07-18,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$25.13,"+3,600",5111984,0%,"+$90,461",,,,,ATEX
86,M,2018-07-17 17:19:43,2018-07-13,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$26.23,"+3,986",5102306,0%,"+$104,565",,,,,ATEX
87,,2018-07-17 16:37:22,2018-07-13,PDVW,Rohmann Richard E.,"EVP, Secretary",S - Sale,$26.36,-744,22656,-3%,"-$19,611",,,,,ATEX
88,M,2018-07-11 18:09:24,2018-07-09,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$25.98,"+6,464",5091212,0%,"+$167,950",,,,,ATEX
89,,2018-06-14 17:56:05,2018-06-13,PDVW,Sidman Thomas J.,GC,P - Purchase,$24.25,"+1,000",24238,+4%,"+$24,250",,,,,ATEX
90,,2018-06-11 18:12:28,2018-06-08,PDVW,Rohmann Richard E.,"EVP, Secretary",S - Sale,$24.70,-900,23400,-4%,"-$22,229",,,,,ATEX
91,,2018-06-08 17:46:22,2018-06-06,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$23.78,"+50,895",5035089,+1%,"+$1,210,279",,,,,ATEX
92,,2018-05-15 17:48:56,2018-05-11,PDVW,Rohmann Richard E.,"EVP, Secretary",S - Sale,$28.75,-900,24595,-4%,"-$25,871",,,,,ATEX
93,M,2018-04-20 17:07:49,2018-04-18,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$31.77,"+24,052",4963036,0%,"+$764,154",,,,,ATEX
94,,2018-04-17 18:40:25,2018-04-13,PDVW,Rohmann Richard E.,"EVP, Secretary",S - Sale,$29.66,-900,25495,-3%,"-$26,690",,,,,ATEX
95,M,2018-04-17 17:21:04,2018-04-13,PDVW,"Owl Creek Asset Management, L.P.",10%,P - Purchase,$30.00,"+74,048",4862650,+2%,"+$2,221,787",,,,,ATEX
96,,2018-03-12 17:48:26,2018-03-09,PDVW,Rohmann Richard E.,"EVP, Secretary",S - Sale,$37.16,-900,26395,-3%,"-$33,447",,,,,ATEX
