,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 17:00:23,2021-12-17,BBSI,Price Vincent P,Dir,P - Purchase,$66.25,"+1,500",5905,+34%,"+$99,375",,,,,BBSI
1,,2021-11-23 20:33:27,2021-11-22,BBSI,Justesen Jon L,Dir,S - Sale,$76.50,-1457,26420,-5%,"-$111,461",,,,,BBSI
2,,2021-09-01 15:04:10,2021-08-30,BBSI,Meeker Anthony,Dir,S - Sale,$76.17,-2000,16420,-11%,"-$152,338",,,,,BBSI
3,,2021-05-12 15:00:36,2021-05-10,BBSI,Hicks James B,Dir,S - Sale,$79.13,-1361,19923,-6%,"-$107,701",,,,,BBSI
4,D,2021-02-11 14:35:03,2021-02-09,BBSI,Meeker Anthony,Dir,S - Sale+OE,$70.00,-312,16963,-2%,"-$21,840",,,,,BBSI
5,D,2021-01-08 13:21:38,2021-01-06,BBSI,Meeker Anthony,Dir,S - Sale+OE,$70.00,-312,16025,-2%,"-$21,840",,,,,BBSI
6,D,2021-01-06 18:45:58,2020-12-21,BBSI,Meeker Anthony,Dir,S - Sale+OE,$69.21,-2500,15087,-14%,"-$173,025",,,,,BBSI
7,D,2020-12-11 15:52:31,2020-12-09,BBSI,Justesen Jon L,Dir,S - Sale+OE,$70.60,-1000,24420,-4%,"-$70,600",,,,,BBSI
8,,2020-11-17 20:06:38,2020-11-13,BBSI,Justesen Jon L,Dir,S - Sale,$70.50,-3912,24420,-14%,"-$275,796",,,,,BBSI
9,,2020-09-29 16:54:06,2020-09-25,BBSI,Kramer Gary,"Pres, CEO",P - Purchase,$48.90,"+2,063",26954,+8%,"+$100,880",,,,,BBSI
10,D,2020-08-25 19:10:20,2020-08-21,BBSI,Justesen Jon L,Dir,S - Sale+OE,$58.08,-2000,28332,-7%,"-$116,154",,,,,BBSI
11,M,2020-05-15 13:26:23,2020-05-13,BBSI,Carley Thomas J,Dir,S - Sale,$41.35,-2500,22991,-10%,"-$103,375",,,,,BBSI
12,,2020-03-23 17:22:09,2020-03-19,BBSI,Hicks James B,Dir,S - Sale,$27.25,-1983,13459,-13%,"-$54,037",,,,,BBSI
13,,2020-01-10 19:17:21,2020-01-07,BBSI,Kramer Gary,"VP - Finance, Treas., Sec.",S - Sale,$88.27,-486,16194,-3%,"-$42,902",,,,,BBSI
14,D,2020-01-07 14:06:09,2020-01-03,BBSI,Justesen Jon L,Dir,S - Sale+OE,$90.21,-2000,26557,-7%,"-$180,424",,,,,BBSI
