,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-03 16:46:34,2021-12-01,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$9.25,+104,4708268,0%,+$962,,,,,BCOV
1,D,2021-11-23 16:49:15,2021-11-23,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$9.86,"+70,300",4708164,+2%,"+$693,088",,,,,BCOV
2,M,2021-11-17 16:29:56,2021-11-15,BCOV,Ray Jeff,CEO,P - Purchase,$10.24,"+10,000",272350,+4%,"+$102,370",,,,,BCOV
3,DM,2021-11-15 16:27:03,2021-11-11,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$10.18,"+50,000",4637864,+1%,"+$508,879",,,,,BCOV
4,D,2021-10-06 16:47:30,2021-10-04,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.23,"+39,975",4587864,+1%,"+$449,021",,,,,BCOV
5,DM,2021-09-22 16:47:48,2021-09-20,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.01,"+31,898",4547889,+1%,"+$351,094",,,,,BCOV
6,DM,2021-09-17 17:38:05,2021-09-15,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.35,"+41,822",4515991,+1%,"+$474,710",,,,,BCOV
7,D,2021-09-02 16:42:12,2021-08-31,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.37,"+16,839",4474169,0%,"+$191,476",,,,,BCOV
8,DM,2021-08-30 16:35:19,2021-08-26,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.39,"+42,935",4457330,+1%,"+$488,937",,,,,BCOV
9,DM,2021-08-24 16:26:20,2021-08-20,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.40,"+17,670",4414395,0%,"+$201,428",,,,,BCOV
10,DM,2021-08-17 17:12:55,2021-08-13,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.30,"+65,640",8734033,+1%,"+$741,512",,,,,BCOV
11,D,2021-08-09 16:23:47,2021-08-05,BCOV,"Edenbrook Capital, LLC",10%,P - Purchase,$11.26,"+1,000",4331085,0%,"+$11,260",,,,,BCOV
12,,2021-03-29 11:00:13,2021-03-26,BCOV,Plotkin David,GC,S - Sale,$20.67,-27027,114441,-19%,"-$558,714",,,,,BCOV
13,,2021-03-12 14:45:18,2021-03-12,BCOV,Neeley Tsedal,Dir,P - Purchase,$22.11,"+2,000",10952,+22%,"+$44,220",,,,,BCOV
14,,2020-03-06 16:27:15,2020-03-05,BCOV,Wheeler Thomas E,Dir,P - Purchase,$7.62,"+6,400",20629,+45%,"+$48,768",,,,,BCOV
15,,2020-03-06 16:20:51,2020-03-05,BCOV,Hessan Diane,Dir,P - Purchase,$7.66,"+1,000",21496,+5%,"+$7,660",,,,,BCOV
16,,2020-03-02 16:40:23,2020-03-02,BCOV,Ray Jeff,CEO,P - Purchase,$7.71,"+10,000",95000,+12%,"+$77,100",,,,,BCOV
17,,2019-02-25 17:16:21,2019-02-25,BCOV,Ray Jeff,CEO,P - Purchase,$8.45,"+5,000",25000,+25%,"+$42,250",,,,,BCOV
18,,2018-12-12 21:10:50,2018-12-11,BCOV,Plotkin David,GC,S - Sale,$7.24,-1455,62449,-2%,"-$10,531",,,,,BCOV
19,,2018-11-09 17:21:23,2018-11-07,BCOV,Besemer Deborah M.,Dir,S - Sale,$7.42,-14000,100696,-12%,"-$103,880",,,,,BCOV
20,,2018-08-15 16:07:12,2018-08-14,BCOV,Ray Jeff,CEO,P - Purchase,$8.09,"+20,000",20000,New,"+$161,800",,,,,BCOV
