,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-08 16:21:07,2021-11-05,BMTC,Murdoch Britton,Dir,S - Sale,$49.22,-10821,20934,-34%,"-$532,610",,,,,BMTC
1,,2021-10-28 15:07:59,2021-10-27,BMTC,Laplante Michael,Chief Accounting Officer,S - Sale,$47.37,-1500,377,-80%,"-$71,049",,,,,BMTC
2,,2020-11-19 18:19:01,2020-11-19,BMTC,Laplante Michael,Chief Accounting Officer,P - Purchase,$30.20,"+1,500",1500,New,"+$45,300",,,,,BMTC
3,,2020-11-19 18:16:18,2020-11-18,BMTC,Harrington Michael W,CFO,P - Purchase,$30.43,"+3,000",18237,+20%,"+$91,290",,,,,BMTC
4,,2020-05-26 16:36:39,2020-05-22,BMTC,Calderin Diego F.,Dir,P - Purchase,$26.14,"+2,000",6157,+48%,"+$52,278",,,,,BMTC
5,,2020-04-24 16:43:44,2020-04-23,BMTC,Tylus F Kevin,Pres of BMTC (Bank),P - Purchase,$26.34,"+3,000",30544,+11%,"+$79,032",,,,,BMTC
6,,2020-03-12 15:39:29,2020-03-11,BMTC,Calderin Diego F.,Dir,P - Purchase,$29.11,"+1,000",3680,+37%,"+$29,109",,,,,BMTC
7,DM,2019-08-19 17:01:44,2019-08-16,BMTC,Gilbert Andrea F,Dir,S - Sale+OE,$35.63,-4475,27132,-14%,"-$159,425",,,,,BMTC
8,D,2019-06-06 16:13:53,2019-06-05,BMTC,Holland Wendell F,Dir,S - Sale+OE,$37.33,-4475,14641,-23%,"-$167,066",,,,,BMTC
9,D,2019-02-21 16:33:25,2019-02-20,BMTC,Jenkins Scott Mahaley,Dir,S - Sale+OE,$40.03,-4475,14639,-23%,"-$179,146",,,,,BMTC
10,,2018-12-07 10:58:37,2018-12-06,BMTC,Calderin Diego F.,Dir,P - Purchase,$35.25,+600,2342,+34%,"+$21,150",,,,,BMTC
11,,2018-09-13 17:10:40,2018-09-13,BMTC,Holland Wendell F,Dir,S - Sale,$48.00,-1500,14303,-9%,"-$72,000",,,,,BMTC
12,,2018-09-10 16:02:24,2018-09-07,BMTC,Tylus F Kevin,Pres of BMTC (Bank),S - Sale,$48.34,-7000,24631,-22%,"-$338,345",,,,,BMTC
13,,2018-08-23 12:54:17,2018-08-22,BMTC,Leto Francis J,"Pres, CEO",S - Sale,$49.47,-8075,48651,-14%,"-$399,469",,,,,BMTC
14,M,2018-08-16 17:04:12,2018-08-14,BMTC,Murdoch Britton,Dir,S - Sale,$49.10,-9000,29034,-24%,"-$441,943",,,,,BMTC
15,D,2018-08-14 17:41:27,2018-08-14,BMTC,Gilbert Andrea F,Dir,S - Sale+OE,$48.83,-3500,24742,-12%,"-$170,895",,,,,BMTC
16,,2018-07-26 12:04:20,2018-07-24,BMTC,Keefer Joseph G,"EVP of BMTC, a sub. of BMBC",S - Sale,$48.87,-2040,16364,-11%,"-$99,688",,,,,BMTC
17,,2018-07-26 09:45:37,2018-07-24,BMTC,Calderin Diego F.,Dir,P - Purchase,$48.75,+400,1742,+30%,"+$19,500",,,,,BMTC
18,DM,2018-05-07 16:58:17,2018-05-03,BMTC,Jenkins Scott Mahaley,Dir,S - Sale+OE,$44.55,-3500,12990,-21%,"-$155,935",,,,,BMTC
19,,2018-03-02 08:56:28,2018-02-05,BMTC,Calderin Diego F.,Dir,P - Purchase,$45.99,"+1,000",1000,New,"+$45,993",,,,,BMTC
20,D,2018-02-20 17:04:02,2018-02-16,BMTC,Holland Wendell F,Dir,S - Sale+OE,$45.03,-3500,14154,-20%,"-$157,620",,,,,BMTC
21,,2018-02-09 16:39:52,2018-02-08,BMTC,Clement Michael Joseph,Dir,P - Purchase,$43.84,"+2,800",30652,+10%,"+$122,763",,,,,BMTC
