,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-04-08 19:03:15,2021-04-06,BOMN,"Boulderado Group, LLC",Manager is Director and Co-CEO,S - Sale,$23.63,-300000,1076203,-22%,"-$7,087,500",,,,,BOMN
1,M,2020-06-15 16:02:51,2020-06-11,BOMN,Weisenburger Joshua Paul,CFO,P - Purchase,$15.35,+982,3400,+41%,"+$15,072",,,,,BOMN
2,,2020-06-04 16:03:01,2020-06-03,BOMN,Briner Bradford B,Dir,P - Purchase,$16.07,"+9,000",20000,+82%,"+$144,630",,,,,BOMN
3,,2020-06-03 20:22:27,2019-01-15,BOMN,"Boulderado Group, LLC",Manager is Director and Co-CEO,P - Purchase,$16.00,"+21,875",1376203,+2%,"+$350,000",,,,,BOMN
4,,2020-06-02 15:53:18,2020-06-02,BOMN,Keating Brendan Joseph,Dir,P - Purchase,$16.00,"+5,000",100000,+5%,"+$80,000",,,,,BOMN
5,,2020-06-01 19:24:00,2020-05-28,BOMN,Peterson Adam K,"Co-CEO, 10%",P - Purchase,$16.00,"+9,375",10801494,0%,"+$150,000",,,,,BOMN
6,,2020-03-24 12:41:56,2020-03-20,BOMN,Royal Jeffrey C,Dir,P - Purchase,$15.02,"+5,000",5000,New,"+$75,100",,,,,BOMN
7,,2019-08-26 16:06:22,2019-08-23,BOMN,Keating Brendan Joseph,Dir,P - Purchase,$20.00,"+5,650",47600,+13%,"+$113,000",,,,,BOMN
8,A,2019-03-06 19:21:28,2018-05-18,BOMN,Scholl Michael Jeffrey,Subsidiary Pres,P - Purchase,$25.60,+200,1950,+11%,"+$5,120",,,,,BOMN
9,,2018-11-19 17:21:12,2018-11-19,BOMN,Scholl Michael Jeffrey,Subsidiary Pres,P - Purchase,$24.25,+350,3200,+12%,"+$8,488",,,,,BOMN
10,,2018-10-29 16:09:26,2018-10-26,BOMN,Kenan Frank H. II,Dir,S - Sale,$0.00,-9919,58276,-15%,-$0,,,,,BOMN
11,,2018-06-18 16:14:50,2018-06-15,BOMN,Kenan Frank H. II,Dir,S - Sale,$22.08,-28563,68195,-30%,"-$630,805",,,,,BOMN
12,,2018-06-12 08:49:59,2018-06-11,BOMN,Keating Brendan Joseph,Dir,P - Purchase,$22.68,"+4,300",80100,+6%,"+$97,529",,,,,BOMN
13,,2018-05-30 16:11:09,2018-05-29,BOMN,Weisenburger Joshua Paul,CFO,P - Purchase,$24.15,+718,2418,+42%,"+$17,340",,,,,BOMN
14,,2018-05-21 08:03:39,2018-05-17,BOMN,McLaughlin James A.,Subsidiary Pres,P - Purchase,$26.48,"+7,600",84600,+10%,"+$201,246",,,,,BOMN
15,,2018-05-21 08:00:44,2018-05-18,BOMN,Scholl Michael Jeffrey,Subsidiary Pres,P - Purchase,$26.57,"+1,750",2850,+159%,"+$46,495",,,,,BOMN
16,,2018-05-18 17:19:35,2018-05-15,BOMN,"Boulderado Group, LLC",10%,P - Purchase,$23.30,"+1,568,884",4999904,+46%,"+$36,554,997",,,,,BOMN
17,,2018-05-17 19:17:11,2018-05-15,BOMN,Peterson Adam K,"Co-CEO, 10%",P - Purchase,$23.30,"+1,568,884",11008265,+17%,"+$36,554,997",,,,,BOMN
18,,2018-03-06 15:30:02,2018-03-01,BOMN,"Boulderado Group, LLC",10%,P - Purchase,$23.30,"+1,650,000",3431020,+93%,"+$38,445,000",,,,,BOMN
19,A,2018-03-06 14:48:58,2018-03-01,BOMN,Peterson Adam K,"Co-CEO, 10%",P - Purchase,$23.30,"+1,650,000",9585719,+21%,"+$38,445,000",,,,,BOMN
20,,2018-03-05 18:56:41,2018-03-01,BOMN,Peterson Adam K,"Co-CEO, 10%",P - Purchase,$23.30,"+3,218,884",9585719,+51%,"+$74,999,997",,,,,BOMN
21,,2018-03-02 17:37:17,2018-03-02,BOMN,Kenan Frank H. II,Dir,S - Sale,$0.00,-18627,96758,-16%,-$0,,,,,BOMN
