,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-10-19 16:51:05,2020-10-15,CALM,Hardin Charles Jeff,VP Sales,P - Purchase,$38.28,"+2,000",28027,+8%,"+$76,559",,,,,CALM
1,,2020-08-26 18:18:31,2020-08-24,CALM,Adams Jean Morris,10%,S - Sale,$39.00,-1380000,3476669,-28%,"-$53,820,000",,,,,CALM
2,,2020-08-26 18:17:28,2020-08-24,CALM,Baker Adolphus B,"COB, CEO, 10%",S - Sale,$39.00,-5520000,6430179,-46%,"-$215,280,000",,,,,CALM
3,,2020-05-20 18:54:24,2020-05-20,CALM,Hardin Charles Jeff,VP Sales,S - Sale,$43.46,-958,25900,-4%,"-$41,635",,,,,CALM
4,,2019-04-18 16:45:06,2019-04-16,CALM,Hardin Charles Jeff,VP Sales,S - Sale,$41.96,-800,25331,-3%,"-$33,568",,,,,CALM
5,,2019-04-18 09:22:40,2019-04-16,CALM,Holladay Robert L Jr,VP - GC,S - Sale,$41.61,-1200,14403,-8%,"-$49,932",,,,,CALM
6,,2019-04-12 16:31:46,2019-04-11,CALM,Poole James E,Dir,S - Sale,$42.76,-2500,8222,-23%,"-$106,900",,,,,CALM
7,,2018-10-12 09:24:08,2018-10-11,CALM,Bowman Max P,"VP, CFO, Sec, Treas",P - Purchase,$45.51,"+2,000",2000,New,"+$91,020",,,,,CALM
8,,2018-08-07 08:28:04,2018-08-06,CALM,Adams Jean Morris,10%,S - Sale,$44.95,-40149,15284232,0%,"-$1,804,698",,,,,CALM
9,M,2018-08-06 08:54:57,2018-08-02,CALM,Adams Jean Morris,10%,S - Sale,$44.40,-114851,15324381,-1%,"-$5,098,939",,,,,CALM
10,M,2018-08-02 09:16:51,2018-07-31,CALM,Adams Jean Morris,10%,S - Sale,$44.59,-145000,15439232,-1%,"-$6,465,500",,,,,CALM
11,,2018-04-09 16:27:29,2018-04-06,CALM,Hardin Charles Jeff,VP Marketing,S - Sale,$47.39,-2036,24674,-8%,"-$96,486",,,,,CALM
12,,2018-02-27 12:07:18,2018-02-23,CALM,Hardin Charles Jeff,VP Marketing,S - Sale,$43.55,-500,26693,-2%,"-$21,775",,,,,CALM
