,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-16 18:15:41,2021-11-12,CARA,Ives Jeffrey L.,Dir,S - Sale,$16.04,-8180,7200,-53%,"-$131,207",,,,,CARA
1,,2021-11-03 16:55:02,2021-11-01,CARA,Goncalves Joana,Chief Medical Officer,S - Sale,$17.15,-1000,45900,-2%,"-$17,150",,,,,CARA
2,,2021-10-28 18:34:46,2021-10-27,CARA,Goncalves Joana,Chief Medical Officer,S - Sale,$15.00,-1000,46900,-2%,"-$15,000",,,,,CARA
3,,2021-09-09 16:48:51,2021-09-07,CARA,Chalmers Derek T,"Pres, CEO",S - Sale,$15.47,-20000,991405,-2%,"-$309,400",,,,,CARA
4,,2021-09-01 18:09:41,2021-08-30,CARA,Terrillion Scott,"Sec'y; Chief Compliance, G.C.",S - Sale,$14.20,-1759,70917,-2%,"-$24,978",,,,,CARA
5,,2021-09-01 18:08:32,2021-08-30,CARA,Reilly Thomas Charles,CFO,S - Sale,$14.20,-1982,3352,-37%,"-$28,144",,,,,CARA
6,,2021-09-01 18:07:29,2021-08-30,CARA,Menzaghi Frederique Ph.D.,"Chief Scientific Off,SVP-R, D",S - Sale,$14.20,-3847,141072,-3%,"-$54,627",,,,,CARA
7,,2021-09-01 18:06:18,2021-08-30,CARA,Goncalves Joana,Chief Medical Officer,S - Sale,$14.20,-2110,47900,-4%,"-$29,962",,,,,CARA
8,,2021-09-01 18:04:55,2021-08-30,CARA,Chalmers Derek T,"Pres, CEO",S - Sale,$14.20,-8440,1011405,-1%,"-$119,848",,,,,CARA
9,D,2021-06-07 19:35:52,2021-06-07,CARA,Vogelbaum Martin,Dir,S - Sale+OE,$13.05,-8640,20160,-30%,"-$112,752",,,,,CARA
10,D,2021-06-07 19:33:07,2021-06-07,CARA,Posner Christopher,Dir,S - Sale+OE,$13.04,-2304,16096,-13%,"-$30,044",,,,,CARA
