,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-15 16:44:39,2021-12-13,CASH,Hoople Elizabeth G.,Dir,S - Sale,$57.18,-7250,19750,-27%,"-$414,525",,,,,CASH
1,,2021-11-04 17:38:19,2021-11-03,CASH,Kramer Michael Robert,Dir,S - Sale,$59.72,-2000,42650,-4%,"-$119,440",,,,,CASH
2,,2021-11-03 16:12:46,2021-11-01,CASH,Kramer Michael Robert,Dir,S - Sale,$57.55,-3000,44650,-6%,"-$172,650",,,,,CASH
3,,2021-09-24 17:51:45,2021-09-23,CASH,Sharett Anthony M.,"EVP Chief Legal, Comp, Corp Se",S - Sale,$51.69,-589,16665,-3%,"-$30,445",,,,,CASH
4,,2021-08-04 16:11:56,2021-08-02,CASH,Warren Jennifer W.,"SVP, Chief Accounting Officer",S - Sale,$50.10,-1869,4929,-27%,"-$93,637",,,,,CASH
5,,2021-05-05 16:17:04,2021-05-03,CASH,Herrick Glen William,"EVP, CFO",S - Sale,$49.15,-45000,128051,-26%,"-$2,211,750",,,,,CASH
6,,2021-03-16 16:40:07,2021-03-15,CASH,Hajek Douglas J.,Dir,S - Sale,$47.01,-3000,16181,-16%,"-$141,030",,,,,CASH
7,,2021-03-16 16:37:42,2021-03-12,CASH,Sharett Anthony M.,"EVP Chief Legal, Comp, Corp Se",S - Sale,$46.18,-1700,17604,-9%,"-$78,506",,,,,CASH
8,,2021-03-12 16:40:42,2021-03-10,CASH,Pharr Brett L.,"Co-Pres, Chief Oper Off of MB",S - Sale,$46.29,-2343,19878,-11%,"-$108,457",,,,,CASH
9,,2021-03-10 16:24:26,2021-03-09,CASH,Moore Frederick V,Dir,S - Sale,$46.80,-1100,7159,-13%,"-$51,480",,,,,CASH
10,,2021-02-25 16:50:16,2021-02-23,CASH,Pharr Brett L.,"Co-Pres, Chief Oper Off of MB",S - Sale,$45.05,-685,23878,-3%,"-$30,859",,,,,CASH
11,,2021-02-10 16:38:57,2021-02-09,CASH,Kramer Michael Robert,Dir,S - Sale,$43.61,-3000,44950,-6%,"-$130,830",,,,,CASH
12,,2021-02-09 16:40:34,2021-02-09,CASH,Stork Kendall E,Dir,S - Sale,$43.12,-2000,10713,-16%,"-$86,240",,,,,CASH
13,M,2021-01-15 17:45:44,2021-01-13,CASH,Hanson Bradley C,"Pres, CEO",S - Sale,$38.69,-61457,278585,-18%,"-$2,377,701",,,,,CASH
14,M,2021-01-13 17:53:19,2021-01-11,CASH,Hanson Bradley C,"Pres, CEO",S - Sale,$38.75,-88543,340042,-21%,"-$3,431,124",,,,,CASH
15,,2021-01-07 17:00:07,2021-01-06,CASH,Pharr Brett L.,"Co-Pres, Chief Oper Off of MB",S - Sale,$40.01,-2400,24563,-9%,"-$96,024",,,,,CASH
16,,2020-12-29 17:38:49,2020-12-28,CASH,Pharr Brett L.,"Co-Pres, Chief Oper Off of MB",S - Sale,$36.92,-2500,26963,-8%,"-$92,300",,,,,CASH
17,,2020-12-14 16:33:13,2020-12-11,CASH,Hajek Douglas J.,Dir,S - Sale,$34.94,-1000,16481,-6%,"-$34,940",,,,,CASH
18,,2020-12-09 16:38:02,2020-12-07,CASH,Stork Kendall E,Dir,S - Sale,$34.87,-1000,13713,-7%,"-$34,870",,,,,CASH
19,,2020-12-03 16:46:31,2020-12-01,CASH,Kramer Michael Robert,Dir,S - Sale,$34.02,-10000,47950,-17%,"-$340,200",,,,,CASH
20,,2020-11-18 17:16:35,2020-11-16,CASH,Herrick Glen William,"EVP, CFO",S - Sale,$35.00,-10000,172441,-5%,"-$350,000",,,,,CASH
21,,2020-11-18 17:14:13,2020-11-16,CASH,Theisen Sonja Anne,"SVP, Chief Accounting Officer",S - Sale,$34.87,-3805,7790,-33%,"-$132,680",,,,,CASH
22,,2020-11-16 17:33:04,2020-11-12,CASH,Goik Michael K,EVP Commercial Finance,S - Sale,$32.05,-5000,144576,-3%,"-$160,250",,,,,CASH
23,,2020-11-10 17:15:37,2020-11-09,CASH,Herrick Glen William,"EVP, CFO",S - Sale,$32.50,-10000,182441,-5%,"-$325,000",,,,,CASH
24,,2020-11-10 17:14:40,2020-11-09,CASH,Tull William David,Dir,S - Sale,$33.00,-7500,302500,-2%,"-$247,500",,,,,CASH
25,,2020-11-10 17:11:25,2020-11-09,CASH,Thornsberry Sheree,"EVP, Head of Payments",S - Sale,$32.79,-7000,14979,-32%,"-$229,530",,,,,CASH
26,M,2020-11-05 20:32:32,2020-11-03,CASH,Herrick Glen William,"EVP, CFO",S - Sale,$30.00,-10000,184402,-5%,"-$300,000",,,,,CASH
27,,2020-11-04 16:41:23,2020-11-02,CASH,Kramer Michael Robert,Dir,S - Sale,$29.49,-7500,57950,-11%,"-$221,175",,,,,CASH
28,,2020-11-04 16:37:17,2020-11-02,CASH,Tull William David,Dir,S - Sale,$29.52,-68000,310000,-18%,"-$2,007,360",,,,,CASH
29,,2020-11-02 16:59:49,2020-10-29,CASH,Herrick Glen William,"EVP, CFO",S - Sale,$27.86,-10000,189232,-5%,"-$278,600",,,,,CASH
30,,2020-10-05 16:59:34,2020-10-01,CASH,Hanson Bradley C,"Pres, CEO",S - Sale,$19.78,-9133,405305,-2%,"-$180,651",,,,,CASH
31,,2020-10-05 16:58:05,2020-10-01,CASH,Herrick Glen William,"EVP, CFO, Secretary",S - Sale,$19.78,-8854,204850,-4%,"-$175,132",,,,,CASH
32,,2020-09-29 17:07:23,2020-09-25,CASH,Thornsberry Sheree,"EVP, Head of Payments",S - Sale,$18.55,-2232,21324,-9%,"-$41,404",,,,,CASH
33,,2020-09-29 17:05:50,2020-09-25,CASH,Schneekloth Shelly,Chief Operations Officer,S - Sale,$18.55,-439,15068,-3%,"-$8,143",,,,,CASH
34,,2020-09-25 17:18:43,2020-09-23,CASH,Sharett Anthony M.,"EVP, Chief Legal, Compliance",S - Sale,$18.41,-589,13411,-4%,"-$10,843",,,,,CASH
35,,2020-09-02 17:47:09,2020-09-01,CASH,Goik Michael K,EVP Commercial Finance,S - Sale,$19.09,-3000,148664,-2%,"-$57,270",,,,,CASH
36,,2020-09-01 17:06:06,2020-08-28,CASH,Kramer Michael Robert,Dir,S - Sale,$19.18,-3350,65450,-5%,"-$64,253",,,,,CASH
