,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 13:26:41,2021-12-16,CDZI,Grant Geoffrey T,Dir,P - Purchase,$4.25,"+25,000",210706,+13%,"+$106,218",,,,,CDZI
1,D,2021-12-16 10:07:40,2021-12-15,CDZI,Brackpool Keith,Dir,P - Purchase,$3.78,"+30,000",376198,+9%,"+$113,400",,,,,CDZI
2,D,2021-12-14 14:00:02,2021-12-13,CDZI,Brackpool Keith,Dir,P - Purchase,$3.60,"+25,000",346198,+8%,"+$90,000",,,,,CDZI
3,,2020-03-26 16:00:48,2020-03-24,CDZI,Grant Geoffrey T,Dir,S - Sale,$10.07,-9806,121391,-7%,"-$98,705",,,,,CDZI
4,M,2020-03-24 13:54:59,2020-03-19,CDZI,Grant Geoffrey T,Dir,S - Sale,$10.01,-40194,131197,-23%,"-$402,502",,,,,CDZI
5,,2019-07-15 17:15:16,2019-07-11,CDZI,Water Asset Management LLC,10%,S - Sale,$11.00,-800000,2458219,-25%,"-$8,800,000",,,,,CDZI
6,,2018-12-12 16:19:09,2018-12-10,CDZI,Water Asset Management LLC,10%,P - Purchase,$9.88,"+111,000",6045324,+2%,"+$1,096,680",,,,,CDZI
7,,2018-12-12 16:19:09,2018-12-10,CDZI,Water Asset Management LLC,10%,S - Sale,$9.84,-111000,6045324,-2%,"-$1,092,240",,,,,CDZI
8,,2018-06-04 17:21:23,2018-05-25,CDZI,Water Asset Management LLC,10%,P - Purchase,$12.47,"+531,918",6466242,+9%,"+$6,633,017",,,,,CDZI
9,,2018-06-04 17:21:23,2018-05-25,CDZI,Water Asset Management LLC,10%,S - Sale,$12.46,-531918,6466242,-8%,"-$6,627,698",,,,,CDZI
