,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-09 20:43:33,2021-11-09,CERS,Schulze Gail,Dir,S - Sale+OE,$7.54,-25000,28116,-47%,"-$188,430",,,,,CERS
1,D,2021-11-09 20:38:46,2021-11-05,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$7.94,-110000,181276,-38%,"-$873,191",,,,,CERS
2,,2021-11-05 19:51:25,2021-11-03,CERS,Menard Chrystal,GC,S - Sale,$7.70,-40000,67038,-37%,"-$308,000",,,,,CERS
3,D,2021-11-05 19:47:31,2021-11-03,CERS,Green Kevin Dennis,CFO,S - Sale+OE,$7.00,-95741,152999,-38%,"-$670,187",,,,,CERS
4,D,2021-11-05 19:41:15,2021-11-03,CERS,Benjamin Richard J,Chief Medical Officer,S - Sale+OE,$7.68,-165000,76035,-68%,"-$1,267,750",,,,,CERS
5,D,2021-08-05 17:08:51,2021-08-04,CERS,Swisher Daniel N Jr,Dir,S - Sale+OE,$6.25,-12877,93354,-12%,"-$80,481",,,,,CERS
6,D,2021-05-20 19:21:08,2021-05-18,CERS,Swisher Daniel N Jr,Dir,S - Sale+OE,$5.75,-5000,59868,-8%,"-$28,735",,,,,CERS
7,D,2021-03-16 19:43:57,2021-03-15,CERS,Jayaraman Vivek K,COO,S - Sale+OE,$6.38,-37149,204639,-15%,"-$236,925",,,,,CERS
8,D,2021-03-16 19:39:26,2021-03-15,CERS,Green Kevin Dennis,CFO,S - Sale+OE,$6.38,-29331,153740,-16%,"-$187,064",,,,,CERS
9,D,2021-03-16 19:37:31,2021-03-15,CERS,Greenman William Mariner,"Pres, CEO",S - Sale+OE,$6.38,-156407,1102531,-12%,"-$997,517",,,,,CERS
10,D,2021-03-16 19:34:32,2021-03-15,CERS,Corash Laurence M,Chief Scientific Officer,S - Sale+OE,$6.38,-23775,1957386,-1%,"-$151,630",,,,,CERS
11,D,2021-03-16 19:32:58,2021-03-15,CERS,Benjamin Richard J,Chief Medical Officer,S - Sale+OE,$6.36,-49331,76035,-39%,"-$313,844",,,,,CERS
12,D,2021-03-16 19:29:40,2021-03-15,CERS,Menard Chrystal,GC,S - Sale+OE,$6.38,-29331,105853,-22%,"-$187,064",,,,,CERS
13,D,2021-03-16 19:25:26,2021-03-15,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$6.38,-29331,179555,-14%,"-$187,064",,,,,CERS
14,D,2021-02-18 18:46:41,2021-02-16,CERS,Swisher Daniel N Jr,Dir,S - Sale+OE,$7.78,-10000,59868,-14%,"-$77,797",,,,,CERS
15,D,2021-02-11 17:59:26,2021-02-08,CERS,Menard Chrystal,GC,S - Sale+OE,$8.00,-8125,48585,-14%,"-$65,000",,,,,CERS
16,D,2020-12-28 17:44:52,2020-12-22,CERS,Jayaraman Vivek K,COO,S - Sale+OE,$8.00,-56105,135003,-29%,"-$448,840",,,,,CERS
17,D,2020-12-28 17:43:39,2020-12-22,CERS,Menard Chrystal,GC,S - Sale+OE,$8.00,-211327,48585,-81%,"-$1,690,616",,,,,CERS
18,D,2020-12-28 17:39:26,2020-12-22,CERS,Anderson Timothy B,Dir,S - Sale+OE,$8.31,-39336,200765,-16%,"-$326,856",,,,,CERS
19,D,2020-12-15 20:51:57,2020-12-14,CERS,Schulze Gail,Dir,S - Sale+OE,$7.32,-62393,0,-100%,"-$456,817",,,,,CERS
20,D,2020-12-15 20:49:19,2020-12-11,CERS,Menard Chrystal,GC,S - Sale+OE,$8.00,-41363,48585,-46%,"-$330,904",,,,,CERS
21,D,2020-12-15 20:44:42,2020-12-11,CERS,Jayaraman Vivek K,Chief Commercial Officer,S - Sale+OE,$8.00,-43895,135003,-25%,"-$351,160",,,,,CERS
22,D,2020-11-19 17:07:38,2020-11-17,CERS,Swisher Daniel N Jr,Dir,S - Sale+OE,$6.25,-10000,59868,-14%,"-$62,505",,,,,CERS
23,,2020-11-12 18:57:12,2020-11-10,CERS,Green Kevin Dennis,CFO,S - Sale,$5.49,-32928,99468,-25%,"-$180,862",,,,,CERS
24,D,2020-08-26 20:20:50,2020-08-24,CERS,Benjamin Richard J,Chief Medical Officer,S - Sale+OE,$7.90,-100000,41763,-71%,"-$790,000",,,,,CERS
25,D,2020-08-26 20:18:14,2020-08-24,CERS,Anderson Timothy B,Dir,S - Sale+OE,$7.90,-16008,210101,-7%,"-$126,463",,,,,CERS
26,D,2020-08-14 17:53:39,2020-08-12,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$6.88,-21621,120130,-15%,"-$148,752",,,,,CERS
27,,2020-08-11 21:18:40,2020-08-07,CERS,Menard Chrystal,GC,S - Sale,$7.07,-23621,48585,-33%,"-$166,930",,,,,CERS
28,D,2020-08-11 21:16:53,2020-08-07,CERS,Anderson Timothy B,Dir,S - Sale+OE,$7.12,-40076,202406,-17%,"-$285,152",,,,,CERS
29,D,2020-08-11 21:15:45,2020-08-10,CERS,Green Kevin Dennis,CFO,S - Sale+OE,$6.96,-68585,132396,-34%,"-$477,678",,,,,CERS
30,D,2020-07-09 20:45:02,2020-07-07,CERS,Benjamin Richard J,Chief Medical Officer,S - Sale+OE,$7.20,-154583,41763,-79%,"-$1,113,044",,,,,CERS
31,D,2020-06-26 20:06:43,2020-06-25,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$7.00,-130000,111751,-54%,"-$910,000",,,,,CERS
32,D,2020-06-03 21:40:38,2020-06-01,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$6.50,-30025,111751,-21%,"-$195,163",,,,,CERS
33,,2020-05-14 18:22:53,2020-05-12,CERS,Menard Chrystal,GC,S - Sale,$5.67,-20351,72206,-22%,"-$115,288",,,,,CERS
34,D,2020-03-24 21:29:30,2020-03-17,CERS,Moore Carol,"SVP Reg., Quality",S - Sale+OE,$3.59,-26684,111751,-19%,"-$95,921",,,,,CERS
35,D,2020-03-24 21:26:42,2020-03-17,CERS,Menard Chrystal,GC,S - Sale+OE,$3.59,-26535,92557,-22%,"-$95,385",,,,,CERS
36,D,2020-03-24 21:24:09,2020-03-17,CERS,Jayaraman Vivek K,Chief Commercial Officer,S - Sale+OE,$3.59,-23500,138912,-14%,"-$84,475",,,,,CERS
