,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-13 06:02:58,2021-12-08,CEVA,Ohana Issachar,EVP Worldwide Sales,S - Sale,$46.00,-9338,49309,-16%,"-$429,548",,,,,CEVA
1,,2021-11-19 16:01:14,2021-11-17,CEVA,Wertheizer Gideon,CEO,S - Sale,$49.68,-8409,106024,-7%,"-$417,788",,,,,CEVA
2,,2021-05-26 15:56:46,2021-05-24,CEVA,Boukaya Michael,COO,S - Sale,$43.56,-2331,15868,-13%,"-$101,538",,,,,CEVA
3,,2021-03-18 17:06:26,2021-03-16,CEVA,Arieli Yaniv,CFO,S - Sale,$62.00,-9197,55617,-14%,"-$570,214",,,,,CEVA
4,,2021-02-26 16:01:35,2021-02-25,CEVA,Wertheizer Gideon,CEO,S - Sale,$66.64,-16316,113756,-13%,"-$1,087,298",,,,,CEVA
5,,2021-02-25 15:59:39,2021-02-23,CEVA,Ohana Issachar,EVP Worldwide Sales,S - Sale,$66.58,-14401,58012,-20%,"-$958,819",,,,,CEVA
6,D,2021-02-24 16:03:28,2021-02-22,CEVA,Limon Zvi,Dir,S - Sale+OE,$72.43,-29294,8430,-78%,"-$2,121,660",,,,,CEVA
7,D,2021-02-24 16:02:32,2021-02-22,CEVA,Silver Louis,Dir,S - Sale+OE,$73.00,-7364,29230,-20%,"-$537,572",,,,,CEVA
8,,2021-02-24 16:01:47,2021-02-22,CEVA,Boukaya Michael,COO,S - Sale,$72.18,-34399,18199,-65%,"-$2,482,920",,,,,CEVA
9,,2021-02-24 16:00:53,2021-02-22,CEVA,Wertheizer Gideon,CEO,S - Sale,$70.17,-23000,130072,-15%,"-$1,613,910",,,,,CEVA
10,,2021-02-22 14:23:39,2021-02-19,CEVA,Arieli Yaniv,CFO,S - Sale,$68.20,-30395,64814,-32%,"-$2,072,939",,,,,CEVA
11,,2021-02-22 14:22:11,2021-02-19,CEVA,Wertheizer Gideon,CEO,S - Sale,$70.63,-40000,153072,-21%,"-$2,825,200",,,,,CEVA
12,D,2021-02-22 14:20:42,2021-02-19,CEVA,Nilsson Sven Christer,Dir,S - Sale+OE,$70.00,-19909,27840,-42%,"-$1,393,710",,,,,CEVA
