,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-08 15:56:10,2021-12-06,CFB,Robinson Michael Kent,Dir,S - Sale,$14.71,-1500,114969,-1%,"-$22,065",,,,,CFB
1,,2021-12-01 15:44:56,2021-11-30,CFB,Maddox Mike,"Pres, CEO",P - Purchase,$14.07,"+1,000",96917,+1%,"+$14,070",,,,,CFB
2,,2021-11-08 14:33:40,2021-11-08,CFB,Robinson Michael Kent,Dir,S - Sale,$15.25,-1500,116469,-1%,"-$22,875",,,,,CFB
3,D,2021-11-02 12:13:00,2021-11-01,CFB,Clouse Benjamin R,CFO,P - Purchase,$14.49,"+7,400",7400,New,"+$107,226",,,,,CFB
4,M,2021-10-27 13:48:01,2021-10-22,CFB,O'Toole David L.,CHIEF INVESTMENT OFFICER,S - Sale,$14.50,-9270,184166,-5%,"-$134,415",,,,,CFB
5,,2021-10-08 15:20:21,2021-10-07,CFB,Robinson Michael Kent,Dir,S - Sale,$13.50,-1500,117969,-1%,"-$20,250",,,,,CFB
6,,2021-10-06 15:46:22,2021-10-05,CFB,Robinson Michael Kent,Dir,S - Sale,$13.50,-520,119469,0%,"-$7,020",,,,,CFB
7,,2021-10-04 12:29:34,2021-10-01,CFB,Robinson Michael Kent,Dir,S - Sale,$13.50,-980,119989,-1%,"-$13,230",,,,,CFB
8,,2021-08-10 11:28:47,2021-08-06,CFB,Robinson Michael Kent,Dir,S - Sale,$13.72,-1500,120969,-1%,"-$20,580",,,,,CFB
9,,2021-07-06 14:52:35,2021-07-06,CFB,Robinson Michael Kent,Dir,S - Sale,$13.92,-1000,122469,-1%,"-$13,920",,,,,CFB
10,,2021-06-09 13:55:13,2021-06-07,CFB,Robinson Michael Kent,Dir,S - Sale,$14.94,-1000,123469,-1%,"-$14,940",,,,,CFB
11,,2021-05-07 15:33:55,2021-05-06,CFB,Robinson Michael Kent,Dir,S - Sale,$14.90,-1000,120105,-1%,"-$14,900",,,,,CFB
12,,2021-04-22 13:41:41,2021-04-21,CFB,O'Toole David L.,"CFO, Chief Investment Officer",S - Sale,$13.31,-500,193436,0%,"-$6,655",,,,,CFB
13,,2021-04-15 11:36:22,2021-04-14,CFB,O'Toole David L.,"CFO, Chief Investment Officer",S - Sale,$13.62,-500,193936,0%,"-$6,810",,,,,CFB
14,,2021-04-08 10:16:58,2021-04-07,CFB,O'Toole David L.,"CFO, Chief Investment Officer",S - Sale,$13.82,-500,194436,0%,"-$6,910",,,,,CFB
