,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-12 18:07:05,2021-11-09,CHEF,Pappas Christopher,"Pres, CEO",S - Sale,$35.32,-300000,2610826,-10%,"-$10,596,000",,,,,CHEF
1,,2021-11-05 17:25:59,2021-11-03,CHEF,Leddy James,CFO,S - Sale,$37.00,-1000,112573,-1%,"-$37,000",,,,,CHEF
2,,2021-11-02 16:55:05,2021-10-29,CHEF,Leddy James,CFO,S - Sale,$35.00,-1000,113573,-1%,"-$35,000",,,,,CHEF
3,,2021-06-08 21:34:38,2021-06-07,CHEF,Lecouras Patricia,CHRO,S - Sale,$32.04,-2000,122153,-2%,"-$64,080",,,,,CHEF
4,M,2021-04-29 20:52:54,2021-04-27,CHEF,Pappas John,Vice COB,S - Sale,$33.26,-300000,758128,-28%,"-$9,979,061",,,,,CHEF
5,,2021-04-20 20:41:28,2021-04-19,CHEF,McCauley Tim,Chief Accounting Officer,S - Sale,$33.18,-2000,62300,-3%,"-$66,360",,,,,CHEF
6,,2021-03-19 19:00:20,2021-03-18,CHEF,Aldous Alexandros,GC,S - Sale,$30.69,-20000,121472,-14%,"-$613,814",,,,,CHEF
7,,2020-11-19 16:36:33,2020-11-18,CHEF,McCauley Tim,Chief Accounting Officer,S - Sale,$20.84,-2000,45255,-4%,"-$41,680",,,,,CHEF
8,,2020-03-12 19:56:11,2020-03-12,CHEF,Cugine Joseph M.,Dir,P - Purchase,$19.81,+955,24311,+4%,"+$18,919",,,,,CHEF
9,D,2019-10-09 08:42:37,2019-10-07,CHEF,Pappas John,Vice COB,S - Sale+OE,$36.61,-44757,1314601,-3%,"-$1,638,601",,,,,CHEF
10,,2019-05-23 16:56:35,2019-05-22,CHEF,McCauley Tim,Chief Accounting Officer,S - Sale,$33.99,-1000,13931,-7%,"-$33,990",,,,,CHEF
11,D,2019-05-17 17:44:30,2019-05-15,CHEF,Lecouras Patricia,CHRO,S - Sale+OE,$34.31,-7193,46595,-13%,"-$246,792",,,,,CHEF
12,,2019-05-10 09:18:38,2019-05-09,CHEF,Cugine Joseph M.,Dir,P - Purchase,$33.01,+905,21336,+4%,"+$29,874",,,,,CHEF
13,D,2019-03-13 17:23:13,2019-03-11,CHEF,Aldous Alexandros,GC,S - Sale+OE,$31.05,-8632,39658,-18%,"-$268,024",,,,,CHEF
14,,2019-02-14 17:21:35,2019-02-13,CHEF,Lecouras Patricia,CHRO,S - Sale,$36.07,-2500,41561,-6%,"-$90,175",,,,,CHEF
15,,2018-11-26 17:12:13,2018-11-23,CHEF,Couri John A,Dir,S - Sale,$36.01,-9000,16007,-36%,"-$324,090",,,,,CHEF
16,,2018-11-09 16:26:39,2018-11-07,CHEF,Pappas Christopher,"Pres, CEO, 10%",S - Sale,$36.95,-200000,3051786,-6%,"-$7,390,000",,,,,CHEF
17,,2018-11-09 16:19:49,2018-11-07,CHEF,Pappas John,Vice COB,S - Sale,$35.01,-59506,1305921,-4%,"-$2,083,305",,,,,CHEF
18,M,2018-11-06 19:06:32,2018-11-02,CHEF,Pappas John,Vice COB,S - Sale,$35.03,-232783,1365427,-15%,"-$8,154,831",,,,,CHEF
19,M,2018-10-10 18:19:37,2018-10-08,CHEF,Pappas John,Vice COB,S - Sale,$35.81,-492711,1598210,-24%,"-$17,643,729",,,,,CHEF
20,,2018-09-11 17:00:56,2018-09-10,CHEF,Oliver Katherine,Dir,P - Purchase,$32.10,"+1,088",14056,+8%,"+$34,925",,,,,CHEF
21,,2018-07-18 19:39:21,2018-07-17,CHEF,Lecouras Patricia,CHRO,S - Sale,$31.40,-12000,44061,-21%,"-$376,800",,,,,CHEF
22,,2018-05-07 16:27:09,2018-05-04,CHEF,Aldous Alexandros,GC,S - Sale,$25.00,-10905,41416,-21%,"-$272,625",,,,,CHEF
23,,2018-03-23 18:17:26,2018-03-21,CHEF,Aldous Alexandros,GC,S - Sale,$25.00,-9095,56521,-14%,"-$227,404",,,,,CHEF
