,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-28 13:34:04,2021-07-28,CIVB,Singer Harry,Dir,P - Purchase,$23.50,+325,16788,+2%,"+$7,638",,,,,CIVB
1,,2020-08-17 11:47:59,2020-07-29,CIVBP,Murray Dennis E Jr,Dir,P - Purchase,$13.43,"+1,000",38685,+3%,"+$13,427",,,,,CIVB
2,,2020-07-31 08:55:31,2020-07-30,CIVBP,Boerger Barry W,Subsidiary Director,P - Purchase,$13.50,"+4,400",17377,+34%,"+$59,400",,,,,CIVB
3,,2020-07-29 11:30:58,2020-07-29,CIVBP,Singer Harry,Dir,P - Purchase,$13.33,"+1,150",15721,+8%,"+$15,330",,,,,CIVB
4,,2020-05-06 13:48:43,2020-05-06,CIVBP,Singer Harry,Dir,P - Purchase,$13.57,+675,13552,+5%,"+$9,160",,,,,CIVB
5,,2020-02-28 16:31:55,2020-02-28,CIVBP,Wurm Gerald B,Subsidiary Director,P - Purchase,$19.36,"+10,353",119951,+9%,"+$200,434",,,,,CIVB
6,,2020-02-28 14:01:11,2020-02-28,CIVBP,Wurm Gerald B,Subsidiary Director,P - Purchase,$19.85,+185,109598,0%,"+$3,672",,,,,CIVB
7,,2019-12-04 07:30:46,2019-12-03,CIVBP,Singer Harry,Dir,P - Purchase,$21.20,"+1,200",12840,+10%,"+$25,440",,,,,CIVB
8,,2019-05-30 16:32:45,2019-05-30,CIVB,Wurm Gerald B,Subsidiary Director,P - Purchase,$21.77,"+10,000",89612,+13%,"+$217,740",,,,,CIVB
9,,2019-05-07 15:29:54,2019-05-07,CIVB,Nickles Allen R,Dir,P - Purchase,$22.75,+25,113253,0%,+$569,,,,,CIVB
10,A,2019-03-04 11:21:50,2018-12-17,CIVB,Singer Harry,Subsidiary Director,P - Purchase,$17.99,"+1,100",10950,+11%,"+$19,788",,,,,CIVB
11,,2019-02-22 08:30:16,2019-02-20,CIVB,McLaughlin W Michael,Senior Vice President,S - Sale,$21.11,-11000,39487,-22%,"-$232,186",,,,,CIVB
12,,2018-12-17 16:19:05,2018-12-17,CIVB,Parcher Charles A.,SVP,P - Purchase,$17.67,+500,4948,+11%,"+$8,835",,,,,CIVB
13,,2018-12-17 13:21:40,2018-12-17,CIVB,Nickles Allen R,Dir,P - Purchase,$17.67,+484,110028,0%,"+$8,552",,,,,CIVB
14,,2018-12-07 13:55:01,2018-12-07,CIVB,Nickles Allen R,Dir,P - Purchase,$19.70,+500,109544,0%,"+$9,850",,,,,CIVB
15,,2018-11-30 13:32:55,2018-11-30,CIVB,Singer Harry,Subsidiary Director,P - Purchase,$21.20,"+1,000",9850,+11%,"+$21,201",,,,,CIVB
16,,2018-11-21 09:08:44,2018-11-20,CIVB,Singer Harry,Subsidiary Director,P - Purchase,$21.07,+25,8850,0%,+$527,,,,,CIVB
17,,2018-11-07 08:52:24,2018-11-06,CIVB,Morrison Lance A.,"SVP, Legal Counsel",P - Purchase,$21.50,"+1,000",1000,New,"+$21,500",,,,,CIVB
18,,2018-09-20 14:46:02,2018-09-20,CIVB,Singer Harry,Subsidiary Director,P - Purchase,$23.74,+30,8816,0%,+$712,,,,,CIVB
19,,2018-09-19 10:12:34,2018-09-18,CIVB,Parcher Charles A.,SVP,P - Purchase,$22.93,+500,4440,+13%,"+$11,464",,,,,CIVB
20,,2018-08-31 12:27:44,2018-08-31,CIVB,Singer Harry,Subsidiary Director,P - Purchase,$23.92,+200,8786,+2%,"+$4,784",,,,,CIVB
21,,2018-08-16 11:50:37,2018-08-16,CIVB,Nickles Allen R,Dir,P - Purchase,$24.73,+35,109044,0%,+$866,,,,,CIVB
