,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-08-14 15:50:29,2020-08-12,CLMT,Obermeier Scott,EVP - Commercial,P - Purchase,$2.57,"+25,000",25000,New,"+$64,275",,,,,CLMT
1,DM,2020-03-17 17:17:26,2020-03-13,CLMT,Jennings H. Keith,CFO,P - Purchase,$1.88,"+9,500",105302,+10%,"+$17,825",,,,,CLMT
2,,2020-03-13 13:46:17,2020-03-12,CLMT,Jennings H. Keith,CFO,P - Purchase,$1.93,"+12,000",95802,+14%,"+$23,100",,,,,CLMT
3,M,2020-03-12 15:42:11,2020-03-09,CLMT,Jennings H. Keith,CFO,P - Purchase,$2.26,"+19,500",83802,+30%,"+$44,145",,,,,CLMT
4,M,2020-03-11 11:39:27,2020-02-28,CLMT,Jennings H. Keith,CFO,P - Purchase,$2.83,"+7,500",64302,+13%,"+$21,233",,,,,CLMT
5,,2020-03-05 15:36:28,2020-03-03,CLMT,Jennings H. Keith,CFO,P - Purchase,$3.45,+750,112854,+1%,"+$2,587",,,,,CLMT
6,D,2020-02-28 21:38:04,2020-02-27,CLMT,Jennings H. Keith,CFO,P - Purchase,$3.48,+750,56052,+1%,"+$2,606",,,,,CLMT
7,,2019-03-25 16:47:12,2019-03-21,CLMT,William A Anderson,EVP - Sales,S - Sale,$4.05,-2400,70036,-3%,"-$9,720",,,,,CLMT
8,,2018-11-19 17:05:24,2018-11-19,CLMT,William A Anderson,EVP - Sales,P - Purchase,$3.59,"+11,600",76417,+18%,"+$41,650",,,,,CLMT
9,M,2018-09-17 16:47:13,2018-09-14,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.42,"+3,456",97860,+4%,"+$22,181",,,,,CLMT
10,M,2018-09-13 16:49:23,2018-09-12,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.55,"+7,000",94404,+8%,"+$45,850",,,,,CLMT
11,M,2018-09-11 17:10:09,2018-09-10,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.85,"+5,900",87404,+7%,"+$40,427",,,,,CLMT
12,M,2018-09-07 16:33:42,2018-09-06,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.36,"+10,599",81504,+15%,"+$67,449",,,,,CLMT
13,M,2018-09-05 17:36:13,2018-09-04,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.57,"+11,000",70905,+18%,"+$72,272",,,,,CLMT
14,,2018-09-04 16:54:37,2018-08-31,CLMT,Go Timothy,CEO,P - Purchase,$6.85,+750,183424,0%,"+$5,138",,,,,CLMT
15,,2018-08-30 16:42:17,2018-08-29,CLMT,Go Timothy,CEO,P - Purchase,$7.00,"+1,200",182674,+1%,"+$8,400",,,,,CLMT
16,,2018-08-28 17:44:55,2018-08-27,CLMT,Go Timothy,CEO,P - Purchase,$7.05,"+1,000",181474,+1%,"+$7,050",,,,,CLMT
17,,2018-08-22 17:37:23,2018-08-21,CLMT,Go Timothy,CEO,P - Purchase,$6.70,+800,180474,0%,"+$5,360",,,,,CLMT
18,A,2018-08-21 16:45:54,2018-08-15,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.70,"+5,000",59905,+9%,"+$33,500",,,,,CLMT
19,,2018-08-15 17:44:19,2018-08-15,CLMT,Griffin David West,"EVP, CFO",P - Purchase,$6.70,"+5,000",59905,+9%,"+$33,500",,,,,CLMT
