,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-10 10:10:18,2021-12-09,CTBI,Baird Charles J,Dir,S - Sale,$43.02,-4000,202194,-2%,"-$172,070",,,,,CTBI
1,,2021-11-29 10:41:56,2021-11-26,CTBI,Baird Charles J,Dir,P - Purchase,$42.28,+500,206194,0%,"+$21,138",,,,,CTBI
2,,2021-11-22 17:08:22,2021-11-22,CTBI,Draughn James B,EVP,S - Sale,$44.86,-5000,23117,-18%,"-$224,289",,,,,CTBI
3,,2021-11-09 11:34:49,2021-11-09,CTBI,Baird Charles J,Dir,P - Purchase,$45.76,+500,205694,0%,"+$22,880",,,,,CTBI
4,,2021-11-09 09:13:43,2021-11-08,CTBI,Gartner James J,Executive Vice President,S - Sale,$45.76,-500,1459,-26%,"-$22,882",,,,,CTBI
5,AM,2021-11-01 10:18:34,2021-08-12,CTBI,Parrish M Lynn,Dir,P - Purchase,$41.50,"+7,224",181466,+4%,"+$299,773",,,,,CTBI
6,D,2021-10-26 17:39:19,2021-10-25,CTBI,Waters Andy D,EVP,S - Sale+OE,$43.17,-280,6601,-4%,"-$12,089",,,,,CTBI
7,,2021-09-20 16:09:24,2021-09-20,CTBI,Baird Charles J,Dir,P - Purchase,$38.26,+500,205192,0%,"+$19,130",,,,,CTBI
8,AM,2021-08-24 16:28:18,2021-08-12,CTBI,Parrish M Lynn,Dir,P - Purchase,$41.50,"+7,224",181466,+4%,"+$299,779",,,,,CTBI
9,,2021-08-24 16:12:52,2021-08-23,CTBI,Parrish M Lynn,Dir,P - Purchase,$41.50,"+2,776",184242,+2%,"+$115,204",,,,,CTBI
10,M,2021-08-18 11:03:58,2021-08-12,CTBI,Parrish M Lynn,Dir,P - Purchase,$41.50,"+7,224",181466,+4%,"+$299,779",,,,,CTBI
11,,2021-08-11 13:25:21,2021-08-11,CTBI,Baird Charles J,Dir,P - Purchase,$40.90,+500,204692,0%,"+$20,451",,,,,CTBI
12,,2021-06-15 17:01:47,2021-06-11,CTBI,Newsom Richard W,EVP,S - Sale,$43.06,-2211,33772,-6%,"-$95,206",,,,,CTBI
13,,2021-05-26 13:22:23,2021-05-25,CTBI,Draughn James B,EVP,S - Sale,$43.43,-5000,27946,-15%,"-$217,150",,,,,CTBI
14,D,2021-05-24 16:21:40,2021-05-24,CTBI,Waters Andy D,EVP,S - Sale+OE,$45.10,-550,6661,-8%,"-$24,805",,,,,CTBI
15,,2021-05-11 16:32:21,2021-05-11,CTBI,Farris Franklin H Jr,Dir,P - Purchase,$44.28,+500,2150,+30%,"+$22,142",,,,,CTBI
16,,2021-05-11 16:12:42,2021-05-10,CTBI,Minnifield Franky,Dir,S - Sale,$45.19,-2000,7564,-21%,"-$90,390",,,,,CTBI
17,,2021-04-29 18:24:30,2021-04-28,CTBI,Draughn James B,EVP,S - Sale,$44.37,-5000,32688,-13%,"-$221,866",,,,,CTBI
18,,2020-09-23 15:34:35,2020-09-23,CTBI,St. Charles Anthony W.,Dir,P - Purchase,$28.40,"+1,000",9837,+11%,"+$28,400",,,,,CTBI
19,,2020-09-21 16:31:14,2020-09-21,CTBI,Minnifield Franky,Dir,P - Purchase,$28.26,"+1,000",9286,+12%,"+$28,263",,,,,CTBI
20,,2020-09-16 15:50:10,2020-09-15,CTBI,Minnifield Franky,Dir,P - Purchase,$29.96,"+1,000",8286,+14%,"+$29,961",,,,,CTBI
21,,2020-09-11 10:21:05,2020-09-10,CTBI,Gartner James J,EVP,S - Sale,$30.94,-519,1728,-23%,"-$16,058",,,,,CTBI
22,,2020-05-13 14:48:11,2020-05-13,CTBI,Minnifield Franky,Dir,P - Purchase,$28.37,+500,7203,+7%,"+$14,187",,,,,CTBI
23,,2020-03-18 17:53:24,2020-03-18,CTBI,Minnifield Franky,Director of Lead Bank,P - Purchase,$30.89,+500,6628,+8%,"+$15,447",,,,,CTBI
24,,2020-01-27 16:47:36,2020-01-27,CTBI,Stumbo Kevin J,"EVP, CFO, Treasurer",S - Sale,$44.72,-1151,22231,-5%,"-$51,473",,,,,CTBI
25,D,2019-11-14 10:22:47,2019-11-13,CTBI,Hancock Charles Wayne II,EVP,S - Sale+OE,$44.66,-10000,6547,-60%,"-$446,600",,,,,CTBI
26,D,2019-11-06 16:37:52,2019-11-05,CTBI,Jones David Andrew,EVP,S - Sale+OE,$45.04,-413,22500,-2%,"-$18,601",,,,,CTBI
27,,2019-11-06 14:56:36,2019-11-05,CTBI,Gartner James J,EVP,S - Sale,$45.18,-383,1879,-17%,"-$17,304",,,,,CTBI
28,,2019-08-15 17:11:21,2019-08-15,CTBI,Minnifield Franky,Director of Lead Bank,P - Purchase,$39.33,"+1,000",6025,+20%,"+$39,330",,,,,CTBI
29,D,2019-07-30 13:46:18,2019-07-29,CTBI,Waters Andy D,EVP,S - Sale+OE,$42.08,-274,5660,-5%,"-$11,531",,,,,CTBI
30,M,2018-12-13 17:32:34,2018-12-10,CTBI,Minnifield Franky,Director of Lead Bank,P - Purchase,$41.74,"+1,600",4905,+48%,"+$66,786",,,,,CTBI
31,,2018-10-18 15:38:06,2018-10-17,CTBI,Minnifield Franky,Director of Lead Bank,P - Purchase,$44.64,"+2,275",3305,+221%,"+$101,563",,,,,CTBI
32,,2018-08-28 15:54:53,2018-08-28,CTBI,St. Charles Anthony W.,Dir,P - Purchase,$49.15,+200,8198,+3%,"+$9,830",,,,,CTBI
33,,2018-08-28 15:39:03,2018-08-27,CTBI,Gartner James J,EVP,S - Sale,$50.02,-329,1301,-20%,"-$16,455",,,,,CTBI
34,,2018-08-27 09:48:59,2018-08-24,CTBI,Baird Charles J,Dir,S - Sale,$49.71,-4000,204176,-2%,"-$198,830",,,,,CTBI
35,,2018-08-23 12:56:41,2018-08-22,CTBI,Baird Charles J,Dir,S - Sale,$50.47,-2000,208176,-1%,"-$100,943",,,,,CTBI
36,D,2018-08-21 17:29:15,2018-08-21,CTBI,Hancock Charles Wayne II,EVP,S - Sale+OE,$49.66,-530,4956,-10%,"-$26,317",,,,,CTBI
37,D,2018-05-17 15:33:39,2018-05-17,CTBI,Waters Andy D,EVP,S - Sale+OE,$50.86,-217,4609,-4%,"-$11,036",,,,,CTBI
38,,2018-03-08 15:39:58,2018-03-08,CTBI,Carter Nick,Dir,P - Purchase,$45.70,+250,3000,+9%,"+$11,425",,,,,CTBI
39,A,2018-02-09 15:06:38,2017-12-22,CTBI,Street Chad C,Director of Lead Bank,P - Purchase,$48.79,"+4,000",5100,+364%,"+$195,143",,,,,CTBI
40,,2017-12-22 14:52:58,2017-12-22,CTBI,Street Chad C,Director of Lead Bank,P - Purchase,$48.79,"+4,000",5000,+400%,"+$195,143",,,,,CTBI
