,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-02-26 17:34:41,2021-02-24,CVLG,Kramer D Michael,Dir,P - Purchase,$18.45,+300,5665,+6%,"+$5,535",,,,,CVLG
1,M,2020-11-03 17:06:54,2020-10-30,CVTI,Bunn Paul,"EVP, CFO, Secretary",P - Purchase,$13.43,"+2,500",77147,+3%,"+$33,575",,,,,CVLG
2,,2020-11-03 17:03:13,2020-10-30,CVLG,Parker David Ray,"COB, CEO, 10%",P - Purchase,$13.66,"+36,300",4707631,+1%,"+$495,843",,,,,CVLG
3,M,2020-11-02 18:01:27,2020-10-29,CVLG,Tweed John A,"Co-Pres, COO",P - Purchase,$14.08,"+97,688",334442,+41%,"+$1,375,363",,,,,CVLG
4,,2020-03-03 17:16:09,2020-02-28,CVTI,Bosworth Robert E,Dir,P - Purchase,$11.93,"+3,000",101619,+3%,"+$35,781",,,,,CVLG
5,,2019-11-01 11:18:12,2019-10-30,CVTI,Brower James F Jr,"EVP, COO of Subsidiary",S - Sale,$15.58,-6000,58581,-9%,"-$93,498",,,,,CVLG
6,,2019-06-04 17:59:00,2019-05-31,CVTI,Bosworth Robert E,Dir,P - Purchase,$15.00,"+5,000",98619,+5%,"+$75,000",,,,,CVLG
7,,2018-12-06 17:10:01,2018-12-04,CVTI,Tweed John A,Pres of Subsidiary,P - Purchase,$21.00,"+21,341",51250,+71%,"+$448,223",,,,,CVLG
8,M,2018-11-14 17:42:24,2018-11-12,CVTI,Tweed John A,Pres of Subsidiary,P - Purchase,$23.57,"+18,659",29909,+166%,"+$439,706",,,,,CVLG
9,,2018-08-31 17:44:00,2018-08-29,CVTI,Hogan Joey B,Pres,S - Sale,$30.01,-7300,172242,-4%,"-$219,051",,,,,CVLG
10,,2018-08-24 16:30:56,2018-08-22,CVTI,Hogan Joey B,Pres,S - Sale,$30.45,-200,179504,0%,"-$6,090",,,,,CVLG
11,,2018-08-08 16:24:09,2018-08-06,CVTI,Alt William Thomas,Dir,S - Sale,$29.75,-1709,15580,-10%,"-$50,840",,,,,CVLG
12,,2018-06-15 13:41:20,2018-06-13,CVTI,Lovin Ralph H Jr,"EVP, Secretary",S - Sale,$34.85,-3000,39571,-7%,"-$104,561",,,,,CVLG
13,M,2018-06-13 18:03:01,2018-06-11,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$32.96,-145439,5070901,-3%,"-$4,792,970",,,,,CVLG
14,M,2018-06-08 17:39:50,2018-06-06,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$32.52,-51417,5216426,-1%,"-$1,672,090",,,,,CVLG
15,,2018-03-26 17:18:02,2018-03-22,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$32.51,-536,5257637,0%,"-$17,427",,,,,CVLG
16,,2018-03-23 16:12:21,2018-03-21,CVTI,Lovin Ralph H Jr,"EVP, Secretary",S - Sale,$33.00,-3000,40488,-7%,"-$99,007",,,,,CVLG
17,M,2018-03-21 16:30:41,2018-03-19,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$32.67,-68261,5258192,-1%,"-$2,229,986",,,,,CVLG
18,,2018-03-19 17:15:22,2018-03-15,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$30.00,-51652,5326453,-1%,"-$1,549,761",,,,,CVLG
19,,2018-03-19 17:11:08,2018-03-15,CVTI,Lovin Ralph H Jr,"EVP, Secretary",S - Sale,$31.96,-2000,43488,-4%,"-$63,922",,,,,CVLG
20,,2018-02-05 18:34:30,2018-02-01,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,$30.02,-25773,5382564,0%,"-$773,638",,,,,CVLG
