,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-10-01 16:16:16,2021-09-29,DFH,Boston Omaha Corp,10%,S - Sale,$17.33,-1235000,2868037,-30%,"-$21,402,230",,,,,DFH
1,M,2021-09-20 20:52:04,2021-09-16,DFH,Boston Omaha Corp,10%,S - Sale,$19.50,-250258,4103037,-6%,"-$4,879,175",,,,,DFH
2,M,2021-09-15 20:33:01,2021-09-13,DFH,Boston Omaha Corp,10%,S - Sale,$19.32,-447804,4353295,-9%,"-$8,650,561",,,,,DFH
3,,2021-01-27 17:37:14,2021-01-25,DFH,Blanton John O.,"VP, CAO",P - Purchase,$13.00,"+4,000",595768,+1%,"+$52,000",,,,,DFH
4,,2021-01-27 17:33:53,2021-01-25,DFH,Parekh Megha H.,Dir,P - Purchase,$13.00,"+2,000",2000,New,"+$26,000",,,,,DFH
5,,2021-01-27 17:26:27,2021-01-25,DFH,Fernandez Lorena Anabel,VP of Treasury,P - Purchase,$13.00,"+23,000",23000,New,"+$299,000",,,,,DFH
6,,2021-01-27 17:23:36,2021-01-25,DFH,Udelhofen Justin,Dir,P - Purchase,$13.00,"+75,000",75000,New,"+$975,000",,,,,DFH
7,,2021-01-27 17:12:23,2021-01-25,DFH,Moran Doug,"SVP, COO",P - Purchase,$13.00,"+60,000",815490,+8%,"+$780,000",,,,,DFH
8,,2021-01-27 17:09:16,2021-01-25,DFH,Moyer Rick A.,"SVP, CFO",P - Purchase,$13.00,"+30,000",933861,+3%,"+$390,000",,,,,DFH
9,,2021-01-27 17:05:57,2021-01-25,DFH,Riva Robert E.,"VP, GC, Corporate Secretary",P - Purchase,$13.00,"+1,000",19640,+5%,"+$13,000",,,,,DFH
10,,2021-01-27 16:59:40,2021-01-25,DFH,Boston Omaha Corp,10%,P - Purchase,$13.00,"+120,000",4801099,+3%,"+$1,560,000",,,,,DFH
