,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 15:37:51,2021-11-23,DGICA,Hess Jack Lee,Dir,P - Purchase,$14.18,"+2,000",66130,+3%,"+$28,360",,,,,DGICB
1,,2021-08-11 16:42:07,2021-08-11,DGICA,Huber Barry C,Dir,P - Purchase,$15.28,"+6,000",13367,+81%,"+$91,674",,,,,DGICB
2,DM,2021-06-14 13:21:04,2021-06-11,DGICA,Moore Sewell Trezevant Jr,Dir,S - Sale+OE,$15.10,-12000,25155,-32%,"-$181,201",,,,,DGICB
3,,2021-06-14 13:14:40,2021-06-11,DGICA,Donegal Mutual Insurance Co,10%,P - Purchase,$15.22,"+200,000",15197031,+1%,"+$3,044,000",,,,,DGICB
4,D,2021-06-07 08:49:28,2021-06-03,DGICA,Kraft Kevin Michael Sr,Dir,S - Sale+OE,$15.45,-1859,11436,-14%,"-$28,712",,,,,DGICB
5,DM,2021-06-02 12:30:44,2021-06-01,DGICA,Mahan Jon Marshall,Dir,S - Sale+OE,$15.27,-12000,7488,-62%,"-$183,195",,,,,DGICB
6,DM,2021-05-17 15:22:18,2021-05-14,DGICA,Berlucchi Scott Andrew,Dir,S - Sale+OE,$15.01,-12000,6831,-64%,"-$180,161",,,,,DGICB
7,DM,2021-05-11 12:48:37,2021-05-07,DGICA,Haefner Francis Joseph Jr,SVP,S - Sale+OE,$15.20,-35000,5295,-87%,"-$532,044",,,,,DGICB
8,D,2021-04-29 15:00:41,2021-04-29,DGICA,Wampler Richard D II,Dir,S - Sale+OE,$15.51,-12000,8602,-58%,"-$186,158",,,,,DGICB
9,,2021-03-11 17:07:25,2021-03-11,DGICA,Donegal Mutual Insurance Co,10%,P - Purchase,$14.85,"+75,000",14997031,+1%,"+$1,113,750",,,,,DGICB
10,D,2021-03-11 17:06:27,2021-03-11,DGICA,Burke Kevin Gerard,"Pres, Chief Exec Officer",S - Sale+OE,$14.85,-75000,8767,-90%,"-$1,113,750",,,,,DGICB
11,DM,2021-03-11 17:05:26,2021-03-10,DGICA,Miller Jeffrey Dean,"EVP, CFO",S - Sale+OE,$14.87,-35000,48752,-42%,"-$520,279",,,,,DGICB
12,DM,2021-03-10 16:14:05,2021-03-08,DGICA,Miller Jeffrey Dean,"EVP, CFO",S - Sale+OE,$14.91,-40000,48752,-45%,"-$596,385",,,,,DGICB
13,D,2021-03-03 15:51:29,2021-03-01,DGICA,Viozzi Vincent Anthony,"SVP, Chief Inv Officer",S - Sale+OE,$14.46,-7500,8022,-48%,"-$108,459",,,,,DGICB
14,D,2020-12-15 11:27:15,2020-12-14,DGICA,Viozzi Vincent Anthony,"SVP, Chief Inv Officer",S - Sale+OE,$14.15,-3500,7293,-32%,"-$49,525",,,,,DGICB
15,D,2020-12-14 10:56:52,2020-09-03,DGICA,Folmar William Albert,SVP,S - Sale+OE,$14.78,-5437,659,-89%,"-$80,359",,,,,DGICB
16,,2020-12-14 10:49:14,2020-12-14,DGICA,Donegal Mutual Insurance Co,10%,P - Purchase,$14.16,"+100,000",14922031,+1%,"+$1,415,800",,,,,DGICB
17,DM,2020-12-11 11:50:49,2020-12-10,DGICA,Wampler Richard D II,Dir,S - Sale+OE,$14.15,-8000,8102,-50%,"-$113,200",,,,,DGICB
18,,2020-12-11 11:43:43,2020-12-10,DGICA,Donegal Mutual Insurance Co,10%,P - Purchase,$14.22,"+35,000",14822031,0%,"+$497,700",,,,,DGICB
19,D,2020-12-11 11:40:39,2020-12-10,DGICA,Kelley Richard George,SVP,S - Sale+OE,$14.22,-35000,32402,-52%,"-$497,700",,,,,DGICB
20,DM,2020-12-09 16:16:55,2020-12-08,DGICA,Kraft Kevin Michael Sr,Dir,S - Sale+OE,$14.20,-8000,10936,-42%,"-$113,610",,,,,DGICB
