,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-10-12 16:01:20,2021-10-07,DSKE,Williams Rick Alan,"EVP, COO",S - Sale,$9.95,-49505,0,-100%,"-$492,575",,,,,DSKE
1,,2021-09-09 17:00:18,2021-09-07,DSKE,Williams Rick Alan,"EVP, COO",S - Sale,$9.13,-250000,49505,-83%,"-$2,282,500",,,,,DSKE
2,,2020-05-15 16:20:19,2020-05-15,DSKE,Charlton Kevin M.,Dir,P - Purchase,$1.65,"+14,000",158076,+10%,"+$23,078",,,,,DSKE
3,M,2020-05-15 07:47:30,2020-05-13,DSKE,Shepko Jonathan,Dir,P - Purchase,$1.54,"+108,610",124136,+700%,"+$166,833",,,,,DSKE
4,,2020-05-14 18:37:42,2020-05-12,DSKE,Warmbier Kimberly,Dir,P - Purchase,$1.59,"+6,250",6250,New,"+$9,918",,,,,DSKE
5,M,2020-05-14 17:20:20,2020-05-12,DSKE,Bonner Brian,Dir,P - Purchase,$1.61,"+100,000",161625,+162%,"+$161,015",,,,,DSKE
6,,2019-09-17 18:38:15,2019-09-13,DSKE,Serianni Charles F,Dir,P - Purchase,$3.43,"+10,000",10000,New,"+$34,300",,,,,DSKE
7,,2019-09-13 18:58:25,2019-09-13,DSKE,Williams Ena,Dir,P - Purchase,$3.36,"+22,000",22000,New,"+$74,019",,,,,DSKE
8,,2019-08-09 19:25:21,2019-08-07,DSKE,Sinclair Mark,Dir,P - Purchase,$2.25,"+15,000",35252,+74%,"+$33,750",,,,,DSKE
9,,2019-08-08 17:19:22,2019-08-07,DSKE,Easter Christopher R.,COO,P - Purchase,$2.17,"+20,000",20000,New,"+$43,360",,,,,DSKE
10,,2018-12-13 19:37:17,2018-12-13,DSKE,Daseke Don R,"CEO, 10%",P - Purchase,$3.39,"+76,000",18001769,0%,"+$257,974",,,,,DSKE
11,,2018-12-12 19:46:37,2018-12-12,DSKE,Gafford Ronald J,Dir,P - Purchase,$3.54,"+5,000",78498,+7%,"+$17,691",,,,,DSKE
12,,2018-12-07 18:07:28,2018-12-04,DSKE,Sinclair Mark,Dir,P - Purchase,$3.77,"+10,000",15000,+200%,"+$37,665",,,,,DSKE
13,M,2018-05-22 18:22:55,2018-05-18,DSKE,Wheeler Ronald Scott,"Pres, CFO",P - Purchase,$9.48,"+5,000",141273,+4%,"+$47,391",,,,,DSKE
14,,2018-05-21 17:25:54,2018-05-18,DSKE,Gafford Ronald J,Dir,P - Purchase,$9.27,"+5,000",62682,+9%,"+$46,350",,,,,DSKE
15,,2018-05-21 17:25:40,2018-05-18,DSKE,Hennessy Daniel J,Dir,P - Purchase,$9.46,"+15,000",640998,+2%,"+$141,843",,,,,DSKE
16,,2018-05-21 17:24:39,2018-05-18,DSKE,Charlton Kevin M.,Dir,P - Purchase,$9.33,"+5,000",138824,+4%,"+$46,663",,,,,DSKE
17,,2018-05-18 16:06:20,2018-05-16,DSKE,Bonner Brian,Dir,P - Purchase,$9.07,"+5,000",48261,+12%,"+$45,330",,,,,DSKE
18,,2018-02-20 17:58:55,2018-02-20,DSKE,Charlton Kevin M.,Dir,S - Sale,$9.99,-80000,133824,-37%,"-$799,240",,,,,DSKE
