,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 16:12:24,2021-12-15,DXLG,Dhoot Ujjwal,CMO,S - Sale,$6.09,-10000,87917,-10%,"-$60,900",,,,,DXLG
1,M,2021-12-07 16:21:09,2021-12-03,DXLG,Ross Ivy,Dir,S - Sale,$6.70,-30000,197089,-13%,"-$201,068",,,,,DXLG
2,,2021-11-18 16:22:54,2021-11-16,DXLG,Molloy Robert S,"GC, Secretary",S - Sale,$8.75,-6666,227798,-3%,"-$58,331",,,,,DXLG
3,DM,2021-11-16 07:41:04,2021-11-12,DXLG,Chane Francis C,"SVPSupply Chain,CustomerFulfil",S - Sale+OE,$8.11,-31035,167015,-16%,"-$251,782",,,,,DXLG
4,DM,2021-11-15 17:13:02,2021-11-12,DXLG,Molloy Robert S,"GC, Secretary",S - Sale+OE,$8.14,-34984,234464,-13%,"-$284,874",,,,,DXLG
5,D,2021-11-15 17:12:34,2021-11-12,DXLG,Stratton Peter H Jr.,"EVP, CFO, Treasurer",S - Sale+OE,$8.00,-43816,163470,-21%,"-$350,528",,,,,DXLG
6,,2021-11-15 17:12:08,2021-11-15,DXLG,Dhoot Ujjwal,CMO,S - Sale,$8.32,-10000,97917,-9%,"-$83,178",,,,,DXLG
7,M,2021-11-03 17:22:37,2021-11-01,DXLG,Chane Francis C,"SVPSupply Chain,CustomerFulfil",S - Sale,$7.76,-12778,178995,-7%,"-$99,219",,,,,DXLG
8,,2021-11-02 16:57:17,2021-10-29,DXLG,Stratton Peter H Jr.,"EVP, CFO, Treasurer",S - Sale,$7.00,-20000,173470,-10%,"-$140,000",,,,,DXLG
9,DM,2021-11-02 16:56:30,2021-10-29,DXLG,Molloy Robert S,"GC, Secretary",S - Sale+OE,$7.12,-48294,251131,-16%,"-$344,019",,,,,DXLG
10,D,2021-10-26 17:25:02,2021-10-25,DXLG,Cooney John F,"CAO, VP-MD",S - Sale+OE,$6.40,-15000,71358,-17%,"-$95,943",,,,,DXLG
11,,2021-10-25 16:33:34,2021-10-21,DXLG,Dhoot Ujjwal,CMO,S - Sale,$6.27,-10000,107917,-8%,"-$62,660",,,,,DXLG
12,,2021-10-25 16:32:10,2021-10-21,DXLG,Stratton Peter H Jr.,"EVP, CFO, Treasurer",S - Sale,$6.24,-20000,193470,-9%,"-$124,760",,,,,DXLG
13,,2021-09-16 17:22:38,2021-09-14,DXLG,Mesdag Willem,Dir,S - Sale,$5.83,-5733076,2530552,-69%,"-$33,450,779",,,,,DXLG
14,,2021-09-10 16:59:31,2021-09-08,DXLG,"Awm Investment Company, Inc.",10%,S - Sale,$7.11,-29318,11081793,0%,"-$208,574",,,,,DXLG
15,,2021-04-16 08:35:10,2021-04-14,DXLG,Rubin Elaine,Dir,P - Purchase,$1.33,"+40,000",40000,New,"+$53,022",,,,,DXLG
16,,2021-03-23 09:34:03,2021-03-22,DXLG,Conacher Lionel F.,Dir,P - Purchase,$0.91,"+50,000",325921,+18%,"+$45,535",,,,,DXLG
17,M,2021-01-19 15:55:21,2021-01-14,DXLG,Mesdag Willem,"Dir, 10%",P - Purchase,$0.37,"+300,000",8726577,+4%,"+$112,287",,,,,DXLG
18,,2021-01-19 08:04:23,2021-01-15,DXLG,Boyle Jack,Dir,P - Purchase,$0.37,"+76,000",401238,+23%,"+$28,120",,,,,DXLG
19,,2021-01-15 16:12:38,2021-01-13,DXLG,Boyle Jack,Dir,P - Purchase,$0.30,+150,325238,0%,+$45,,,,,DXLG
20,,2021-01-13 16:55:42,2021-01-13,DXLG,Stratton Peter H Jr.,"EVP, CFO, Treasurer",P - Purchase,$0.34,"+15,000",191528,+8%,"+$5,051",,,,,DXLG
21,,2021-01-13 15:06:03,2021-01-13,DXLG,Chane Francis C,"SVPSupply Chain,CustomerFulfil",P - Purchase,$0.32,"+6,250",175814,+4%,"+$2,000",,,,,DXLG
22,,2021-01-13 14:41:36,2021-01-13,DXLG,Gaeta Anthony,"SVP, Store Sales, Operations",P - Purchase,$0.33,"+8,000",115866,+7%,"+$2,612",,,,,DXLG
23,,2021-01-13 14:40:31,2021-01-13,DXLG,Dhoot Ujjwal,CMO,P - Purchase,$0.33,"+20,000",100586,+25%,"+$6,688",,,,,DXLG
24,,2021-01-13 14:39:18,2021-01-13,DXLG,Molloy Robert S,"Chief Admin.Officer, GC, Secy",P - Purchase,$0.32,"+10,000",260276,+4%,"+$3,200",,,,,DXLG
25,,2021-01-13 14:37:22,2021-01-13,DXLG,Kanter Harvey S,"Pres, CEO",P - Purchase,$0.33,"+10,000",183669,+6%,"+$3,266",,,,,DXLG
26,,2020-06-05 16:17:00,2020-06-03,DXLG,Cannell Capital LLC,10%,S - Sale,$0.35,-164765,5091601,-3%,"-$57,618",,,,,DXLG
27,M,2020-05-29 17:07:07,2020-05-27,DXLG,Cannell Capital LLC,10%,S - Sale,$0.44,-157314,5256366,-3%,"-$68,670",,,,,DXLG
28,,2020-01-21 15:09:50,2020-01-17,DXLG,Mesdag Willem,"Dir, 10%",P - Purchase,$1.25,"+41,700",8426577,0%,"+$52,167",,,,,DXLG
