,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 16:48:13,2021-12-15,DXPE,Gregory Christopher T,SVP,S - Sale,$26.90,-3000,19099,-14%,"-$80,700",,,,,DXPE
1,,2021-12-17 16:47:01,2021-12-15,DXPE,Yee Kent Nee Hung,SVP,S - Sale,$26.90,-3000,20920,-13%,"-$80,700",,,,,DXPE
2,,2021-06-30 15:36:46,2021-06-25,DXPE,Mannes Joseph R,Dir,P - Purchase,$33.46,"+1,000",6072,+20%,"+$33,460",,,,,DXPE
3,,2021-06-24 15:36:02,2021-06-18,DXPE,Little David R,"COB, CEO, 10%",P - Purchase,$28.67,"+30,021",1356066,+2%,"+$860,702",,,,,DXPE
4,,2021-06-10 14:27:48,2021-06-07,DXPE,Padgett Gene,"SVP, Chief Accounting Officer",S - Sale,$31.81,-330,8129,-4%,"-$10,497",,,,,DXPE
5,,2021-04-05 12:10:07,2021-03-24,DXPE,Gregory Christopher T,SVP,S - Sale,$30.10,-2000,23061,-8%,"-$60,200",,,,,DXPE
6,,2021-03-24 15:57:14,2021-03-24,DXPE,Yee Kent Nee Hung,SVP,S - Sale,$30.75,-2750,24106,-10%,"-$84,563",,,,,DXPE
7,,2020-09-09 15:38:49,2020-09-03,DXPE,Padgett Gene,"SVP, Chief Accounting Officer",S - Sale,$19.90,-1200,7876,-13%,"-$23,880",,,,,DXPE
8,,2020-06-10 12:37:02,2020-06-09,DXPE,Mannes Joseph R,Dir,P - Purchase,$24.01,"+1,000",1100,>999%,"+$24,010",,,,,DXPE
9,,2020-06-09 14:26:44,2020-06-08,DXPE,Padgett Gene,"SVP, Chief Accounting Officer",S - Sale,$25.99,-267,9076,-3%,"-$6,939",,,,,DXPE
10,,2020-05-13 16:26:30,2020-05-13,DXPE,Halter Timothy P,Dir,P - Purchase,$12.25,"+10,000",36486,+38%,"+$122,500",,,,,DXPE
11,,2019-12-02 16:55:27,2019-11-25,DXPE,Gregory Christopher T,SVP,S - Sale,$39.75,-1432,25002,-5%,"-$56,922",,,,,DXPE
12,M,2019-03-21 13:39:02,2019-03-14,DXPE,Yee Kent Nee Hung,SVP,S - Sale,$40.52,-14960,21686,-41%,"-$606,142",,,,,DXPE
13,,2018-09-17 10:58:16,2018-09-13,DXPE,Yee Kent Nee Hung,"SVP, CFO",S - Sale,$43.35,-5000,36646,-12%,"-$216,750",,,,,DXPE
14,,2018-08-28 12:31:52,2018-08-22,DXPE,Vinson David C,SVP,S - Sale,$48.00,-4000,6563,-38%,"-$192,000",,,,,DXPE
15,A,2018-08-14 13:26:25,2018-08-10,DXPE,Little David R,"COB, CEO, 10%",S - Sale,$48.41,-50000,1277716,-4%,"-$2,420,500",,,,,DXPE
16,,2018-08-13 17:58:34,2018-08-10,DXPE,Little David R,"COB, CEO, 10%",S - Sale,$48.41,-50000,1281466,-4%,"-$2,420,500",,,,,DXPE
17,DM,2018-06-19 14:34:58,2018-06-11,DXPE,Davis Cletus,Dir,S - Sale+OE,$40.16,-3000,14546,-17%,"-$120,490",,,,,DXPE
18,D,2018-05-30 10:52:45,2018-05-17,DXPE,Gregory Christopher T,SVP,S - Sale+OE,$39.51,-674,146,-82%,"-$26,630",,,,,DXPE
19,D,2018-04-03 17:07:23,2018-03-29,DXPE,Hamlin Todd,SVP,S - Sale+OE,$40.00,-2500,23740,-10%,"-$100,000",,,,,DXPE
20,,2018-04-02 17:03:20,2018-03-29,DXPE,Vinson David C,SVP,S - Sale,$40.00,-7290,10563,-41%,"-$291,600",,,,,DXPE
21,D,2018-04-02 17:02:26,2018-03-29,DXPE,Yee Kent Nee Hung,"SVP, CFO",S - Sale+OE,$39.35,-3175,40846,-7%,"-$124,936",,,,,DXPE
22,,2018-03-29 17:02:14,2018-03-26,DXPE,Jeffery John Jay,SVP,S - Sale,$40.00,-3000,22858,-12%,"-$120,000",,,,,DXPE
23,D,2018-03-26 19:38:10,2018-03-21,DXPE,Little David R,"COB, CEO, 10%",S - Sale+OE,$40.33,-49841,1304873,-4%,"-$2,010,088",,,,,DXPE
24,D,2018-01-04 14:02:30,2017-12-29,DXPE,Hamlin Todd,SVP,S - Sale+OE,$29.68,-2500,23446,-10%,"-$74,200",,,,,DXPE
25,D,2017-12-29 16:33:11,2017-12-27,DXPE,Little David R,"COB, CEO, 10%",S - Sale+OE,$29.50,-13500,1354714,-1%,"-$398,250",,,,,DXPE
26,D,2017-12-21 17:33:29,2017-12-21,DXPE,Yee Kent Nee Hung,"SVP, CFO",S - Sale+OE,$29.69,-2200,40984,-5%,"-$65,318",,,,,DXPE
