,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-02-01 17:09:26,2021-01-27,EBIX,Senge James Scott Sr,SVP,S - Sale,$59.76,-672,12221,-5%,"-$40,159",,,,,EBIX
1,,2020-06-19 15:45:33,2020-06-17,EBIX,Eckert Neil D,Dir,S - Sale,$23.92,-10000,91987,-10%,"-$239,200",,,,,EBIX
2,,2020-03-25 13:53:34,2020-03-24,EBIX,Eckert Neil D,Dir,P - Purchase,$14.76,"+3,595",101987,+4%,"+$53,062",,,,,EBIX
3,,2020-03-19 09:00:19,2020-03-18,EBIX,Raina Robin,"COB, CEO, 10%",P - Purchase,$9.20,"+100,000",4168892,+2%,"+$920,000",,,,,EBIX
4,,2020-03-18 13:52:15,2020-03-18,EBIX,Bhalla Pavan,Dir,P - Purchase,$10.35,"+10,000",79466,+14%,"+$103,500",,,,,EBIX
5,,2020-03-16 09:00:32,2020-03-13,EBIX,Raina Robin,"COB, CEO, 10%",P - Purchase,$16.15,"+10,000",4068892,0%,"+$161,500",,,,,EBIX
6,,2020-03-13 13:02:35,2020-03-12,EBIX,Raina Robin,"COB, CEO, 10%",P - Purchase,$16.05,"+54,079",4058892,+1%,"+$867,968",,,,,EBIX
7,,2020-03-10 09:00:29,2020-03-09,EBIX,Raina Robin,"COB, CEO, 10%",P - Purchase,$21.82,"+10,000",4004813,0%,"+$218,200",,,,,EBIX
8,,2020-03-06 09:00:29,2020-03-05,EBIX,Eckert Neil D,Dir,P - Purchase,$21.61,"+2,500",97992,+3%,"+$54,025",,,,,EBIX
9,,2020-03-06 09:00:25,2020-03-05,EBIX,Raina Robin,"COB, CEO, 10%",P - Purchase,$21.87,"+20,000",3994813,+1%,"+$437,400",,,,,EBIX
10,,2020-03-06 09:00:22,2020-03-05,EBIX,Bhalla Pavan,Dir,P - Purchase,$22.87,"+14,000",69466,+25%,"+$320,180",,,,,EBIX
11,,2020-01-03 19:09:21,2019-12-31,EBIX,Raina Robin,"COB, CEO",S - Sale,$33.41,-44024,3867158,-1%,"-$1,470,842",,,,,EBIX
12,,2019-11-25 08:00:24,2019-11-21,EBIX,Keller Hans Ueli,Dir,P - Purchase,$32.83,"+1,000",17428,+6%,"+$32,830",,,,,EBIX
13,A,2019-08-22 15:34:04,2019-08-19,EBIX,Rennes Fondation,10%,S - Sale,$36.20,-22145,2915981,-1%,"-$801,687",,,,,EBIX
14,M,2019-08-22 11:21:42,2019-08-13,EBIX,Rennes Fondation,10%,S - Sale,$35.30,-300000,2915981,-9%,"-$10,588,643",,,,,EBIX
15,M,2019-04-11 11:43:01,2017-09-21,EBIX,D'Apice Leon Royden Thomas,EVP-EBIX AUSTRALIA GROUP HEAD,S - Sale,$55.09,-13000,50823,-20%,"-$716,200",,,,,EBIX
16,,2018-12-21 18:14:49,2018-12-21,EBIX,Raina Robin,"COB, CEO",P - Purchase,$39.71,"+2,500",3819524,0%,"+$99,275",,,,,EBIX
17,M,2018-12-14 10:13:58,2018-12-06,EBIX,Rennes Fondation,10%,S - Sale,$44.10,-210000,3215981,-6%,"-$9,260,032",,,,,EBIX
18,,2018-12-06 09:55:09,2018-11-16,EBIX,D'Apice Leon Royden Thomas,EVP-EBIX AUSTRALIA GROUP HEAD,S - Sale,$49.58,-2000,61971,-3%,"-$99,160",,,,,EBIX
19,,2018-11-13 17:03:50,2018-11-12,EBIX,Raina Robin,"COB, CEO",P - Purchase,$52.45,"+1,000",3817024,0%,"+$52,450",,,,,EBIX
20,,2018-10-04 11:05:21,2018-10-03,EBIX,Rennes Fondation,10%,S - Sale,$77.20,-12800,3425981,0%,"-$988,160",,,,,EBIX
21,D,2018-06-25 12:51:01,2018-06-25,EBIX,Benz Hans U,Dir,S - Sale+OE,$78.52,-2283,2909,-44%,"-$179,261",,,,,EBIX
22,,2017-12-27 14:37:08,2017-12-15,EBIX,D'Apice Leon Royden Thomas,EVP-EBIX AUSTRALIA GROUP HEAD,S - Sale,$77.45,-3500,63971,-5%,"-$271,075",,,,,EBIX
