,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2020-05-20 16:12:03,2020-05-18,EBSB,Dimaria Anna R,Dir,S - Sale+OE,$11.33,-3289,81555,-4%,"-$37,250",,,,,EBSB
1,D,2020-02-21 13:17:13,2020-02-20,EBSB,Natalucci Gregory F,Dir,S - Sale+OE,$18.07,-7000,55732,-11%,"-$126,520",,,,,EBSB
2,D,2019-11-05 11:57:25,2019-11-04,EBSB,Gambardella Domenic A,Dir,S - Sale+OE,$19.84,-7000,127925,-5%,"-$138,880",,,,,EBSB
3,D,2019-02-04 15:40:38,2019-01-31,EBSB,Natalucci Gregory F,Dir,S - Sale+OE,$15.76,-7000,60596,-10%,"-$110,309",,,,,EBSB
4,D,2019-01-28 17:17:26,2019-01-28,EBSB,Merritt Edward J,EVP,S - Sale+OE,$15.80,-2800,73293,-4%,"-$44,240",,,,,EBSB
5,D,2019-01-25 11:44:25,2019-01-25,EBSB,Merritt Edward J,EVP,P - Purchase,$15.50,+165,76093,0%,"+$2,558",,,,,EBSB
6,D,2018-12-10 10:41:13,2018-12-06,EBSB,Natalucci Gregory F,Dir,S - Sale+OE,$15.31,-100,58329,0%,"-$1,531",,,,,EBSB
7,D,2018-11-30 15:11:09,2018-11-30,EBSB,Sartori James G,Dir,S - Sale+OE,$16.25,-2400,50613,-5%,"-$39,000",,,,,EBSB
8,D,2018-10-30 12:22:29,2018-10-30,EBSB,Sartori James G,Dir,S - Sale+OE,$15.85,-1200,53013,-2%,"-$19,020",,,,,EBSB
9,D,2018-10-26 15:27:09,2018-10-26,EBSB,Romano Frank,EVP,P - Purchase,$15.66,"+1,264",190848,+1%,"+$19,793",,,,,EBSB
10,D,2018-06-07 17:24:25,2018-06-04,EBSB,Gambardella Domenic A,Dir,S - Sale+OE,$19.45,-15000,115304,-12%,"-$291,804",,,,,EBSB
11,D,2018-06-04 17:54:02,2018-06-04,EBSB,Sartori James G,Dir,S - Sale+OE,$19.48,-19852,54213,-27%,"-$386,763",,,,,EBSB
12,D,2018-05-04 13:33:20,2018-05-04,EBSB,Sartori James G,Dir,S - Sale+OE,$19.00,-1223,54213,-2%,"-$23,237",,,,,EBSB
13,D,2018-05-01 15:55:57,2018-04-27,EBSB,Romano Frank,EVP,P - Purchase,$18.85,"+14,365",189307,+8%,"+$270,827",,,,,EBSB
14,D,2018-04-27 14:37:58,2018-04-27,EBSB,Sartori James G,Dir,S - Sale+OE,$18.85,-400,55436,-1%,"-$7,540",,,,,EBSB
15,D,2018-02-01 16:03:12,2018-02-01,EBSB,Sartori James G,Dir,S - Sale+OE,$20.21,-896,55836,-2%,"-$18,108",,,,,EBSB
16,D,2018-01-29 17:32:04,2018-01-26,EBSB,Sartori James G,Dir,S - Sale+OE,$20.61,-15146,56732,-21%,"-$312,221",,,,,EBSB
17,D,2018-01-29 17:30:57,2018-01-29,EBSB,Natalucci Gregory F,Dir,S - Sale+OE,$20.70,-7000,58429,-11%,"-$144,900",,,,,EBSB
18,D,2018-01-29 17:29:42,2018-01-26,EBSB,Merritt Edward J,EVP,P - Purchase,$20.70,+97,72536,0%,"+$2,008",,,,,EBSB
