,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-02 16:36:14,2021-07-02,EGLE,Goldentree Asset Management LP,10%,S - Sale,$44.87,-1949459,363979,-84%,"-$87,472,225",,,,,EGLE
1,DM,2021-06-24 16:13:46,2021-06-22,EGLE,Vogel Gary,CEO,S - Sale+OE,$52.20,-17990,155112,-10%,"-$939,042",,,,,EGLE
2,,2021-06-15 16:11:29,2021-06-14,EGLE,De Costanzo Frank,CFO,S - Sale,$52.50,-7213,38212,-16%,"-$378,683",,,,,EGLE
3,,2021-04-23 16:43:40,2021-04-21,EGLE,De Costanzo Frank,CFO,S - Sale,$42.35,-952,45425,-2%,"-$40,317",,,,,EGLE
4,,2021-04-07 18:12:05,2021-04-06,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,S - Sale,$34.87,-75880,3781561,-2%,"-$2,645,936",,,,,EGLE
5,M,2021-04-01 17:59:19,2021-03-30,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,S - Sale,$35.91,-65259,7766654,-1%,"-$2,343,594",,,,,EGLE
6,M,2021-03-29 18:25:39,2021-03-25,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,S - Sale,$38.11,-23022,7857706,0%,"-$877,349",,,,,EGLE
7,M,2021-03-19 18:35:34,2021-03-16,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,S - Sale,$37.83,-138693,7993697,-2%,"-$5,247,343",,,,,EGLE
8,M,2021-03-17 16:08:00,2021-03-10,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,S - Sale,$39.12,-136176,58946298,0%,"-$5,327,529",,,,,EGLE
9,,2021-02-11 18:13:33,2021-02-09,EGLE,Goldentree Asset Management LP,10%,S - Sale,$23.73,-15123,2977598,-1%,"-$358,801",,,,,EGLE
10,,2021-01-21 20:13:37,2021-01-19,EGLE,Goldentree Asset Management LP,10%,S - Sale,$23.82,-3400,2979019,0%,"-$80,988",,,,,EGLE
11,,2020-12-22 17:32:38,2020-12-18,EGLE,Goldentree Asset Management LP,10%,P - Purchase,$17.25,"+1,091,160",530842,-195%,"+$18,822,510",,,,,EGLE
12,,2020-12-22 16:43:48,2020-12-18,EGLE,Vogel Gary,CEO,P - Purchase,$18.10,"+8,287",168124,+5%,"+$149,995",,,,,EGLE
13,M,2020-09-25 16:08:24,2020-09-23,EGLE,Vogel Gary,CEO,P - Purchase,$16.19,"+4,000",159837,+3%,"+$64,750",,,,,EGLE
14,M,2020-09-17 16:09:11,2020-09-15,EGLE,Vogel Gary,CEO,P - Purchase,$17.79,"+9,000",155837,+6%,"+$160,072",,,,,EGLE
15,M,2020-01-06 18:45:36,2020-01-02,EGLE,Vogel Gary,CEO,S - Sale,$4.53,-17223,913645,-2%,"-$78,059",,,,,EGLE
16,,2019-12-31 16:23:52,2019-12-30,EGLE,Goldentree Asset Management LP,10%,S - Sale,$4.68,-14398,14066618,0%,"-$67,383",,,,,EGLE
17,M,2019-10-17 16:57:51,2019-10-15,EGLE,Vogel Gary,CEO,S - Sale,$4.63,-53259,1029293,-5%,"-$246,618",,,,,EGLE
18,M,2019-08-29 16:06:39,2019-08-27,EGLE,Leand Paul M. Jr.,Dir,P - Purchase,$4.17,"+59,300",208368,+40%,"+$247,436",,,,,EGLE
19,M,2019-08-13 18:43:00,2019-08-09,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.20,"+310,056",58878222,+1%,"+$1,303,273",,,,,EGLE
20,M,2019-08-06 19:52:52,2019-08-02,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.32,"+550,000",58288170,+1%,"+$2,374,000",,,,,EGLE
21,M,2019-07-31 18:43:09,2019-07-29,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.56,"+650,000",57088170,+1%,"+$2,963,000",,,,,EGLE
22,,2019-07-29 20:31:16,2019-07-25,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.76,"+1,000,000",28144085,+4%,"+$4,760,000",,,,,EGLE
23,M,2019-07-11 16:25:27,2019-07-09,EGLE,Vogel Gary,CEO,S - Sale,$5.63,-55000,1082552,-5%,"-$309,846",,,,,EGLE
24,,2019-06-13 19:31:08,2019-06-12,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.67,"+27,300",27144085,0%,"+$127,491",,,,,EGLE
25,M,2019-06-07 16:37:32,2019-06-05,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.70,"+560,600",54172970,+1%,"+$2,634,820",,,,,EGLE
26,M,2019-06-03 20:41:00,2019-05-30,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.62,"+146,200",52998679,0%,"+$675,444",,,,,EGLE
27,M,2019-04-24 16:39:26,2019-04-23,EGLE,Vogel Gary,CEO,S - Sale,$5.31,-55000,1137552,-5%,"-$291,784",,,,,EGLE
28,,2019-04-04 21:53:45,2019-04-02,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.69,"+32,516",26409985,0%,"+$152,500",,,,,EGLE
29,M,2019-03-29 20:27:25,2019-03-27,EGLE,"Oaktree Capital Group Holdings Gp, LLC",10%,P - Purchase,$4.54,"+157,931",52635364,0%,"+$716,292",,,,,EGLE
