,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-01 20:31:07,2021-11-29,EHTH,Wolf Dale B,Dir,P - Purchase,$22.53,"+15,000",55793,+37%,"+$337,935",,,,,EHTH
1,M,2021-11-15 16:42:37,2021-11-11,EHTH,Wolf Dale B,Dir,P - Purchase,$29.71,"+27,000",40793,+196%,"+$802,275",,,,,EHTH
2,,2021-11-15 16:42:13,2021-11-11,EHTH,Hass A John,Dir,P - Purchase,$30.27,"+8,000",14553,+122%,"+$242,183",,,,,EHTH
3,,2021-11-15 16:41:48,2021-11-11,EHTH,Soistman Francis S Jr,CEO,P - Purchase,$29.19,"+5,500",77754,+8%,"+$160,544",,,,,EHTH
4,,2021-11-15 16:41:27,2021-11-11,EHTH,Hannan Timothy C.,Chief Revenue Officer,S - Sale,$29.39,-4181,60450,-6%,"-$122,889",,,,,EHTH
5,,2021-11-15 16:41:07,2021-11-12,EHTH,Russell Erin L,Dir,P - Purchase,$28.12,"+3,556",7697,+86%,"+$99,998",,,,,EHTH
6,,2021-05-18 16:55:05,2021-05-14,EHTH,Hass A John,Dir,P - Purchase,$62.41,"+3,000",6553,+84%,"+$187,218",,,,,EHTH
7,,2020-10-29 16:48:25,2020-10-27,EHTH,Oliver Jack L III,Dir,S - Sale,$74.41,-4077,35698,-10%,"-$303,349",,,,,EHTH
8,,2020-08-10 17:39:54,2020-08-07,EHTH,Morelock Phillip A,Chief Digital Officer,P - Purchase,$78.29,+950,30376,+3%,"+$74,376",,,,,EHTH
9,M,2020-08-05 18:17:50,2020-08-03,EHTH,Flanders Scott N,CEO,P - Purchase,$71.54,"+50,000",706024,+8%,"+$3,576,874",,,,,EHTH
10,,2020-07-31 17:20:40,2020-07-31,EHTH,Wolf Dale B,Dir,P - Purchase,$71.06,"+2,000",8164,+32%,"+$142,110",,,,,EHTH
11,D,2020-07-14 18:33:11,2020-07-13,EHTH,Hannan Timothy C.,Chief Revenue Officer,S - Sale+OE,$110.24,-5178,51149,-9%,"-$570,805",,,,,EHTH
12,D,2020-07-02 20:51:37,2020-07-01,EHTH,Hannan Timothy C.,Chief Revenue Officer,S - Sale+OE,$100.00,-5178,53983,-9%,"-$517,800",,,,,EHTH
13,,2020-06-17 19:24:04,2020-06-15,EHTH,Yung Derek N.,"SVP, CFO",S - Sale,$107.12,-6088,61485,-9%,"-$652,135",,,,,EHTH
14,D,2020-06-09 12:38:39,2020-06-05,EHTH,Ratkovic Gregg R,"SVP, Carrier, Bus. Dev.",S - Sale+OE,$109.98,-2982,7380,-29%,"-$327,967",,,,,EHTH
15,,2020-06-04 20:39:25,2020-06-02,EHTH,Francis David K.,COO,S - Sale,$131.35,-25000,218615,-10%,"-$3,283,835",,,,,EHTH
16,,2020-06-04 17:14:01,2020-06-02,EHTH,Livingston Randall S,Dir,S - Sale,$128.94,-10000,41926,-19%,"-$1,289,419",,,,,EHTH
17,M,2020-05-07 19:53:23,2020-05-05,EHTH,Goldberg Michael,Dir,S - Sale,$113.52,-6750,80858,-8%,"-$766,250",,,,,EHTH
18,,2020-05-01 21:38:30,2020-04-30,EHTH,Goldberg Michael,Dir,S - Sale,$110.00,-2000,87608,-2%,"-$220,000",,,,,EHTH
19,M,2020-01-24 16:22:18,2020-01-22,EHTH,Flanders Scott N,CEO,S - Sale,$109.94,-121000,680359,-15%,"-$13,302,802",,,,,EHTH
20,,2019-12-03 19:37:39,2019-12-02,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$92.26,-1500,114948,-1%,"-$138,390",,,,,EHTH
21,,2019-11-01 18:05:23,2019-11-01,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$69.39,-1500,116448,-1%,"-$104,085",,,,,EHTH
22,,2019-10-01 18:06:57,2019-10-01,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$66.51,-1500,117948,-1%,"-$99,765",,,,,EHTH
23,,2019-09-09 17:05:30,2019-09-06,EHTH,Wolf Dale B,Dir,P - Purchase,$82.10,"+1,000",4533,+28%,"+$82,100",,,,,EHTH
24,,2019-09-04 18:17:53,2019-09-03,EHTH,Brooke Beth A.,Dir,P - Purchase,$82.24,"+1,000",2460,+68%,"+$82,240",,,,,EHTH
25,,2019-09-04 17:52:24,2019-09-03,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$82.24,-1500,111171,-1%,"-$123,360",,,,,EHTH
26,M,2019-08-23 16:55:07,2019-08-21,EHTH,Goldberg Michael,Dir,S - Sale,$99.87,-22174,89608,-20%,"-$2,214,518",,,,,EHTH
27,M,2019-08-21 16:11:06,2019-08-19,EHTH,Wolf Dale B,Dir,P - Purchase,$105.05,"+2,000",3533,+130%,"+$210,095",,,,,EHTH
28,,2019-08-12 17:22:57,2019-08-12,EHTH,Francis David K.,COO,S - Sale,$109.54,-2000,226562,-1%,"-$219,071",,,,,EHTH
29,,2019-08-09 16:32:25,2019-08-07,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$107.01,-14313,116248,-11%,"-$1,531,589",,,,,EHTH
30,,2019-08-01 21:30:11,2019-08-01,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$103.74,-1500,130561,-1%,"-$155,610",,,,,EHTH
31,,2019-08-01 21:29:04,2019-08-01,EHTH,Livingston Randall S,Dir,S - Sale,$102.66,-15000,51926,-22%,"-$1,539,868",,,,,EHTH
32,D,2019-07-31 20:17:37,2019-07-30,EHTH,Kalin Ian Jay,CTO,S - Sale+OE,$103.00,-5500,29603,-16%,"-$566,500",,,,,EHTH
33,D,2019-07-31 20:16:28,2019-07-30,EHTH,Flanders Scott N,CEO,S - Sale+OE,$104.29,-99516,733172,-12%,"-$10,378,383",,,,,EHTH
34,,2019-07-31 20:15:20,2019-07-30,EHTH,Francis David K.,COO,S - Sale,$103.00,-1000,228562,0%,"-$103,000",,,,,EHTH
35,D,2019-07-31 20:13:46,2019-07-30,EHTH,Hannan Timothy C.,CMO,S - Sale+OE,$103.27,-19785,43570,-31%,"-$2,043,193",,,,,EHTH
36,,2019-07-11 17:02:16,2019-07-09,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$89.95,-6000,133921,-4%,"-$539,700",,,,,EHTH
37,,2019-07-03 15:08:59,2019-07-01,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$87.82,-1500,139921,-1%,"-$131,730",,,,,EHTH
38,,2019-06-05 15:45:08,2019-06-03,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$70.34,-1500,143281,-1%,"-$105,510",,,,,EHTH
39,,2019-06-03 16:16:39,2019-05-30,EHTH,Goldberg Michael,Dir,S - Sale,$70.00,-8750,109560,-7%,"-$612,500",,,,,EHTH
40,D,2019-05-14 16:08:18,2019-05-10,EHTH,Flanders Scott N,CEO,S - Sale+OE,$60.95,-34005,735037,-4%,"-$2,072,540",,,,,EHTH
41,D,2019-05-09 17:37:20,2019-05-08,EHTH,Goldberg Michael,Dir,S - Sale+OE,$63.23,-7500,118310,-6%,"-$474,224",,,,,EHTH
42,,2019-05-03 15:53:58,2019-05-01,EHTH,Hurley Robert S,"Pres, Carrier, Bus Dev.",S - Sale,$60.47,-1500,146641,-1%,"-$90,705",,,,,EHTH
43,D,2019-03-07 15:39:52,2019-03-05,EHTH,Goldberg Michael,Dir,S - Sale+OE,$58.00,-2337,118310,-2%,"-$135,546",,,,,EHTH
