,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-07 19:03:56,2021-12-06,EPZM,Agarwal Shefali,See Remarks,S - Sale,$2.93,-1780,163004,-1%,"-$5,215",,,,,EPZM
1,,2021-04-07 06:15:19,2021-04-05,EPZM,Kutok Jeffery,Chief Scientific Officer,S - Sale,$8.80,-2029,54028,-4%,"-$17,855",,,,,EPZM
2,M,2021-03-29 16:30:15,2021-03-25,EPZM,Mott David M,Dir,P - Purchase,$7.97,"+62,717",257859,+32%,"+$500,100",,,,,EPZM
3,,2021-03-29 16:30:13,2021-03-25,EPZM,Bazemore Robert B,"Pres, CEO",S - Sale,$7.85,-10328,322626,-3%,"-$81,075",,,,,EPZM
4,,2021-02-05 16:41:34,2021-02-04,EPZM,Bazemore Robert B,"Pres, CEO",S - Sale,$11.21,-3890,331977,-1%,"-$43,607",,,,,EPZM
5,,2021-02-05 16:41:05,2021-02-04,EPZM,Agarwal Shefali,Chief Medical Officer,S - Sale,$11.21,-969,104341,-1%,"-$10,862",,,,,EPZM
6,,2021-02-05 16:40:56,2021-02-04,EPZM,Tombesi Paolo,CFO,S - Sale,$11.21,-1021,53465,-2%,"-$11,445",,,,,EPZM
7,,2021-02-05 16:40:09,2021-02-04,EPZM,Beaulieu Joseph,Corporate Controller,S - Sale,$11.21,-227,13431,-2%,"-$2,545",,,,,EPZM
8,,2021-02-05 16:36:32,2021-02-04,EPZM,Ros Matthew,See Remarks,S - Sale,$11.21,-894,83188,-1%,"-$10,022",,,,,EPZM
9,,2021-02-05 16:32:30,2021-02-04,EPZM,Vakiener Victoria,Chief Commercial Officer,S - Sale,$11.21,-817,52685,-2%,"-$9,159",,,,,EPZM
10,,2021-01-27 20:44:08,2021-01-25,EPZM,Bazemore Robert B,"Pres, CEO",S - Sale,$11.41,-6069,248367,-2%,"-$69,247",,,,,EPZM
11,,2021-01-27 20:42:56,2021-01-25,EPZM,Ros Matthew,See Remarks,S - Sale,$11.41,-2872,55957,-5%,"-$32,770",,,,,EPZM
12,,2021-01-27 20:42:30,2021-01-25,EPZM,Vakiener Victoria,Chief Commercial Officer,S - Sale,$11.41,-599,27982,-2%,"-$6,835",,,,,EPZM
13,,2021-01-27 20:38:21,2021-01-25,EPZM,Agarwal Shefali,Chief Medical Officer,S - Sale,$11.41,-2872,75727,-4%,"-$32,770",,,,,EPZM
14,,2020-12-07 07:00:23,2020-12-03,EPZM,Agarwal Shefali,Chief Medical Officer,S - Sale,$13.54,-2522,76089,-3%,"-$34,148",,,,,EPZM
