,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-29 18:24:49,2021-11-24,ERII,Foda Sherif,Dir,S - Sale+OE,$22.46,-20000,4812,-81%,"-$449,260",,,,,ERII
1,,2021-11-24 16:28:10,2021-11-22,ERII,Hanstveit Arve,Dir,S - Sale,$24.61,-25000,879545,-3%,"-$615,350",,,,,ERII
2,,2021-09-17 16:41:50,2021-09-15,ERII,Lorentzen Ole Peter,10%,S - Sale,$20.81,-1500000,5155239,-23%,"-$31,215,000",,,,,ERII
3,D,2021-09-15 18:39:26,2021-09-13,ERII,Foda Sherif,Dir,S - Sale+OE,$21.59,-5595,4812,-54%,"-$120,822",,,,,ERII
4,M,2021-07-06 17:16:56,2021-07-01,ERII,Lorentzen Ole Peter,10%,S - Sale,$22.55,-185095,6655239,-3%,"-$4,173,602",,,,,ERII
5,A,2021-06-08 17:39:43,2019-04-09,ERII,Clemente Rodney,"SVP, Water",S - Sale,$9.19,-229,45505,-1%,"-$2,104",,,,,ERII
6,A,2021-05-11 17:15:39,2021-04-29,ERII,Hanstveit Arve,Dir,S - Sale,$22.16,-14374,899733,-2%,"-$318,472",,,,,ERII
7,AM,2021-05-11 17:15:15,2021-04-26,ERII,Hanstveit Arve,Dir,S - Sale,$22.00,-10626,914107,-1%,"-$233,777",,,,,ERII
8,A,2021-05-11 17:14:40,2021-03-12,ERII,Hanstveit Arve,Dir,S - Sale,$17.00,-25000,924733,-3%,"-$425,045",,,,,ERII
9,,2021-05-06 16:21:53,2021-05-06,ERII,Arvarius As,10%,S - Sale,$19.50,-1000000,6532490,-13%,"-$19,500,000",,,,,ERII
10,D,2021-05-05 16:55:20,2021-05-03,ERII,Clemente Rodney,"SVP, Water",S - Sale+OE,$21.11,-4814,42234,-10%,"-$101,642",,,,,ERII
11,,2021-05-03 18:54:00,2021-04-29,ERII,Hanstveit Arve,Dir,S - Sale,$22.16,-14374,924733,-2%,"-$318,472",,,,,ERII
12,M,2021-04-28 18:22:22,2021-04-26,ERII,Hanstveit Arve,Dir,S - Sale,$22.00,-10626,939107,-1%,"-$233,777",,,,,ERII
13,,2021-03-16 18:30:49,2021-03-12,ERII,Hanstveit Arve,Dir,S - Sale,$17.00,-25000,949733,-3%,"-$425,045",,,,,ERII
