,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-05-07 18:32:05,2021-05-06,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$22.19,-4000,25216,-14%,"-$88,760",,,,,FLIC
1,,2020-12-08 09:35:45,2020-12-07,FLIC,Teagle Walter C III,Dir,S - Sale,$18.00,-4985,148564,-3%,"-$89,707",,,,,FLIC
2,M,2020-12-01 13:28:30,2020-11-30,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$17.23,-2000,28186,-7%,"-$34,464",,,,,FLIC
3,M,2020-11-24 15:36:46,2020-11-23,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$17.65,-2000,30186,-6%,"-$35,305",,,,,FLIC
4,M,2020-06-09 13:37:45,2020-06-08,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$17.50,-2000,28860,-6%,"-$34,993",,,,,FLIC
5,M,2020-06-05 14:48:55,2020-06-03,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$16.76,-3000,30860,-9%,"-$50,284",,,,,FLIC
6,,2020-03-13 16:59:51,2020-03-13,FLIC,Verneuille Janet T,EVP,P - Purchase,$16.09,"+1,000",1000,New,"+$16,093",,,,,FLIC
7,,2020-03-13 16:56:46,2020-03-13,FLIC,Becker Christopher,"Pres, CEO",P - Purchase,$16.36,"+1,000",23702,+4%,"+$16,356",,,,,FLIC
8,M,2020-03-13 16:55:41,2020-03-12,FLIC,Canarick Paul T,Dir,P - Purchase,$15.65,"+20,894",419540,+5%,"+$327,060",,,,,FLIC
9,,2020-03-13 16:54:37,2020-03-13,FLIC,Cover Alexander L,Dir,P - Purchase,$15.60,"+2,000",42121,+5%,"+$31,208",,,,,FLIC
10,,2020-03-13 16:51:31,2020-03-13,FLIC,Hilton Christopher J,EVP,P - Purchase,$16.11,+500,9092,+6%,"+$8,057",,,,,FLIC
11,,2020-03-11 09:05:03,2020-03-10,FLIC,Cover Alexander L,Dir,P - Purchase,$17.28,"+1,000",40121,+3%,"+$17,280",,,,,FLIC
12,DM,2020-02-13 17:36:36,2020-02-12,FLIC,Vittorio Michael N,Dir,S - Sale+OE,$23.25,-15000,126645,-11%,"-$348,688",,,,,FLIC
13,,2019-11-08 11:08:39,2019-11-07,FLIC,Vittorio Michael N,"Pres, CEO",S - Sale,$24.25,-3000,106679,-3%,"-$72,739",,,,,FLIC
14,D,2019-11-05 12:17:08,2019-11-01,FLIC,Curtis Mark D,Sr. EVP,S - Sale+OE,$23.55,-5000,69992,-7%,"-$117,726",,,,,FLIC
15,,2019-08-19 10:16:15,2019-08-15,FLIC,Vittorio Michael N,"Pres, CEO",S - Sale,$21.13,-3000,109679,-3%,"-$63,378",,,,,FLIC
16,,2019-05-13 13:44:00,2019-05-10,FLIC,Vittorio Michael N,"Pres, CEO",S - Sale,$22.60,-3000,112679,-3%,"-$67,805",,,,,FLIC
17,,2019-02-06 13:46:25,2019-02-05,FLIC,Vittorio Michael N,"Pres, CEO",S - Sale,$21.12,-3000,115679,-3%,"-$63,373",,,,,FLIC
18,,2018-12-11 11:29:57,2018-12-07,FLIC,Cover Alexander L,Dir,P - Purchase,$19.59,"+1,000",30113,+3%,"+$19,590",,,,,FLIC
19,,2018-11-30 11:21:39,2018-11-29,FLIC,Manfredonia Donald L,EVP,S - Sale,$21.08,-3772,112528,-3%,"-$79,514",,,,,FLIC
20,,2018-11-05 11:40:31,2018-11-01,FLIC,Strain Denise,Dir,P - Purchase,$20.42,"+1,000",1500,+200%,"+$20,425",,,,,FLIC
21,,2018-11-02 10:48:17,2018-11-01,FLIC,Vittorio Michael N,"Pres, CEO",S - Sale,$20.51,-3000,100135,-3%,"-$61,537",,,,,FLIC
22,,2018-08-03 14:46:36,2018-08-02,FLIC,Desmond John J,Dir,P - Purchase,$22.79,"+4,350",4550,>999%,"+$99,154",,,,,FLIC
23,M,2018-06-14 13:01:42,2018-06-12,FLIC,Curtis Mark D,Sr. EVP,S - Sale,$25.52,-5029,54867,-8%,"-$128,334",,,,,FLIC
24,,2018-06-01 11:12:35,2018-05-30,FLIC,Manfredonia Donald L,EVP,S - Sale,$25.00,-3500,116300,-3%,"-$87,510",,,,,FLIC
25,,2018-05-07 09:58:59,2018-05-04,FLIC,Vittorio Michael N,"Pres,amp; CEO",S - Sale,$25.46,-3000,103135,-3%,"-$76,365",,,,,FLIC
26,,2018-03-09 10:37:12,2018-03-07,FLIC,Manfredonia Donald L,EVP,S - Sale,$29.00,-2000,113762,-2%,"-$58,000",,,,,FLIC
27,,2018-02-15 10:18:07,2018-02-14,FLIC,Taylor Milbrey Rennie,Dir,S - Sale,$27.90,-2236,21000,-10%,"-$62,386",,,,,FLIC
28,,2018-02-12 09:50:05,2018-02-09,FLIC,Vittorio Michael N,"Pres,amp; CEO",S - Sale,$27.53,-3000,106135,-3%,"-$82,581",,,,,FLIC
