,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-13 14:52:00,2021-12-09,FRPH,Milton John D Jr,EVP,S - Sale,$56.00,-1098,5418,-17%,"-$61,488",,,,,FRPH
1,,2021-11-15 15:12:20,2021-11-11,FRPH,Devilliers David H III,VP,S - Sale,$59.00,-250,12184,-2%,"-$14,750",,,,,FRPH
2,,2021-11-05 16:16:03,2021-10-12,FRPH,Baker John D II,"CEO, 10%",P - Purchase,$55.73,+543,1388688,0%,"+$30,261",,,,,FRPH
3,,2021-08-12 14:28:58,2021-08-09,FRPH,Devilliers David H III,VP,S - Sale,$59.42,-205,12434,-2%,"-$12,181",,,,,FRPH
4,,2021-05-20 16:22:29,2021-05-18,FRPH,Devilliers David H Jr,Pres,S - Sale,$56.40,-8500,23358,-27%,"-$479,360",,,,,FRPH
5,D,2021-05-18 13:58:20,2021-05-17,FRPH,Devilliers David H Jr,Pres,S - Sale+OE,$58.08,-1500,31858,-4%,"-$87,115",,,,,FRPH
6,,2021-03-16 12:13:45,2020-08-25,FRPH,Baker John D. III,CFO,P - Purchase,$40.66,"+2,480",115200,+2%,"+$100,837",,,,,FRPH
7,,2020-12-11 16:47:31,2020-12-09,FRPH,Milton John D Jr,EVP,S - Sale,$45.04,-2160,4320,-33%,"-$97,280",,,,,FRPH
8,M,2020-11-20 13:54:50,2020-11-18,FRPH,Devilliers David H Jr,Pres,S - Sale,$44.37,-2915,12670,-19%,"-$129,327",,,,,FRPH
9,,2020-11-18 12:52:16,2020-11-16,FRPH,Devilliers David H Jr,Pres,S - Sale,$44.09,-1500,15585,-9%,"-$66,129",,,,,FRPH
10,M,2020-11-12 13:14:10,2020-11-09,FRPH,Devilliers David H Jr,Pres,S - Sale,$46.48,-3160,17085,-16%,"-$146,883",,,,,FRPH
11,,2020-10-06 15:05:46,2020-10-06,FRPH,Devilliers David H III,VP,S - Sale,$43.22,-144,6051,-2%,"-$6,224",,,,,FRPH
12,,2020-09-30 15:37:53,2020-09-29,FRPH,Devilliers David H III,VP,S - Sale,$41.67,-150,6195,-2%,"-$6,251",,,,,FRPH
13,,2020-09-16 12:04:51,2020-09-15,FRPH,Devilliers David H III,VP,S - Sale,$41.81,-150,6345,-2%,"-$6,272",,,,,FRPH
14,,2020-09-08 16:15:38,2020-09-08,FRPH,Devilliers David H III,VP,S - Sale,$41.42,-150,6495,-2%,"-$6,213",,,,,FRPH
15,,2020-09-01 16:11:28,2020-09-01,FRPH,Devilliers David H III,VP,S - Sale,$41.00,-150,6645,-2%,"-$6,150",,,,,FRPH
16,M,2020-08-27 15:16:37,2020-08-25,FRPH,Baker John D. III,CFO,P - Purchase,$40.59,"+3,700",107120,+4%,"+$150,170",,,,,FRPH
17,M,2020-08-26 17:40:57,2020-08-25,FRPH,Baker John D II,"CEO, 10%",P - Purchase,$40.59,"+3,700",1385257,0%,"+$150,170",,,,,FRPH
18,,2020-08-25 16:12:44,2020-08-25,FRPH,Devilliers David H III,VP,S - Sale,$40.43,-150,6795,-2%,"-$6,065",,,,,FRPH
