,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-09 18:00:12,2021-11-03,GNTY,Abston Tyson T,"COB, CEO",S - Sale,$38.42,-2616,142968,-2%,"-$100,497",,,,,GNTY
1,,2021-11-04 17:00:24,2021-11-03,GNTY,Abston Tyson T,"COB, CEO",S - Sale,$38.46,-1870,145584,-1%,"-$71,920",,,,,GNTY
2,,2021-10-29 17:08:17,2021-10-28,GNTY,Abston Tyson T,"COB, CEO",S - Sale,$37.66,-6170,147454,-4%,"-$232,362",,,,,GNTY
3,,2021-08-10 21:27:31,2021-08-06,GNTY,Bunch James S.,Dir,P - Purchase,$33.89,"+2,800",150000,+2%,"+$94,892",,,,,GNTY
4,,2021-08-03 20:01:05,2020-10-21,GNTY,Priefert William D.,Dir,S - Sale,$28.23,-6059,243389,-2%,"-$171,046",,,,,GNTY
5,,2021-08-03 20:00:54,2021-08-03,GNTY,Bunch James S.,Dir,P - Purchase,$33.51,"+2,200",148000,+2%,"+$73,722",,,,,GNTY
6,,2021-07-23 16:00:33,2021-07-22,GNTY,Bunch James S.,Dir,P - Purchase,$33.72,"+3,000",145800,+2%,"+$101,160",,,,,GNTY
7,,2021-03-15 13:00:09,2021-03-12,GNTY,Bunch James S.,Dir,P - Purchase,$34.80,"+1,722",142800,+1%,"+$59,926",,,,,GNTY
8,AM,2021-03-12 13:00:10,2021-02-25,GNTY,Bunch James S.,Dir,P - Purchase,$31.09,"+5,778",141078,+4%,"+$179,639",,,,,GNTY
9,,2021-03-09 16:16:34,2021-03-05,GNTY,Cowell Charles A.,"Vice COB, EVP - GB, T",S - Sale,$33.23,-10000,32314,-24%,"-$332,300",,,,,GNTY
10,M,2021-02-26 18:00:19,2021-02-25,GNTY,Bunch James S.,Dir,P - Purchase,$31.12,"+5,500",128500,+4%,"+$171,160",,,,,GNTY
11,,2021-02-18 16:00:34,2021-02-12,GNTY,Bunch James S.,Dir,P - Purchase,$31.40,"+5,000",123000,+4%,"+$157,000",,,,,GNTY
12,,2021-02-05 16:20:26,2021-02-04,GNTY,Jacobson Shalene A.,"EVP, Chief Risk Officer",P - Purchase,$32.40,+300,5650,+6%,"+$9,720",,,,,GNTY
13,,2021-02-04 19:00:26,2021-02-03,GNTY,Kucera Randall R.,"VP, GC",S - Sale,$34.32,-5000,28896,-15%,"-$171,600",,,,,GNTY
14,,2021-02-04 19:00:21,2021-02-04,GNTY,Bunch James S.,Dir,P - Purchase,$32.03,"+3,000",118000,+3%,"+$96,090",,,,,GNTY
15,,2021-01-29 16:55:38,2021-01-29,GNTY,Bunch James S.,Dir,P - Purchase,$33.82,"+2,000",115000,+2%,"+$67,640",,,,,GNTY
16,,2021-01-29 10:00:08,2021-01-27,GNTY,Bunch James S.,Dir,P - Purchase,$32.80,"+3,000",113000,+3%,"+$98,400",,,,,GNTY
17,,2021-01-25 17:00:08,2021-01-22,GNTY,Bunch James S.,Dir,P - Purchase,$32.60,"+5,000",110000,+5%,"+$163,000",,,,,GNTY
18,,2020-12-16 17:00:08,2020-12-14,GNTY,Sharp Robert P.,"EVP - Guaranty Bank, Trust",S - Sale,$30.97,-1625,86557,-2%,"-$50,326",,,,,GNTY
19,,2020-11-18 15:29:16,2020-11-17,GNTY,Kucera Randall R.,"VP, GC",S - Sale,$29.55,-5000,33730,-13%,"-$147,750",,,,,GNTY
20,,2020-11-18 14:00:11,2020-11-16,GNTY,Abston Tyson T,"COB, CEO",S - Sale,$29.77,-8300,140684,-6%,"-$247,091",,,,,GNTY
21,,2020-11-10 19:30:10,2020-11-09,GNTY,Abston Tyson T,"COB, CEO",S - Sale,$29.52,-11700,148984,-7%,"-$345,384",,,,,GNTY
22,,2020-11-10 18:00:08,2020-11-09,GNTY,Kucera Randall R.,"VP, GC",S - Sale,$30.00,-3000,35677,-8%,"-$90,000",,,,,GNTY
23,,2020-11-05 18:30:09,2020-11-05,GNTY,Bunch James S.,Dir,P - Purchase,$27.99,"+1,600",105000,+2%,"+$44,784",,,,,GNTY
24,,2020-11-04 19:00:10,2020-11-02,GNTY,Bunch James S.,Dir,P - Purchase,$28.81,"+3,400",103400,+3%,"+$97,955",,,,,GNTY
25,,2020-10-30 17:13:33,2020-10-30,GNTY,Bunch James S.,Dir,P - Purchase,$28.93,"+5,000",100000,+5%,"+$144,653",,,,,GNTY
26,M,2020-10-29 18:00:11,2020-10-28,GNTY,Bunch James S.,Dir,P - Purchase,$27.95,"+4,000",95000,+4%,"+$111,796",,,,,GNTY
27,,2020-09-10 16:30:12,2020-09-09,GNTY,Curl Molly,Dir,P - Purchase,$24.75,"+1,000",4225,+31%,"+$24,750",,,,,GNTY
