,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-07-15 16:01:39,2021-07-13,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$19.01,-30000,61000,-33%,"-$570,258",,,,,GTHX
1,D,2021-06-30 16:05:05,2021-06-29,GTHX,Rudnick Seth,Dir,S - Sale+OE,$22.35,-10000,9655,-51%,"-$223,477",,,,,GTHX
2,DM,2021-06-17 16:05:43,2021-06-15,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$21.97,-30000,61000,-33%,"-$659,021",,,,,GTHX
3,DM,2021-05-13 16:43:50,2021-05-11,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$19.90,-30000,41000,-42%,"-$597,101",,,,,GTHX
4,D,2021-04-23 16:39:53,2021-04-22,GTHX,Malik Rajesh,Chief Medical Officer,S - Sale+OE,$22.07,-15000,43300,-26%,"-$331,100",,,,,GTHX
5,DM,2021-04-15 17:53:19,2021-04-13,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$24.46,-30000,41000,-42%,"-$733,768",,,,,GTHX
6,D,2021-03-24 16:47:32,2021-03-23,GTHX,Malik Rajesh,Chief Medical Officer,S - Sale+OE,$21.94,-15000,43300,-26%,"-$329,060",,,,,GTHX
7,D,2021-03-04 17:10:56,2021-03-02,GTHX,Malik Rajesh,Chief Medical Officer,S - Sale+OE,$22.95,-15000,43300,-26%,"-$344,192",,,,,GTHX
8,DM,2021-02-18 17:49:25,2021-02-16,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$29.81,-31040,41000,-43%,"-$925,238",,,,,GTHX
9,D,2021-01-22 18:47:50,2021-01-22,GTHX,Malik Rajesh,Chief Medical Officer,S - Sale+OE,$20.64,-15000,40200,-27%,"-$309,591",,,,,GTHX
10,DM,2021-01-21 17:31:00,2021-01-19,GTHX,Velleca Mark A.,Dir,S - Sale+OE,$21.01,-30000,41000,-42%,"-$630,288",,,,,GTHX
11,,2020-12-29 16:50:34,2020-12-24,GTHX,Rudnick Seth,Dir,S - Sale,$20.10,-924,5266,-15%,"-$18,572",,,,,GTHX
12,M,2020-12-23 18:54:36,2020-12-22,GTHX,Rudnick Seth,Dir,S - Sale,$20.27,-32092,6190,-84%,"-$650,458",,,,,GTHX
13,DM,2020-12-17 18:01:53,2020-12-15,GTHX,Velleca Mark A.,"Pres, CEO",S - Sale+OE,$19.53,-30000,37000,-45%,"-$585,986",,,,,GTHX
14,D,2020-12-11 16:50:54,2020-12-10,GTHX,Malik Rajesh,"Ch. Medical Officer, SVP R, D",S - Sale+OE,$20.06,-9000,29200,-24%,"-$180,550",,,,,GTHX
15,M,2020-12-10 17:30:02,2020-12-08,GTHX,Rudnick Seth,Dir,S - Sale,$20.22,-19480,38282,-34%,"-$393,899",,,,,GTHX
16,,2020-12-03 16:20:43,2020-12-01,GTHX,Rudnick Seth,Dir,S - Sale,$20.09,-520,57762,-1%,"-$10,449",,,,,GTHX
17,,2020-11-19 16:54:08,2020-11-18,GTHX,Muir Glenn P,Dir,P - Purchase,$13.50,"+50,000",170969,+41%,"+$675,000",,,,,GTHX
18,M,2020-11-13 16:33:42,2020-11-10,GTHX,Bailey John E. (Jack) Jr.,Dir,P - Purchase,$12.80,"+8,000",8000,New,"+$102,375",,,,,GTHX
19,,2020-09-08 20:38:15,2020-09-04,GTHX,Hanson James S.,GC,P - Purchase,$14.95,"+1,000",4000,+33%,"+$14,950",,,,,GTHX
20,,2018-12-27 16:59:56,2018-12-26,GTHX,Hanson James S.,GC,P - Purchase,$18.25,"+1,000",3000,+50%,"+$18,250",,,,,GTHX
21,,2018-12-27 16:59:45,2018-12-26,GTHX,Schwalm Cynthia,Dir,P - Purchase,$18.45,"+1,420",1500,>999%,"+$26,196",,,,,GTHX
22,D,2018-12-17 16:27:56,2018-12-17,GTHX,Malik Rajesh,"Ch. Medical Officer, SVP R, D",S - Sale+OE,$30.00,-3776,14700,-20%,"-$113,280",,,,,GTHX
23,,2018-12-11 16:08:29,2018-12-10,GTHX,Hanson James S.,GC,P - Purchase,$32.51,"+1,000",2000,+100%,"+$32,508",,,,,GTHX
24,,2018-12-11 16:08:17,2018-12-10,GTHX,Demaree John,Chief Commercial Officer,P - Purchase,$33.15,"+1,000",5250,+24%,"+$33,151",,,,,GTHX
25,D,2018-12-07 16:07:44,2018-12-06,GTHX,Moses Jennifer K.,"VP of Finance, Admin",S - Sale+OE,$34.00,-750,4000,-16%,"-$25,500",,,,,GTHX
26,D,2018-12-04 18:10:59,2018-12-04,GTHX,Rudnick Seth,Dir,S - Sale+OE,$39.31,-10000,58282,-15%,"-$393,146",,,,,GTHX
27,D,2018-12-03 18:25:40,2018-12-03,GTHX,Murdock Terry L,SVP of Development Operations,S - Sale+OE,$38.54,-3523,0,-100%,"-$135,779",,,,,GTHX
28,D,2018-11-16 19:16:30,2018-11-15,GTHX,Phillips Barclay A,"SVP, CFO",S - Sale+OE,$39.92,-5000,0,-100%,"-$199,591",,,,,GTHX
29,D,2018-11-16 17:17:57,2018-11-15,GTHX,Velleca Mark A.,"Pres, CEO",S - Sale+OE,$39.84,-5000,19000,-21%,"-$199,211",,,,,GTHX
30,D,2018-11-16 17:17:49,2018-11-15,GTHX,Malik Rajesh,"Ch. Medical Officer, SVP R, D",S - Sale+OE,$39.75,-3776,14700,-20%,"-$150,105",,,,,GTHX
