,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-03-17 15:59:38,2021-03-17,HBMD,Staton Donna Hill,Dir,P - Purchase,$16.41,+600,19061,+3%,"+$9,846",,,,,HBMD
1,A,2021-01-11 13:53:21,2021-01-08,HBMD,Scully Mary Ann,"COB, CEO",P - Purchase,$9.19,+761,146250,+1%,"+$6,994",,,,,HBMD
2,A,2021-01-11 13:49:49,2021-01-08,HBMD,Kunisch Robert D Jr.,"Pres, COO",P - Purchase,$9.19,+800,125480,+1%,"+$7,352",,,,,HBMD
3,A,2021-01-11 13:46:19,2021-01-08,HBMD,Jones Thomas Randy,EVP-CLO,P - Purchase,$9.19,+152,1534,+11%,"+$1,397",,,,,HBMD
4,A,2021-01-11 13:41:07,2021-01-08,HBMD,Howard Joseph F,EVP,P - Purchase,$9.19,+152,1665,+10%,"+$1,397",,,,,HBMD
5,,2021-01-08 16:10:12,2021-01-08,HBMD,Steil Jack E,Dir,P - Purchase,$9.19,+304,47795,+1%,"+$2,794",,,,,HBMD
6,,2021-01-08 16:05:07,2021-01-08,HBMD,Schwabe Charles E.,EVP-CRO,P - Purchase,$9.19,+152,51323,0%,"+$1,397",,,,,HBMD
7,,2021-01-08 15:57:21,2021-01-08,HBMD,Turner Frank K Jr,EVP,P - Purchase,$9.19,+152,6511,+2%,"+$1,397",,,,,HBMD
8,,2021-01-08 15:54:24,2021-01-08,HBMD,Scully Mary Ann,"COB, CEO",P - Purchase,$9.19,+761,146250,+1%,"+$6,994",,,,,HBMD
9,,2021-01-08 15:50:49,2021-01-08,HBMD,Kunisch Robert D Jr.,"Pres, COO",P - Purchase,$9.19,+800,125480,+1%,"+$7,352",,,,,HBMD
10,,2021-01-08 15:43:54,2021-01-08,HBMD,Jones Thomas Randy,"EVP, CLO",P - Purchase,$9.19,+152,1534,+11%,"+$1,397",,,,,HBMD
11,,2021-01-08 15:39:43,2021-01-08,HBMD,Howard Joseph F,EVP,P - Purchase,$9.19,+152,1665,+10%,"+$1,397",,,,,HBMD
12,,2020-11-16 07:56:29,2020-11-13,HBMD,Poynot Steven,"EVP, CIO",S - Sale,$11.62,-384,735,-34%,"-$4,464",,,,,HBMD
13,M,2020-08-20 07:28:44,2020-08-18,HBMD,Carpenter Robert L Jr,"EVP, CFO",P - Purchase,$9.88,"+1,000",9150,+12%,"+$9,878",,,,,HBMD
14,,2020-08-13 10:01:32,2020-08-11,HBMD,Smith Robert W. Jr.,Dir,P - Purchase,$10.30,"+5,000",49934,+11%,"+$51,488",,,,,HBMD
15,,2020-07-07 11:13:28,2020-07-06,HBMD,Jones Thomas Randy,EVP-CLO,P - Purchase,$9.56,+135,1382,+11%,"+$1,291",,,,,HBMD
16,,2020-07-07 11:07:26,2020-07-06,HBMD,Schwabe Charles E.,EVP-CRO,P - Purchase,$9.56,+135,50805,0%,"+$1,291",,,,,HBMD
17,,2020-07-07 10:56:55,2020-07-06,HBMD,Steil Jack E,Dir,P - Purchase,$9.56,+271,47491,+1%,"+$2,591",,,,,HBMD
18,,2020-07-07 10:46:12,2020-07-06,HBMD,Turner Frank K Jr,EVP-Chief Commercial Banking,P - Purchase,$9.56,+135,6359,+2%,"+$1,291",,,,,HBMD
19,,2020-07-07 10:00:46,2020-07-06,HBMD,McKone Steven Drew,EVP-Chief Deposit Officer,P - Purchase,$9.56,+135,406,+50%,"+$1,291",,,,,HBMD
20,,2020-07-07 09:46:11,2020-07-06,HBMD,Poynot Steven,EVP-CIO,P - Purchase,$9.56,+108,868,+14%,"+$1,032",,,,,HBMD
21,,2020-07-07 09:34:30,2020-07-06,HBMD,Scully Mary Ann,"COB, CEO",P - Purchase,$9.56,+679,144323,0%,"+$6,491",,,,,HBMD
22,,2020-06-10 14:05:05,2020-06-10,HBMD,Carpenter Robert L Jr,"EVP, CFO",P - Purchase,$11.30,"+1,500",4000,+60%,"+$16,950",,,,,HBMD
23,,2020-06-04 15:08:04,2020-06-04,HBMD,Carpenter Robert L Jr,"EVP, CFO",P - Purchase,$10.40,"+2,500",2500,New,"+$26,000",,,,,HBMD
24,,2020-03-19 07:58:02,2020-03-18,HBMD,Lundeen Kenneth C.,Dir,P - Purchase,$10.60,"+2,000",145959,+1%,"+$21,200",,,,,HBMD
25,,2020-03-18 16:23:34,2020-03-18,HBMD,McKone Steven Drew,EVP-Chief Deposit Officer,P - Purchase,$10.39,+178,271,+191%,"+$1,849",,,,,HBMD
26,,2020-03-18 16:10:18,2020-03-18,HBMD,Arnold Richard G.,Dir,P - Purchase,$10.75,+930,143020,+1%,"+$9,998",,,,,HBMD
27,,2020-03-17 10:48:58,2020-03-17,HBMD,Smith Robert W. Jr.,Dir,P - Purchase,$10.75,"+1,500",43619,+4%,"+$16,124",,,,,HBMD
28,,2020-03-17 09:42:03,2020-03-17,HBMD,O Neill Thomas P,Dir,P - Purchase,$12.00,"+1,000",27402,+4%,"+$11,999",,,,,HBMD
29,,2020-03-16 11:02:30,2020-03-13,HBMD,Arnold Richard G.,Dir,P - Purchase,$12.53,+875,142090,+1%,"+$10,964",,,,,HBMD
30,,2020-03-16 10:59:02,2020-03-13,HBMD,Scully Mary Ann,CEO,P - Purchase,$13.07,+800,143644,+1%,"+$10,456",,,,,HBMD
31,,2020-01-27 16:13:42,2020-01-24,HBMD,"Priam Capital Fund I, LP",See Remarks,S - Sale,$17.62,-23814,1885017,-1%,"-$419,526",,,,,HBMD
32,,2020-01-08 16:25:18,2020-01-08,HBMD,Turner Frank K Jr,EVP,P - Purchase,$13.93,+93,6224,+2%,"+$1,295",,,,,HBMD
33,,2020-01-08 16:20:10,2020-01-08,HBMD,Steil Jack E,Dir,P - Purchase,$13.93,+186,47220,0%,"+$2,591",,,,,HBMD
34,,2020-01-08 16:15:04,2020-01-08,HBMD,Scully Mary Ann,"COB, CEO",P - Purchase,$13.93,+466,142844,0%,"+$6,491",,,,,HBMD
35,,2020-01-08 16:11:38,2020-01-08,HBMD,Schwabe Charles E.,EVP-CRO,P - Purchase,$13.93,+93,50670,0%,"+$1,295",,,,,HBMD
36,,2020-01-08 16:06:42,2020-01-08,HBMD,Poynot Steven,EVP-CIO,P - Purchase,$13.93,+74,6760,+1%,"+$1,031",,,,,HBMD
37,,2020-01-08 16:03:28,2020-01-08,HBMD,McKone Steven Drew,EVP,P - Purchase,$13.93,+93,93,New,"+$1,295",,,,,HBMD
38,,2020-01-08 15:59:58,2020-01-08,HBMD,Jones Thomas Randy,EVP-CCO,P - Purchase,$13.93,+93,1247,+8%,"+$1,295",,,,,HBMD
39,,2020-01-08 15:43:21,2020-01-08,HBMD,Coffman George C.,EVP-CFO,P - Purchase,$13.93,+326,68315,0%,"+$4,541",,,,,HBMD
40,A,2019-11-18 16:23:32,2019-11-18,HBMD,Poynot Steven,EVP-CIO,S - Sale,$16.25,-2500,6686,-27%,"-$40,625",,,,,HBMD
41,,2019-11-18 14:59:28,2019-11-18,HBMD,Poynot Steven,EVP-CIO,S - Sale,$16.25,-2500,6686,-27%,"-$40,625",,,,,HBMD
42,,2019-07-10 12:48:19,2019-07-10,HBMD,Poynot Steven,"EVP, CIO",P - Purchase,$12.92,+86,8934,+1%,"+$1,111",,,,,HBMD
43,,2019-07-10 12:44:55,2019-07-10,HBMD,Turner Frank K Jr,EVP,P - Purchase,$12.92,+108,6131,+2%,"+$1,395",,,,,HBMD
44,,2019-07-10 12:26:08,2019-07-10,HBMD,Schwabe Charles E.,"EVP, CRO",P - Purchase,$12.92,+108,50210,0%,"+$1,395",,,,,HBMD
45,,2019-07-10 12:17:38,2019-07-10,HBMD,Jones Thomas Randy,"EVP, CCO",P - Purchase,$12.92,+108,1154,+10%,"+$1,395",,,,,HBMD
46,,2019-07-10 12:10:23,2019-07-10,HBMD,Steil Jack E,EVP,P - Purchase,$12.92,+201,47034,0%,"+$2,597",,,,,HBMD
47,,2019-07-10 12:00:38,2019-07-10,HBMD,Coffman George C.,"EVP, CFO",P - Purchase,$12.92,+379,67419,+1%,"+$4,897",,,,,HBMD
48,,2019-07-10 11:53:47,2019-07-10,HBMD,Scully Mary Ann,CEO,P - Purchase,$12.92,+541,141586,0%,"+$6,990",,,,,HBMD
49,,2019-02-04 15:49:20,2019-02-01,HBMD,Arnold Richard G.,Dir,P - Purchase,$13.16,"+1,910",137165,+1%,"+$25,145",,,,,HBMD
50,,2019-01-08 11:51:04,2019-01-08,HBMD,Turner Frank K Jr,EVP-CLO,P - Purchase,$12.87,+23,6023,0%,+$296,,,,,HBMD
51,,2019-01-08 11:47:26,2019-01-08,HBMD,Schwabe Charles E.,EVP-CRO,P - Purchase,$12.87,+46,50102,0%,+$592,,,,,HBMD
52,,2019-01-08 11:32:06,2019-01-08,HBMD,Poynot Steven,EVP-CIO,P - Purchase,$12.87,+46,7848,+1%,+$592,,,,,HBMD
53,,2019-01-08 11:20:56,2019-01-08,HBMD,Jones Thomas Randy,EVP-CCO,P - Purchase,$12.87,+46,1046,+5%,+$592,,,,,HBMD
54,,2019-01-08 11:14:46,2019-01-08,HBMD,Steil Jack E,Dir,P - Purchase,$12.87,+93,46833,0%,"+$1,197",,,,,HBMD
55,,2019-01-08 11:11:09,2019-01-08,HBMD,Scully Mary Ann,CEO,P - Purchase,$12.87,+233,141045,0%,"+$2,999",,,,,HBMD
56,,2019-01-08 11:03:54,2019-01-08,HBMD,Coffman George C.,EVP-CFO,P - Purchase,$12.87,+400,67040,+1%,"+$5,148",,,,,HBMD
57,D,2018-09-25 11:19:28,2018-09-24,HBMD,Arnold Richard G.,Dir,P - Purchase,$17.50,"+2,815",134167,+2%,"+$49,263",,,,,HBMD
58,,2018-09-18 11:43:55,2018-09-17,HBMD,O Neill Thomas P,Dir,P - Purchase,$18.60,+750,24861,+3%,"+$13,950",,,,,HBMD
59,,2018-09-14 10:45:45,2018-09-13,HBMD,Staton Donna Hill,Dir,P - Purchase,$18.45,+545,14571,+4%,"+$10,055",,,,,HBMD
60,,2018-09-13 10:03:29,2018-09-06,HBMD,Arnold Richard G.,Dir,P - Purchase,$17.26,"+1,493",130284,+1%,"+$25,769",,,,,HBMD
61,,2018-08-24 09:54:43,2018-08-23,HBMD,Kunisch Robert D Jr.,Pres,P - Purchase,$17.16,"+5,000",5000,New,"+$85,800",,,,,HBMD
62,,2018-08-09 10:40:58,2018-08-08,HBMD,Smith Robert W. Jr.,Dir,P - Purchase,$16.62,"+2,000",40178,+5%,"+$33,240",,,,,HBMD
63,,2018-08-09 07:55:08,2018-08-08,HBMD,Keenan John J.,Dir,P - Purchase,$16.66,"+2,000",9645,+26%,"+$33,320",,,,,HBMD
64,,2018-08-06 17:01:22,2018-08-06,HBMD,Schwabe Charles E.,EVP-CRO,P - Purchase,$16.30,+250,50056,+1%,"+$4,075",,,,,HBMD
65,,2018-08-06 13:54:32,2018-08-06,HBMD,Scully Mary Ann,"Chairperson, CEO",P - Purchase,$16.54,+600,140812,0%,"+$9,924",,,,,HBMD
66,,2018-07-31 16:20:13,2018-07-31,HBMD,Smith Robert W. Jr.,Dir,P - Purchase,$16.18,"+2,500",38178,+7%,"+$40,450",,,,,HBMD
