,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-08-13 21:28:04,2021-08-11,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.10,-167198,10120685,-2%,"-$2,859,709",,,,,HGEN
1,M,2021-07-30 21:01:19,2021-07-28,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.04,-39086,10258489,0%,"-$665,866",,,,,HGEN
2,M,2021-07-23 20:32:05,2021-07-21,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.08,-316353,10297575,-3%,"-$5,403,074",,,,,HGEN
3,,2021-07-16 20:28:18,2021-07-14,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.06,-15177,10613928,0%,"-$258,847",,,,,HGEN
4,M,2021-07-09 21:01:28,2021-07-08,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.34,-344046,10629105,-3%,"-$5,966,878",,,,,HGEN
5,M,2021-07-02 17:44:18,2021-06-30,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.19,-463096,10973151,-4%,"-$7,959,379",,,,,HGEN
6,M,2021-06-25 21:01:48,2021-06-23,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$17.92,-1272655,11436247,-10%,"-$22,801,514",,,,,HGEN
7,M,2021-06-21 20:57:06,2021-06-16,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$18.86,-742389,12708902,-6%,"-$14,000,186",,,,,HGEN
8,,2021-06-16 21:40:36,2021-06-14,HGEN,Durrant Cameron,CEO,S - Sale,$20.64,-81441,30000,-73%,"-$1,680,934",,,,,HGEN
9,D,2021-06-09 17:10:50,2021-06-08,HGEN,Jordan Edward P.,Chief Commercial Officer,S - Sale+OE,$20.08,-14700,0,-100%,"-$295,176",,,,,HGEN
10,,2021-06-09 16:45:02,2021-06-07,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$19.08,-80636,13451291,-1%,"-$1,538,793",,,,,HGEN
11,M,2021-06-04 18:07:50,2021-06-02,HGEN,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,$18.52,-394364,13531927,-3%,"-$7,304,993",,,,,HGEN
12,A,2021-04-06 19:30:57,2021-03-09,HGEN,Nomis Bay Ltd.,10%,S - Sale,$17.24,-83568,5632469,-1%,"-$1,440,495",,,,,HGEN
13,M,2021-03-11 20:24:15,2021-03-09,HGEN,Nomis Bay Ltd.,10%,S - Sale,$16.51,-235238,5342887,-4%,"-$3,884,756",,,,,HGEN
14,M,2021-03-01 17:48:20,2021-02-25,HGEN,Nomis Bay Ltd.,10%,S - Sale,$19.02,-46505,5616037,-1%,"-$884,432",,,,,HGEN
15,M,2021-02-24 18:27:33,2021-02-22,HGEN,Nomis Bay Ltd.,10%,S - Sale,$22.29,-103220,5662542,-2%,"-$2,301,023",,,,,HGEN
16,M,2021-02-19 18:02:06,2021-02-17,HGEN,Nomis Bay Ltd.,10%,S - Sale,$22.25,-89408,5765762,-2%,"-$1,989,619",,,,,HGEN
17,M,2021-02-16 18:53:47,2021-02-11,HGEN,Nomis Bay Ltd.,10%,S - Sale,$19.72,-16973,5855170,0%,"-$334,776",,,,,HGEN
18,M,2021-02-10 18:04:39,2021-02-08,HGEN,Nomis Bay Ltd.,10%,S - Sale,$21.61,-54273,5872143,-1%,"-$1,172,582",,,,,HGEN
19,M,2021-02-04 18:28:28,2021-02-02,HGEN,Nomis Bay Ltd.,10%,S - Sale,$20.96,-73584,5926416,-1%,"-$1,542,363",,,,,HGEN
20,M,2021-01-27 06:04:02,2021-01-22,HGEN,Nomis Bay Ltd.,10%,S - Sale,$19.87,-95032,6000000,-2%,"-$1,888,332",,,,,HGEN
21,M,2021-01-21 21:00:36,2021-01-19,HGEN,Nomis Bay Ltd.,10%,S - Sale,$20.29,-8500,6165032,0%,"-$172,423",,,,,HGEN
22,M,2021-01-19 18:35:34,2021-01-14,HGEN,Nomis Bay Ltd.,10%,S - Sale,$18.94,-105000,6173532,-2%,"-$1,989,020",,,,,HGEN
23,M,2021-01-13 17:22:59,2021-01-11,HGEN,Nomis Bay Ltd.,10%,S - Sale,$18.67,-25000,6278532,0%,"-$466,650",,,,,HGEN
24,,2020-12-31 16:30:42,2020-12-28,HGEN,Nomis Bay Ltd.,10%,S - Sale,$22.20,-500,6303532,0%,"-$11,101",,,,,HGEN
25,A,2020-12-28 17:18:54,2020-12-22,HGEN,Nomis Bay Ltd.,10%,S - Sale,$20.02,-50000,6357433,-1%,"-$1,000,985",,,,,HGEN
26,M,2020-12-28 17:17:40,2020-12-23,HGEN,Nomis Bay Ltd.,10%,S - Sale,$21.24,-53401,6304032,-1%,"-$1,134,104",,,,,HGEN
27,E,2020-12-23 16:06:47,2020-12-22,HGEN,Nomis Bay Ltd.,10%,S - Sale,$1.00,-50000,6357433,-1%,"-$50,000",,,,,HGEN
28,DM,2020-12-23 09:17:22,2020-12-18,HGEN,Nomis Bay Ltd.,10%,S - Sale+OE,$16.82,-87700,6407433,-1%,"-$1,474,766",,,,,HGEN
29,,2020-08-12 17:14:58,2020-08-10,HGEN,Nomis Bay Ltd.,10%,S - Sale,$5.04,-17100,32662170,0%,"-$86,099",,,,,HGEN
30,,2020-07-30 18:43:24,2020-07-28,HGEN,Nomis Bay Ltd.,10%,S - Sale,$5.66,-10000,32679270,0%,"-$56,550",,,,,HGEN
31,M,2020-07-21 16:09:01,2020-07-17,HGEN,Nomis Bay Ltd.,10%,S - Sale,$5.00,-300000,32689270,-1%,"-$1,500,190",,,,,HGEN
32,,2020-07-02 15:38:44,2020-06-30,HGEN,Nomis Bay Ltd.,10%,S - Sale,$4.91,-3000,32989270,0%,"-$14,739",,,,,HGEN
33,M,2020-06-17 16:31:32,2020-06-15,HGEN,Nomis Bay Ltd.,10%,S - Sale,$5.63,-65000,32992270,0%,"-$365,799",,,,,HGEN
34,M,2020-06-12 18:37:08,2020-03-20,HGEN,Nomis Bay Ltd.,10%,S - Sale,$2.62,-516260,33057270,-2%,"-$1,353,281",,,,,HGEN
35,,2018-03-05 13:58:50,2018-02-27,HGEN,Nomis Bay Ltd.,10%,P - Purchase,$0.28,"+29,893,424",33573530,+812%,"+$8,370,159",,,,,HGEN
36,,2018-03-01 16:40:46,2018-02-27,HGEN,Chappell Dale,10%,P - Purchase,$0.09,"+32,028,669",66870851,+92%,"+$3,001,086",,,,,HGEN
