,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,AD,2021-12-03 18:10:25,2020-12-15,INGN,Bauerlein Alison,"EVP, Finance, CFO",S - Sale+OE,$40.16,-8702,32470,-21%,"-$349,508",,,,,INGN
1,D,2021-09-17 16:53:12,2021-09-15,INGN,Huggenberger Raymond,Dir,S - Sale+OE,$49.00,-4000,17583,-19%,"-$196,000",,,,,INGN
2,D,2021-08-18 19:46:17,2021-08-16,INGN,Huggenberger Raymond,Dir,S - Sale+OE,$62.69,-6594,17583,-27%,"-$413,383",,,,,INGN
3,DM,2021-08-03 19:56:20,2021-07-30,INGN,Bauerlein Alison,"EVP, Finance, CFO",S - Sale+OE,$80.06,-9632,3779,-72%,"-$771,138",,,,,INGN
4,D,2021-07-29 16:16:25,2021-07-27,INGN,Taylor Brenton,"EVP, Engineering",S - Sale+OE,$75.02,-7942,57704,-12%,"-$595,808",,,,,INGN
5,D,2021-07-29 16:15:34,2021-07-27,INGN,Bauerlein Alison,"EVP, Finance, CFO",S - Sale+OE,$75.02,-9632,3779,-72%,"-$722,565",,,,,INGN
6,D,2021-07-19 20:26:16,2021-07-15,INGN,Huggenberger Raymond,Dir,S - Sale+OE,$65.83,-7000,17583,-28%,"-$460,822",,,,,INGN
7,D,2021-06-17 17:09:02,2021-06-15,INGN,Huggenberger Raymond,Dir,S - Sale+OE,$63.81,-7087,20583,-26%,"-$452,212",,,,,INGN
8,,2021-06-03 19:21:48,2021-06-02,INGN,Novo Holdings A/s,10%,S - Sale,$57.32,-680000,2079320,-25%,"-$38,977,600",,,,,INGN
9,D,2021-04-19 19:26:33,2021-04-15,INGN,Taylor Brenton,"EVP, Engineering",S - Sale+OE,$65.21,-2841,57775,-5%,"-$185,252",,,,,INGN
10,DM,2021-04-15 20:16:37,2021-04-13,INGN,Taylor Brenton,"EVP, Engineering",S - Sale+OE,$60.17,-7942,57775,-12%,"-$477,867",,,,,INGN
11,DM,2021-04-15 20:13:08,2021-04-13,INGN,Bauerlein Alison,"EVP, Finance, CFO",S - Sale+OE,$60.08,-2841,3324,-46%,"-$170,686",,,,,INGN
12,D,2021-03-19 17:49:06,2021-03-17,INGN,Taylor Brenton,"EVP, Engineering",S - Sale+OE,$51.63,-14765,57775,-20%,"-$762,355",,,,,INGN
