,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-09 20:16:47,2021-12-07,JOAN,Webb Darrell,Dir,S - Sale,$8.75,-150000,204733,-42%,"-$1,312,500",,,,,JOAN
1,,2021-12-09 20:13:21,2021-12-07,JOAN,Miquelon Wade D,"Pres, CEO",P - Purchase,$9.33,"+55,000",157550,+54%,"+$513,156",,,,,JOAN
2,DM,2021-12-09 20:11:10,2021-12-08,JOAN,Susz Matthew B.,"SVP, CFO",S - Sale+OE,$9.93,-81246,50981,-61%,"-$806,431",,,,,JOAN
3,,2021-09-21 16:30:06,2021-09-20,JOAN,Duliga Janet,"SVP, Chief Administrative",P - Purchase,$11.66,"+1,700",5200,+49%,"+$19,822",,,,,JOAN
4,,2021-09-16 16:25:41,2021-09-15,JOAN,Will Robert,"SVP, Chief Merchandising",P - Purchase,$10.44,"+9,500",14500,+190%,"+$99,180",,,,,JOAN
5,,2021-09-16 16:25:06,2021-09-15,JOAN,Ditullio Christopher,"SVP, Chief Customer Officer",P - Purchase,$10.35,"+2,500",17441,+17%,"+$25,868",,,,,JOAN
6,,2021-09-16 16:24:08,2021-09-16,JOAN,Aber Ann,"SVP, GC, Sec",P - Purchase,$11.13,"+1,000",2500,+67%,"+$11,125",,,,,JOAN
7,,2021-04-06 14:45:40,2021-04-06,JOAN,Miquelon Wade D,"Pres, CEO",P - Purchase,$11.36,"+47,550",102550,+86%,"+$540,035",,,,,JOAN
8,D,2021-03-18 18:46:54,2021-03-16,JOAN,"Green Equity Investors V, L.P.","Dir, 10%",S - Sale+OE,$11.20,-5263834,375542,-93%,"-$58,954,941",,,,,JOAN
9,D,2021-03-18 18:38:51,2021-03-16,JOAN,Yoon John J,"Dir, 10%",S - Sale+OE,$11.20,-5263834,27827357,-16%,"-$58,954,941",,,,,JOAN
10,D,2021-03-18 18:33:57,2021-03-16,JOAN,Sokoloff Jonathan D,"Dir, 10%",S - Sale+OE,$11.20,-5263834,27827357,-16%,"-$58,954,941",,,,,JOAN
11,D,2021-03-18 18:09:44,2021-03-16,JOAN,Joyce Michael Sagar,See Remarks,P - Purchase,$12.00,"+2,000",2000,New,"+$24,000",,,,,JOAN
12,D,2021-03-18 18:09:11,2021-03-16,JOAN,Will Robert,"SVP, Chief Merch. Officer",P - Purchase,$12.00,"+5,000",5000,New,"+$60,000",,,,,JOAN
13,D,2021-03-18 18:07:03,2021-03-16,JOAN,Miquelon Wade D,"Pres, CEO",P - Purchase,$12.00,"+55,000",55000,New,"+$660,000",,,,,JOAN
14,D,2021-03-18 18:06:34,2021-03-16,JOAN,Aber Ann,"SVP, GC, Secretary",P - Purchase,$12.00,"+1,500",1500,New,"+$18,000",,,,,JOAN
15,D,2021-03-18 18:05:53,2021-03-16,JOAN,Duliga Janet,"SVP, Chief Admin. Officer",P - Purchase,$12.00,"+3,500",3500,New,"+$42,000",,,,,JOAN
16,D,2021-03-18 18:05:48,2021-03-16,JOAN,Ditullio Christopher,"SVP, Chief Customer Officer",P - Purchase,$12.00,"+8,500",14941,+132%,"+$102,000",,,,,JOAN
17,D,2021-03-18 18:05:43,2021-03-16,JOAN,Susz Matthew B.,"SVP, CFO",P - Purchase,$12.00,"+15,000",15000,New,"+$180,000",,,,,JOAN
18,D,2021-03-18 18:04:39,2021-03-16,JOAN,Chennakrishnan Varadheesh,"SVP, CIO",P - Purchase,$12.00,"+10,000",10000,New,"+$120,000",,,,,JOAN
19,D,2021-03-18 18:02:27,2021-03-16,JOAN,Hejcl Sharyn M,See Remarks,P - Purchase,$12.00,"+4,500",4500,New,"+$54,000",,,,,JOAN
