,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-02 10:56:34,2021-06-01,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$122.67,-2989,29925,-9%,"-$366,654",,,,,JOUT
1,,2021-05-14 10:31:43,2021-05-13,JOUT,Fahey John M Jr,Dir,S - Sale,$133.41,-1500,17116,-8%,"-$200,118",,,,,JOUT
2,,2021-05-04 09:54:05,2021-05-03,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$143.64,-2981,32914,-8%,"-$428,175",,,,,JOUT
3,,2021-04-02 09:53:37,2021-04-01,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$143.47,-2981,35895,-8%,"-$427,671",,,,,JOUT
4,,2021-03-10 10:25:32,2021-03-08,JOUT,Lang Edward F,Dir,S - Sale,$142.00,-350,20738,-2%,"-$49,702",,,,,JOUT
5,,2021-03-05 15:16:54,2021-03-04,JOUT,London Terry E,Dir,S - Sale,$127.60,-1206,16258,-7%,"-$153,887",,,,,JOUT
6,,2021-03-02 15:32:49,2021-03-01,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$124.07,-2981,38876,-7%,"-$369,861",,,,,JOUT
7,,2021-02-19 10:57:51,2021-02-18,JOUT,Fahey John M Jr,Dir,S - Sale,$127.41,-1000,17995,-5%,"-$127,414",,,,,JOUT
8,,2021-02-02 12:00:20,2021-02-01,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$108.63,-2981,41236,-7%,"-$323,833",,,,,JOUT
9,,2021-01-15 11:32:57,2021-01-15,JOUT,Johnson David W,"VP, CFO",S - Sale,$112.73,-1000,18389,-5%,"-$112,730",,,,,JOUT
10,,2021-01-05 11:21:51,2021-01-04,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$112.26,-2981,44217,-6%,"-$334,649",,,,,JOUT
11,,2020-12-18 11:34:33,2020-12-17,JOUT,Fahey John M Jr,Dir,S - Sale,$96.77,-1000,18995,-5%,"-$96,770",,,,,JOUT
12,,2020-12-17 14:03:41,2020-12-16,JOUT,Lang Edward F,Dir,S - Sale,$99.45,-550,19819,-3%,"-$54,698",,,,,JOUT
13,,2020-12-15 15:44:30,2020-12-15,JOUT,Sheahan Richard Casey,Dir,S - Sale,$98.92,-1279,3394,-27%,"-$126,519",,,,,JOUT
14,,2020-12-15 15:06:56,2020-12-15,JOUT,Fahey John M Jr,Dir,S - Sale,$98.90,-1914,19995,-9%,"-$189,295",,,,,JOUT
15,,2020-12-02 16:04:17,2020-12-01,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$83.58,-2981,47198,-6%,"-$249,153",,,,,JOUT
16,,2020-11-03 10:44:46,2020-11-02,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$87.13,-2981,50179,-6%,"-$259,743",,,,,JOUT
17,,2020-10-28 11:30:14,2020-10-27,JOUT,Pyle Thomas F Jr,Dir,S - Sale,$85.89,-2981,53160,-5%,"-$256,052",,,,,JOUT
18,,2020-09-18 11:56:59,2020-09-18,JOUT,Johnson David W,"VP, CFO",S - Sale,$83.47,-1000,14735,-6%,"-$83,470",,,,,JOUT
19,M,2020-08-07 11:46:16,2020-08-05,JOUT,London Terry E,Dir,S - Sale,$87.23,-6048,16843,-26%,"-$527,557",,,,,JOUT
20,,2020-08-05 11:32:56,2020-08-04,JOUT,Fahey John M Jr,Dir,S - Sale,$88.38,-1900,21909,-8%,"-$167,923",,,,,JOUT
21,,2019-12-11 15:27:36,2019-12-11,JOUT,Fahey John M Jr,Dir,S - Sale,$76.08,-1048,22603,-4%,"-$79,728",,,,,JOUT
22,,2019-08-09 11:50:31,2019-08-09,JOUT,Johnson David W,"VP, CFO",S - Sale,$60.39,-1000,13958,-7%,"-$60,390",,,,,JOUT
23,,2019-05-10 15:36:59,2019-05-10,JOUT,Johnson David W,"VP, CFO",S - Sale,$82.07,-1000,14958,-6%,"-$82,070",,,,,JOUT
24,,2019-02-08 13:17:11,2019-02-08,JOUT,Johnson David W,"VP, CFO",S - Sale,$60.06,-1000,15958,-6%,"-$60,060",,,,,JOUT
25,,2018-05-11 14:27:37,2018-05-11,JOUT,Johnson David W,"VP, CFO",S - Sale,$73.45,-1000,13101,-7%,"-$73,450",,,,,JOUT
26,,2018-01-08 13:21:40,2018-01-08,JOUT,Johnson David W,"VP, CFO",S - Sale,$62.31,-1000,14101,-7%,"-$62,310",,,,,JOUT
