,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 12:08:28,2021-12-14,LASR,Bareket Ran,CFO,S - Sale,$24.63,-7278,156824,-4%,"-$179,257",,,,,LASR
1,,2021-11-23 16:29:37,2021-11-22,LASR,Bareket Ran,CFO,S - Sale,$26.98,-7149,164102,-4%,"-$192,880",,,,,LASR
2,,2021-11-18 13:42:50,2021-11-17,LASR,Keeney Scott H,"Pres, CEO",S - Sale,$27.31,-336,703117,0%,"-$9,176",,,,,LASR
3,,2021-11-17 15:45:33,2021-11-17,LASR,Bareket Ran,CFO,S - Sale,$27.42,-336,171251,0%,"-$9,213",,,,,LASR
4,,2021-11-09 14:27:04,2021-11-05,LASR,Keeney Scott H,"Pres, CEO",S - Sale,$29.58,-122266,703117,-15%,"-$3,616,628",,,,,LASR
5,,2021-10-14 11:41:55,2021-10-12,LASR,Bareket Ran,CFO,S - Sale,$25.40,-9977,171251,-6%,"-$253,416",,,,,LASR
6,,2021-08-19 18:03:11,2021-08-18,LASR,Bareket Ran,CFO,S - Sale,$24.54,-16288,181228,-8%,"-$399,708",,,,,LASR
7,,2021-05-18 19:16:51,2021-05-17,LASR,Bareket Ran,CFO,S - Sale,$25.42,-348,137483,0%,"-$8,846",,,,,LASR
8,D,2021-04-13 19:14:54,2021-04-12,LASR,Bareket Ran,CFO,S - Sale+OE,$31.99,-10000,137483,-7%,"-$319,900",,,,,LASR
9,D,2021-03-15 20:45:14,2021-03-12,LASR,Bareket Ran,CFO,S - Sale+OE,$34.92,-7500,137483,-5%,"-$261,900",,,,,LASR
10,D,2021-02-16 15:53:34,2021-02-12,LASR,Bareket Ran,CFO,S - Sale+OE,$40.24,-7500,137483,-5%,"-$301,800",,,,,LASR
11,D,2021-01-14 11:48:23,2021-01-12,LASR,Bareket Ran,CFO,S - Sale+OE,$37.74,-7500,137483,-5%,"-$283,050",,,,,LASR
12,D,2021-01-08 12:45:36,2021-01-06,LASR,Keeney Scott H,"Pres, CEO",S - Sale+OE,$32.25,-50000,368665,-12%,"-$1,612,500",,,,,LASR
13,,2020-12-22 10:58:29,2020-12-21,LASR,Keeney Scott H,"Pres, CEO",S - Sale,$33.70,-109162,369944,-23%,"-$3,678,759",,,,,LASR
