,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-04 10:34:14,2021-11-03,LBAI,Hanson James E. II,Dir,P - Purchase,$18.96,"+1,025",87992,+1%,"+$19,434",,,,,LBAI
1,,2021-09-24 09:41:26,2021-09-22,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.45,"+2,000",19658,+11%,"+$32,898",,,,,LBAI
2,,2021-09-21 10:39:16,2021-09-20,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.05,"+2,000",17658,+13%,"+$32,095",,,,,LBAI
3,,2021-09-20 17:29:55,2021-09-17,LBAI,Ho-Sing-Loy Paul,EVP CIO,P - Purchase,$16.50,"+3,000",30583,+11%,"+$49,506",,,,,LBAI
4,,2021-09-17 14:43:46,2021-09-16,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.55,"+2,000",15658,+15%,"+$33,109",,,,,LBAI
5,,2021-09-14 15:43:33,2021-09-13,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.63,"+2,000",13658,+17%,"+$33,262",,,,,LBAI
6,,2021-09-09 15:07:02,2021-09-08,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.46,"+2,000",11658,+21%,"+$32,921",,,,,LBAI
7,,2021-09-08 15:10:55,2021-09-07,LBAI,Hanson James E. II,Dir,P - Purchase,$16.69,"+1,250",86967,+1%,"+$20,863",,,,,LBAI
8,,2021-05-20 10:57:08,2021-05-19,LBAI,Hanson James E. II,Dir,P - Purchase,$18.52,"+1,240",85691,+1%,"+$22,965",,,,,LBAI
9,,2021-02-18 16:44:56,2021-02-11,LBAI,Hanson James E. II,Dir,P - Purchase,$0.00,"+1,516",84363,+2%,+$0,,,,,LBAI
10,,2021-02-04 14:00:03,2021-02-03,LBAI,Gragnolati Brian,Dir,P - Purchase,$13.57,"+1,000",9658,+12%,"+$13,574",,,,,LBAI
11,,2020-11-12 14:51:13,2020-11-09,LBAI,Ho-Sing-Loy Paul,EVP CIO,S - Sale,$12.21,-2403,17517,-12%,"-$29,341",,,,,LBAI
12,,2020-11-05 15:15:21,2020-11-04,LBAI,Hanson James E. II,Dir,P - Purchase,$10.72,"+1,900",81390,+2%,"+$20,368",,,,,LBAI
13,,2020-10-29 11:37:28,2020-10-27,LBAI,Gragnolati Brian,Dir,P - Purchase,$11.06,"+1,000",7201,+16%,"+$11,059",,,,,LBAI
14,,2020-09-25 11:46:11,2020-09-23,LBAI,Schwarz Ronald E,"Sr. EVP, COO",P - Purchase,$9.85,"+2,500",85335,+3%,"+$24,625",,,,,LBAI
15,,2020-08-05 17:12:36,2020-08-04,LBAI,Inserra Lawrence R Jr,Dir,P - Purchase,$9.99,"+1,001",66511,+2%,"+$9,996",,,,,LBAI
16,,2020-07-30 19:25:51,2020-07-30,LBAI,McCracken Robert E,Dir,P - Purchase,$10.29,"+3,500",137232,+3%,"+$36,015",,,,,LBAI
17,,2020-07-30 19:03:36,2020-07-28,LBAI,Gragnolati Brian,Dir,P - Purchase,$10.20,"+3,000",6201,+94%,"+$30,614",,,,,LBAI
18,,2020-07-28 17:26:58,2020-07-28,LBAI,Hanson James E. II,Dir,P - Purchase,$10.23,"+1,680",79490,+2%,"+$17,186",,,,,LBAI
19,,2020-06-19 12:46:03,2020-06-18,LBAI,Ho-Sing-Loy Paul,EVP CIO,P - Purchase,$10.70,"+2,100",20728,+11%,"+$22,470",,,,,LBAI
20,,2020-06-01 16:28:53,2020-05-29,LBAI,Hanson James E. II,Dir,P - Purchase,$10.89,"+1,730",77810,+2%,"+$18,840",,,,,LBAI
21,,2020-05-08 13:43:16,2020-05-07,LBAI,Hanson James E. II,Dir,P - Purchase,$10.66,"+1,380",76080,+2%,"+$14,711",,,,,LBAI
22,,2020-05-08 13:42:15,2020-05-07,LBAI,Gragnolati Brian,Dir,P - Purchase,$10.65,"+1,000",3201,+45%,"+$10,645",,,,,LBAI
23,,2020-03-25 14:20:04,2020-03-24,LBAI,Ho-Sing-Loy Paul,EVP CIO,P - Purchase,$9.88,"+2,900",18628,+18%,"+$28,650",,,,,LBAI
24,,2020-03-25 14:17:36,2020-03-24,LBAI,Hanson James E. II,Dir,P - Purchase,$9.96,+750,74700,+1%,"+$7,470",,,,,LBAI
25,A,2020-03-25 14:12:47,2020-03-23,LBAI,Inserra Lawrence R Jr,Dir,P - Purchase,$8.62,"+1,159",64753,+2%,"+$9,996",,,,,LBAI
26,,2020-03-19 12:25:29,2020-03-18,LBAI,McCracken Robert E,Dir,P - Purchase,$8.32,"+3,000",133676,+2%,"+$24,961",,,,,LBAI
27,,2020-03-09 15:00:30,2020-03-06,LBAI,McCracken Robert E,Dir,P - Purchase,$13.63,"+3,000",130676,+2%,"+$40,890",,,,,LBAI
28,,2020-02-12 12:15:42,2020-02-11,LBAI,Gragnolati Brian,Dir,P - Purchase,$16.65,"+1,000",1000,New,"+$16,650",,,,,LBAI
29,,2020-02-05 13:36:00,2020-02-04,LBAI,Hanson James E. II,Dir,P - Purchase,$16.49,"+1,050",73950,+1%,"+$17,315",,,,,LBAI
30,,2019-11-06 16:41:12,2019-11-05,LBAI,Hanson James E. II,Dir,P - Purchase,$17.00,"+1,200",71716,+2%,"+$20,400",,,,,LBAI
31,,2019-08-02 15:41:05,2019-08-01,LBAI,Hanson James E. II,Dir,P - Purchase,$16.40,+985,70516,+1%,"+$16,154",,,,,LBAI
32,,2019-05-30 14:24:34,2019-05-30,LBAI,Hanson James E. II,Dir,P - Purchase,$15.78,+250,69531,0%,"+$3,945",,,,,LBAI
33,,2019-05-10 15:35:06,2019-05-06,LBAI,Hanson James E. II,Dir,P - Purchase,$17.08,+840,69281,+1%,"+$14,347",,,,,LBAI
34,,2019-02-04 14:31:28,2019-02-01,LBAI,Hanson James E. II,Dir,P - Purchase,$15.78,"+1,585",68441,+2%,"+$25,011",,,,,LBAI
35,,2018-12-26 16:53:09,2018-12-21,LBAI,Nicholson Robert K III,Dir,P - Purchase,$14.45,"+13,000",163149,+9%,"+$187,850",,,,,LBAI
36,,2018-12-17 10:40:31,2018-12-14,LBAI,Deacon Mary Ann,Dir,P - Purchase,$14.65,"+1,000",408579,0%,"+$14,645",,,,,LBAI
37,A,2018-11-19 12:19:06,2018-11-02,LBAI,Hanson James E. II,Dir,P - Purchase,$16.53,"+1,225",64973,+2%,"+$20,249",,,,,LBAI
38,,2018-11-19 10:34:53,2018-11-15,LBAI,Shara Thomas,"Pres, CEO",P - Purchase,$16.12,"+5,000",334600,+2%,"+$80,600",,,,,LBAI
39,,2018-11-06 15:45:33,2018-11-06,LBAI,Hanson James E. II,Dir,S - Sale,$16.53,-1225,62523,-2%,"-$20,249",,,,,LBAI
40,,2018-11-02 10:50:58,2018-11-01,LBAI,Deacon Mary Ann,Dir,P - Purchase,$16.51,"+6,750",407579,+2%,"+$111,429",,,,,LBAI
41,D,2018-03-16 14:56:09,2018-03-15,LBAI,Deutsch Edward B,Dir,S - Sale+OE,$20.85,-20050,16741,-54%,"-$418,043",,,,,LBAI
42,AM,2018-03-15 15:51:07,2018-02-01,LBAI,Deutsch Edward B,Dir,S - Sale,$20.53,-10006,14836,-40%,"-$205,459",,,,,LBAI
43,D,2018-03-15 15:50:00,2018-03-14,LBAI,Deutsch Edward B,Dir,S - Sale+OE,$20.85,-6200,16741,-27%,"-$129,270",,,,,LBAI
44,,2018-03-12 15:29:57,2017-07-28,LBAI,Marino Thomas J,Dir,P - Purchase,$19.08,"+5,000",21126,+31%,"+$95,400",,,,,LBAI
45,,2018-03-12 15:29:35,2018-03-09,LBAI,Deutsch Edward B,Dir,S - Sale,$20.50,-2870,16341,-15%,"-$58,835",,,,,LBAI
46,,2018-02-12 15:07:16,2018-02-09,LBAI,Fredericks Mark J,Dir,S - Sale,$19.75,-5200,326364,-2%,"-$102,700",,,,,LBAI
47,,2017-12-22 15:29:11,2017-12-22,LBAI,Tilton Stephen R Sr,Dir,S - Sale,$19.98,-29501,758590,-4%,"-$589,430",,,,,LBAI
48,,2017-12-20 15:47:07,2017-12-19,LBAI,Nicholson Robert K III,Dir,S - Sale,$20.04,-37227,95739,-28%,"-$746,029",,,,,LBAI
