,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-15 17:18:24,2021-09-14,LBC,Mahoney Tammy,"EVP, Chief Risk Officer",S - Sale,$12.51,-8000,45398,-15%,"-$100,075",,,,,LBC
1,,2021-05-05 19:31:29,2021-05-03,LBC,Krouskup Jack W.,Dir,S - Sale,$11.44,-5000,34438,-13%,"-$57,204",,,,,LBC
2,,2021-03-10 18:21:16,2021-03-10,LBC,Prieto Liana,"EVP, GC",S - Sale,$12.04,-30000,65581,-31%,"-$361,103",,,,,LBC
3,,2021-03-02 21:20:32,2021-03-01,LBC,Mahoney Tammy,"EVP, Chief Risk Officer",S - Sale,$10.64,-12000,58481,-17%,"-$127,718",,,,,LBC
4,,2020-11-17 17:40:39,2020-11-17,LBC,Mahoney Tammy,"EVP, Chief Risk Officer",S - Sale,$10.60,-3000,61840,-5%,"-$31,800",,,,,LBC
5,A,2020-08-24 16:45:40,2020-08-10,LBC,Lagomarsino Simone,Pres CEO,P - Purchase,$10.47,"+2,500",182848,+1%,"+$26,175",,,,,LBC
6,,2020-08-10 18:37:22,2020-08-10,LBC,Wajnert Thomas C,Dir,P - Purchase,$10.45,"+2,000",62320,+3%,"+$20,894",,,,,LBC
7,,2020-08-10 18:35:25,2020-08-10,LBC,Lagomarsino Simone,Pres CEO,P - Purchase,$10.47,"+2,500",182848,+1%,"+$26,175",,,,,LBC
8,,2020-08-10 18:31:37,2020-08-07,LBC,Krouskup Jack W.,Dir,S - Sale,$10.08,-8420,33479,-20%,"-$84,848",,,,,LBC
9,,2020-05-13 13:49:13,2020-05-13,LBC,Erickson John C,Dir,P - Purchase,$8.48,"+6,000",35777,+20%,"+$50,880",,,,,LBC
10,,2020-03-13 17:02:01,2020-03-12,LBC,Tarantino Laura,"EVP, Corporate CFO",P - Purchase,$8.37,"+6,000",164473,+4%,"+$50,215",,,,,LBC
11,,2020-03-06 10:29:33,2020-03-05,LBC,Prieto Liana,"EVP, GC",S - Sale,$10.21,-15000,103715,-13%,"-$153,109",,,,,LBC
12,,2019-12-12 13:34:46,2019-12-10,LBC,Newcomb Anita G.,Dir,S - Sale,$11.10,-4500,40203,-10%,"-$49,950",,,,,LBC
13,,2019-11-12 17:00:52,2019-11-11,LBC,Mahoney Tammy,"EVP, Chief Risk Officer",S - Sale,$11.75,-1000,56430,-2%,"-$11,754",,,,,LBC
14,,2019-05-03 11:18:42,2019-05-01,LBC,Prieto Liana,"EVP, GC",S - Sale,$10.03,-20000,114109,-15%,"-$200,506",,,,,LBC
15,M,2019-02-15 17:21:28,2019-02-14,LBC,Lagomarsino Simone,Pres CEO,P - Purchase,$10.46,"+10,000",112146,+10%,"+$104,601",,,,,LBC
16,A,2018-12-18 11:30:23,2018-12-13,LBC,Krouskup Jack W.,Dir,S - Sale,$9.15,-12722,30654,-29%,"-$116,350",,,,,LBC
17,,2018-12-17 18:49:18,2018-12-13,LBC,Krouskup Jack W.,Dir,P - Purchase,$9.15,"+12,722",56098,+29%,"+$116,350",,,,,LBC
18,,2018-12-14 17:17:19,2018-12-12,LBC,Erickson John C,Dir,P - Purchase,$9.34,"+2,600",18462,+16%,"+$24,284",,,,,LBC
19,,2018-12-10 14:23:27,2018-12-06,LBC,Trione Victor,"Dir, 10%",P - Purchase,$10.01,"+15,000",11025000,0%,"+$150,100",,,,,LBC
20,,2018-12-06 15:06:45,2018-12-04,LBC,Trione Victor,10%,P - Purchase,$9.45,"+10,000",11010000,0%,"+$94,477",,,,,LBC
21,,2018-11-05 14:09:27,2018-11-05,LBC,Frazee Scott,Dir of Operations,P - Purchase,$9.55,"+2,600",50590,+5%,"+$24,830",,,,,LBC
22,,2018-08-21 13:22:34,2018-08-20,LBC,Newcomb Anita G.,Dir,P - Purchase,$10.87,"+1,000",38574,+3%,"+$10,870",,,,,LBC
23,,2018-08-15 14:09:06,2018-08-14,LBC,Mahoney Tammy,"EVP, Chief Risk Officer",P - Purchase,$10.97,+682,44942,+2%,"+$7,482",,,,,LBC
24,,2018-08-13 13:11:57,2018-08-09,LBC,Cardamone John A.,"EVP, Chief Credit Officer",P - Purchase,$10.63,"+2,000",85116,+2%,"+$21,260",,,,,LBC
