,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-03 16:19:54,2021-09-01,LE,Griffith Jerome,CEO,S - Sale,$35.03,-1314,307158,0%,"-$46,029",,,,,LE
1,,2021-08-03 16:18:22,2021-08-02,LE,Griffith Jerome,CEO,S - Sale,$40.21,-10000,308472,-3%,"-$402,066",,,,,LE
2,,2021-07-02 16:10:23,2021-07-01,LE,Griffith Jerome,CEO,S - Sale,$40.21,-10000,318472,-3%,"-$402,146",,,,,LE
3,M,2021-06-07 16:50:29,2021-06-03,LE,Griffith Jerome,CEO,S - Sale,$35.11,-30000,328472,-8%,"-$1,053,236",,,,,LE
4,,2021-04-01 16:16:47,2021-03-31,LE,Rasmusen Sarah W.,"EVP, CHIEF CUSTOMER OFFICER",S - Sale,$24.59,-8223,8223,-50%,"-$202,195",,,,,LE
5,M,2021-03-19 21:29:02,2021-03-17,LE,Lampert Edward S,10%,S - Sale,$38.57,-108156,17805807,-1%,"-$4,172,079",,,,,LE
6,,2021-03-16 17:54:08,2021-03-12,LE,Lampert Edward S,10%,S - Sale,$36.15,-3853,17913963,0%,"-$139,286",,,,,LE
7,M,2021-03-03 18:00:15,2021-03-01,LE,Lampert Edward S,10%,S - Sale,$33.63,-12638,17917816,0%,"-$424,970",,,,,LE
8,,2021-02-24 18:26:44,2021-02-22,LE,Lampert Edward S,10%,S - Sale,$31.59,-8353,19840256,0%,"-$263,871",,,,,LE
9,M,2021-02-19 20:37:10,2021-02-17,LE,Lampert Edward S,10%,S - Sale,$31.40,-43370,19848609,0%,"-$1,361,711",,,,,LE
10,M,2021-02-16 20:08:43,2021-02-11,LE,Lampert Edward S,10%,S - Sale,$31.10,-68589,19891979,0%,"-$2,133,263",,,,,LE
11,M,2021-02-09 17:13:34,2021-02-05,LE,Lampert Edward S,10%,S - Sale,$31.27,-25544,19960568,0%,"-$798,886",,,,,LE
12,A,2020-03-27 17:58:57,2020-03-23,LE,Patel Jignesh,Dir,P - Purchase,$5.44,"+4,000",22000,+22%,"+$21,750",,,,,LE
13,M,2020-03-23 16:45:06,2020-03-19,LE,Patel Jignesh,Dir,P - Purchase,$6.65,"+6,000",18000,+50%,"+$39,882",,,,,LE
14,,2018-12-14 09:02:36,2018-12-12,LE,Griffith Jerome,"CEO, Pres",P - Purchase,$14.58,"+10,000",130963,+8%,"+$145,829",,,,,LE
15,,2018-12-14 09:02:02,2018-12-13,LE,Gray Peter L,"EVP, CAO, GC",P - Purchase,$14.00,"+1,800",10713,+20%,"+$25,200",,,,,LE
16,,2018-12-14 09:01:23,2018-12-13,LE,Gooch James F,"EVP, COO, CFO, Treasurer",P - Purchase,$13.98,"+4,000",19769,+25%,"+$55,924",,,,,LE
17,,2018-12-13 16:31:46,2018-12-11,LE,McClain John,Dir,P - Purchase,$14.08,"+1,000",6054,+20%,"+$14,083",,,,,LE
18,,2018-12-12 16:44:07,2018-12-10,LE,Patel Jignesh,Dir,P - Purchase,$14.00,"+2,000",12000,+20%,"+$28,000",,,,,LE
19,,2018-09-18 17:02:31,2018-09-14,LE,McCracken Bernard Louis III,"VP, Controller, CAO",S - Sale,$17.80,-4000,604,-87%,"-$71,211",,,,,LE
20,,2018-04-17 16:18:05,2018-04-13,LE,Hong Gill Brown,"EVP, CMO, Head of Intl.",P - Purchase,$22.20,"+1,525",3425,+80%,"+$33,855",,,,,LE
