,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-10-29 10:53:46,2021-10-18,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$16.89,-10000,6078411,0%,"-$168,900",,,,,LEGH
1,,2021-10-19 12:35:33,2021-10-13,LEGH,Shipley William G,10%,S - Sale,$17.03,-10000,3114072,0%,"-$170,300",,,,,LEGH
2,M,2021-10-12 11:33:33,2021-10-07,LEGH,Shipley Kenneth E,"CEO, 10%",S - Sale,$17.36,-7630,6267546,0%,"-$132,474",,,,,LEGH
3,M,2021-10-08 11:39:25,2021-10-04,LEGH,Shipley Kenneth E,"CEO, 10%",S - Sale,$17.69,-17370,6281436,0%,"-$307,275",,,,,LEGH
4,,2021-10-08 11:38:02,2021-09-21,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$17.21,-7385,6088411,0%,"-$127,096",,,,,LEGH
5,M,2021-09-21 12:52:43,2021-09-16,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$17.37,-26630,8344910,0%,"-$462,497",,,,,LEGH
6,M,2021-09-15 12:08:35,2021-09-10,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.78,-17941,8390686,0%,"-$336,925",,,,,LEGH
7,M,2021-09-10 13:24:36,2021-09-07,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$19.66,-58044,8410567,-1%,"-$1,141,109",,,,,LEGH
8,M,2021-08-31 13:05:44,2021-08-25,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.73,-54324,8566791,-1%,"-$1,017,243",,,,,LEGH
9,M,2021-08-25 11:53:45,2021-08-20,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.24,-16708,8640552,0%,"-$304,780",,,,,LEGH
10,,2021-08-20 11:55:19,2021-08-16,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.33,-13968,6269443,0%,"-$256,033",,,,,LEGH
11,M,2021-08-12 11:18:36,2021-07-26,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$17.51,-35000,8931228,0%,"-$612,850",,,,,LEGH
12,,2021-07-27 10:48:31,2021-07-19,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$15.71,-10000,6528411,0%,"-$157,100",,,,,LEGH
13,,2021-07-27 10:45:15,2021-07-12,LEGH,Shipley William G,10%,S - Sale,$16.93,-15672,3124072,0%,"-$265,327",,,,,LEGH
14,M,2021-07-12 13:33:04,2021-07-06,LEGH,Shipley William G,10%,S - Sale,$17.72,-10387,6284673,0%,"-$184,008",,,,,LEGH
15,,2021-07-02 10:35:01,2021-06-28,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$16.94,-1358,6538411,0%,"-$23,005",,,,,LEGH
16,M,2021-07-02 10:33:48,2021-06-28,LEGH,Shipley William G,10%,S - Sale,$16.95,-33986,6331031,-1%,"-$575,970",,,,,LEGH
17,M,2021-06-25 11:48:42,2021-06-21,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$17.75,-14282,8999184,0%,"-$253,494",,,,,LEGH
18,M,2021-06-25 11:02:01,2021-06-21,LEGH,Shipley William G,10%,S - Sale,$17.74,-16160,6368294,0%,"-$286,676",,,,,LEGH
19,M,2021-06-21 13:18:17,2021-06-09,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.96,-11918,9036868,0%,"-$225,959",,,,,LEGH
20,M,2021-06-16 12:47:36,2021-06-07,LEGH,Shipley William G,10%,S - Sale,$19.21,-29854,6410408,0%,"-$573,444",,,,,LEGH
21,M,2021-06-08 12:57:38,2021-04-19,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$18.94,-210000,6355969,-3%,"-$3,978,029",,,,,LEGH
22,M,2021-06-07 12:16:00,2021-03-10,LEGH,Shipley Douglas M,10%,S - Sale,$16.90,-40000,6312882,-1%,"-$675,966",,,,,LEGH
23,M,2021-06-07 12:12:55,2021-02-24,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$16.33,-78000,9101130,-1%,"-$1,273,375",,,,,LEGH
24,M,2021-06-04 12:47:56,2021-02-09,LEGH,Shipley Douglas M,10%,S - Sale,$16.47,-80000,6423334,-1%,"-$1,317,936",,,,,LEGH
25,M,2021-06-03 10:21:51,2021-02-10,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$16.18,-82177,9279521,-1%,"-$1,329,489",,,,,LEGH
26,AM,2021-06-01 12:57:43,2021-02-02,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$15.97,-45182,9411698,0%,"-$721,670",,,,,LEGH
27,M,2021-02-10 15:28:56,2021-02-02,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$15.97,-45182,6726146,-1%,"-$721,670",,,,,LEGH
28,,2021-01-27 12:21:09,2021-01-22,LEGH,Shipley Kenneth E,"CEO, 10%",S - Sale,$15.40,-721,3206667,0%,"-$11,103",,,,,LEGH
29,M,2021-01-27 12:18:25,2021-01-22,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$15.41,-6308,6771328,0%,"-$97,200",,,,,LEGH
30,M,2021-01-22 12:00:05,2021-01-14,LEGH,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,$15.37,-12933,6777636,0%,"-$198,787",,,,,LEGH
