,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2019-09-06 17:02:23,2019-09-04,LUNA,Carilion Clinic,10%,S - Sale,$6.54,-171701,864330,-17%,"-$1,123,640",,,,,LUNA
1,M,2019-09-04 16:53:00,2019-08-30,LUNA,Carilion Clinic,10%,S - Sale,$6.37,-136899,1036031,-12%,"-$872,654",,,,,LUNA
2,M,2019-08-30 16:30:57,2019-08-28,LUNA,Carilion Clinic,10%,S - Sale,$6.26,-191400,1172930,-14%,"-$1,198,458",,,,,LUNA
3,M,2019-08-28 17:13:21,2019-08-26,LUNA,Carilion Clinic,10%,S - Sale,$6.24,-100000,1364330,-7%,"-$623,567",,,,,LUNA
4,M,2019-08-23 16:22:11,2019-08-21,LUNA,Carilion Clinic,10%,S - Sale,$6.06,-100000,1464330,-6%,"-$606,483",,,,,LUNA
5,M,2019-08-21 16:56:52,2019-08-19,LUNA,Carilion Clinic,10%,S - Sale,$6.03,-100000,1564330,-6%,"-$603,360",,,,,LUNA
6,M,2019-08-16 16:47:11,2019-08-14,LUNA,Carilion Clinic,10%,S - Sale,$5.58,-79305,1664330,-5%,"-$442,896",,,,,LUNA
7,M,2019-08-14 16:54:21,2019-08-12,LUNA,Carilion Clinic,10%,S - Sale,$5.64,-120695,1743635,-6%,"-$680,414",,,,,LUNA
8,,2019-08-09 18:29:32,2019-08-08,LUNA,Carilion Clinic,10%,S - Sale,$5.25,-54495,1864330,-3%,"-$286,099",,,,,LUNA
9,M,2019-08-02 16:51:41,2019-07-31,LUNA,Carilion Clinic,10%,S - Sale,$5.34,-45505,1918825,-2%,"-$243,121",,,,,LUNA
10,M,2019-07-30 17:03:04,2019-07-26,LUNA,Carilion Clinic,10%,S - Sale,$5.01,-24332,1964330,-1%,"-$122,004",,,,,LUNA
11,M,2019-07-26 19:11:44,2019-07-24,LUNA,Carilion Clinic,10%,S - Sale,$5.00,-14579,1988662,-1%,"-$72,895",,,,,LUNA
12,M,2019-07-24 17:06:09,2019-07-22,LUNA,Carilion Clinic,10%,S - Sale,$5.02,-93550,2003241,-4%,"-$469,565",,,,,LUNA
13,M,2019-07-22 17:03:53,2019-07-18,LUNA,Carilion Clinic,10%,S - Sale,$5.00,-47404,2096791,-2%,"-$237,020",,,,,LUNA
14,M,2019-07-18 16:55:19,2019-07-16,LUNA,Carilion Clinic,10%,S - Sale,$5.02,-20135,2144195,-1%,"-$101,021",,,,,LUNA
15,D,2018-07-18 16:43:50,2018-07-16,LUNA,Carilion Clinic,10%,S - Sale+OE,$3.40,-39497,2164330,-2%,"-$134,290",,,,,LUNA
16,,2018-07-11 21:06:33,2018-07-09,LUNA,Carilion Clinic,10%,S - Sale,$3.40,-8955,2044730,0%,"-$30,447",,,,,LUNA
17,,2018-06-04 17:12:15,2018-05-31,LUNA,Carilion Clinic,10%,S - Sale,$3.40,-100,2053685,0%,-$340,,,,,LUNA
18,M,2018-05-30 17:08:06,2018-05-25,LUNA,Carilion Clinic,10%,S - Sale,$3.41,-6700,2053785,0%,"-$22,841",,,,,LUNA
19,,2018-05-23 16:37:37,2018-05-21,LUNA,Carilion Clinic,10%,S - Sale,$3.40,-915,2060485,0%,"-$3,111",,,,,LUNA
20,M,2018-05-21 17:04:26,2018-05-17,LUNA,Carilion Clinic,10%,S - Sale,$3.40,-102930,2061400,-5%,"-$349,962",,,,,LUNA
21,M,2018-05-10 17:39:57,2018-05-08,LUNA,Carilion Clinic,10%,S - Sale,$3.43,-64608,2075444,-3%,"-$221,341",,,,,LUNA
22,,2018-05-07 16:29:31,2018-05-03,LUNA,Carilion Clinic,10%,S - Sale,$3.40,-3900,2140052,0%,"-$13,260",,,,,LUNA
23,M,2018-05-03 16:34:26,2018-05-01,LUNA,Carilion Clinic,10%,S - Sale,$3.41,-20378,2143952,-1%,"-$69,489",,,,,LUNA
24,M,2018-04-18 16:54:35,2018-04-16,LUNA,Carilion Clinic,10%,S - Sale,$3.41,-39172,2046313,-2%,"-$133,522",,,,,LUNA
25,DM,2018-04-16 17:20:29,2018-04-12,LUNA,Carilion Clinic,10%,S - Sale+OE,$3.39,-78045,2085485,-4%,"-$264,262",,,,,LUNA
26,M,2018-04-12 16:27:15,2018-04-10,LUNA,Carilion Clinic,10%,S - Sale,$3.43,-44012,2120318,-2%,"-$151,014",,,,,LUNA
