,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2020-12-03 16:05:08,2020-12-01,MCRB,Henn Matthew R.,See Remarks,S - Sale+OE,$27.04,-91812,0,-100%,"-$2,482,309",,,,,MCRB
1,D,2019-11-25 16:32:32,2019-11-22,MCRB,Chapman Marcus,See Remarks,S - Sale+OE,$3.91,-3400,8600,-28%,"-$13,297",,,,,MCRB
2,,2019-06-20 16:17:26,2019-06-18,MCRB,Afeyan Noubar,"Dir, 10%",P - Purchase,$2.25,"+8,888,888",17142461,+108%,"+$19,999,998",,,,,MCRB
3,D,2019-01-29 18:55:12,2019-01-28,MCRB,Desrosier Thomas,"GC, EVP",S - Sale+OE,$5.75,-5471,16054,-25%,"-$31,478",,,,,MCRB
4,D,2019-01-29 18:52:56,2019-01-28,MCRB,Shaff Eric D.,See Remarks,S - Sale+OE,$5.75,-4378,12842,-25%,"-$25,188",,,,,MCRB
5,D,2018-12-19 16:11:41,2018-12-17,MCRB,Aunins John G.,"CTO, EVP",S - Sale+OE,$6.39,-14282,85250,-14%,"-$91,313",,,,,MCRB
6,,2018-11-19 16:27:52,2018-11-15,MCRB,Aunins John G.,See Remarks,S - Sale,$8.26,-14279,89532,-14%,"-$117,912",,,,,MCRB
7,,2018-10-16 16:16:37,2018-10-15,MCRB,Aunins John G.,See Remarks,S - Sale,$5.94,-14279,103811,-12%,"-$84,800",,,,,MCRB
8,M,2018-09-19 21:22:25,2018-05-15,MCRB,Aunins John G.,See Remarks,S - Sale,$7.64,-42837,118090,-27%,"-$327,345",,,,,MCRB
9,,2018-09-11 16:49:26,2018-09-07,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale,$9.00,-1810,213976,-1%,"-$16,291",,,,,MCRB
10,M,2018-09-06 17:08:44,2018-09-05,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale,$9.10,-12518,215786,-5%,"-$113,950",,,,,MCRB
11,,2018-07-18 16:58:39,2018-07-15,MCRB,Aunins John G.,"CTO, EVP",S - Sale,$8.10,-14279,160927,-8%,"-$115,726",,,,,MCRB
12,D,2018-07-12 17:15:57,2018-07-11,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale+OE,$9.01,-1010,228304,0%,"-$9,099",,,,,MCRB
13,DM,2018-07-10 17:49:01,2018-07-06,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale+OE,$9.12,-32336,228304,-12%,"-$295,065",,,,,MCRB
14,DM,2018-06-29 17:12:36,2018-06-28,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale+OE,$9.15,-26056,228304,-10%,"-$238,291",,,,,MCRB
15,DM,2018-06-27 21:06:10,2018-06-25,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale+OE,$9.16,-64967,228304,-22%,"-$595,045",,,,,MCRB
16,M,2018-06-22 21:11:54,2018-06-20,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale,$9.28,-85536,238768,-26%,"-$793,907",,,,,MCRB
17,,2018-06-18 16:43:51,2018-06-15,MCRB,Aunins John G.,"CTO, EVP",S - Sale,$8.57,-14279,170206,-8%,"-$122,325",,,,,MCRB
18,,2018-05-10 16:44:46,2018-05-09,MCRB,Pomerantz Roger,"Pres, CEO",S - Sale,$9.00,-233,324304,0%,"-$2,097",,,,,MCRB
19,,2018-04-26 16:55:53,2018-04-25,MCRB,Aunins John G.,"CTO, EVP",S - Sale,$7.58,-14279,184485,-7%,"-$108,266",,,,,MCRB
20,D,2018-01-30 21:01:52,2018-01-26,MCRB,Aunins John G.,See Remarks,S - Sale+OE,$11.02,-1738,198764,-1%,"-$19,153",,,,,MCRB
21,D,2018-01-30 21:01:33,2018-01-26,MCRB,Shaff Eric D.,See Remarks,S - Sale+OE,$11.02,-2780,5220,-35%,"-$30,636",,,,,MCRB
22,D,2018-01-30 20:58:36,2018-01-26,MCRB,Desrosier Thomas,See Remarks,S - Sale+OE,$11.02,-3475,6525,-35%,"-$38,295",,,,,MCRB
23,D,2018-01-30 20:58:24,2018-01-26,MCRB,Trucksis Michele,See Remarks,S - Sale+OE,$11.02,-2607,4893,-35%,"-$28,729",,,,,MCRB
24,D,2018-01-30 20:58:08,2018-01-26,MCRB,Cook David N,See Remarks,S - Sale+OE,$11.02,-1738,139935,-1%,"-$19,153",,,,,MCRB
25,A,2018-01-30 20:54:43,2017-12-19,MCRB,Aunins John G.,See Remarks,S - Sale,$10.14,-1623,195502,-1%,"-$16,457",,,,,MCRB
26,D,2017-12-20 16:56:45,2017-12-19,MCRB,Aunins John G.,"CTO, EVP",S - Sale+OE,$10.14,-1623,59437,-3%,"-$16,457",,,,,MCRB
