,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-11-03 17:53:18,2021-11-01,MCRI,Farahi David-Jacques,former COO,S - Sale,$72.11,-18734,0,-100%,"-$1,350,865",,,,,MCRI
1,DM,2021-05-18 17:36:56,2021-05-17,MCRI,Farahi David-Jacques,COO,S - Sale+OE,$71.21,-51700,15807,-77%,"-$3,681,381",,,,,MCRI
2,D,2021-05-07 15:39:52,2021-05-05,MCRI,Farahi David-Jacques,COO,S - Sale+OE,$73.18,-17346,60450,-22%,"-$1,269,450",,,,,MCRI
3,D,2020-06-02 20:32:07,2020-05-27,MCRI,Farahi Bob,Pres,S - Sale+OE,$40.65,-16994,1124049,-1%,"-$690,806",,,,,MCRI
4,D,2020-03-26 06:57:38,2020-03-16,MCRI,Farahi Bob,Pres,P - Purchase,$20.11,"+5,000",1367891,0%,"+$100,550",,,,,MCRI
5,D,2019-09-13 15:57:33,2019-09-11,MCRI,Farahi Bob,Pres,S - Sale+OE,$45.08,-24340,1349692,-2%,"-$1,097,247",,,,,MCRI
6,DM,2018-09-10 20:14:02,2018-09-06,MCRI,Farahi Bob,Pres,P - Purchase,$44.84,"+8,000",1389034,+1%,"+$358,691",,,,,MCRI
7,DM,2018-03-30 15:32:48,2017-11-30,MCRI,Farahi John,"CEO, 10%",S - Sale+OE,$46.27,-25000,1764555,-1%,"-$1,156,640",,,,,MCRI
8,DM,2018-03-29 20:14:08,2017-06-08,MCRI,Sullivan Craig F,Dir,S - Sale+OE,$35.88,-7883,0,-100%,"-$282,818",,,,,MCRI
9,D,2017-12-19 12:22:18,2017-12-15,MCRI,Farahi Bob,Pres,S - Sale+OE,$46.13,-12242,1725774,-1%,"-$564,723",,,,,MCRI
