,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-09 16:59:44,2021-11-08,MERC,Kellogg Peter R,10%,P - Purchase,$10.47,"+37,140",23200000,0%,"+$388,856",,,,,MERC
1,M,2021-11-08 16:20:40,2021-11-04,MERC,Kellogg Peter R,10%,P - Purchase,$10.44,"+162,860",23162860,+1%,"+$1,699,972",,,,,MERC
2,,2021-05-18 17:49:56,2021-05-13,MERC,Heine Eric Xavier,"VP,Sales,Marketing, Logistics",S - Sale,$15.46,-7000,67118,-9%,"-$108,220",,,,,MERC
3,,2021-03-19 12:25:42,2021-03-17,MERC,Ridder Wolfram,Dir,S - Sale,$15.02,-10000,63321,-14%,"-$150,200",,,,,MERC
4,,2021-03-18 19:26:53,2021-03-17,MERC,Laberge Alice,Dir,P - Purchase,$15.00,"+1,000",1000,New,"+$15,000",,,,,MERC
5,,2020-11-06 13:07:30,2020-11-05,MERC,Wallace Alan C.,Dir,P - Purchase,$6.74,"+6,000",34225,+21%,"+$40,440",,,,,MERC
6,,2020-03-16 17:04:11,2020-03-13,MERC,Ridder Wolfram,VP Business Development,P - Purchase,$7.52,"+10,000",70167,+17%,"+$75,205",,,,,MERC
7,,2020-02-19 19:34:19,2020-02-19,MERC,Wallace Alan C.,Dir,P - Purchase,$10.52,"+8,000",17075,+88%,"+$84,160",,,,,MERC
8,,2019-08-26 16:28:17,2019-08-23,MERC,Morfitt Martha A M,Dir,P - Purchase,$11.00,"+10,000",24075,+71%,"+$110,000",,,,,MERC
9,,2018-08-01 13:26:13,2018-07-31,MERC,Shepherd James,Dir,S - Sale,$17.75,-4800,30840,-13%,"-$85,200",,,,,MERC
10,,2018-05-22 17:18:52,2018-05-21,MERC,Lauritzen Eric,Dir,S - Sale,$15.93,-11200,38085,-23%,"-$178,416",,,,,MERC
11,,2018-04-24 17:04:54,2018-04-20,MERC,Lauritzen Eric,Dir,S - Sale,$13.70,-1400,49285,-3%,"-$19,183",,,,,MERC
12,,2018-03-22 17:46:32,2018-03-20,MERC,Lauritzen Eric,Dir,S - Sale,$13.04,-1400,50685,-3%,"-$18,251",,,,,MERC
13,,2018-03-19 18:58:46,2018-03-16,MERC,Orr Nancy,Dir,S - Sale,$12.90,-1400,17483,-7%,"-$18,060",,,,,MERC
14,,2018-03-16 14:26:39,2018-03-14,MERC,Orr Nancy,Dir,S - Sale,$12.89,-2200,18883,-10%,"-$28,355",,,,,MERC
15,,2018-02-15 13:22:35,2018-02-14,MERC,Gandossi David M,CEO,S - Sale,$12.79,-12000,115714,-9%,"-$153,533",,,,,MERC
16,,2018-02-07 19:00:14,2018-02-07,MERC,Gandossi David M,CEO,S - Sale,$12.84,-12000,127714,-9%,"-$154,064",,,,,MERC
17,,2018-01-31 20:12:42,2018-01-31,MERC,Gandossi David M,CEO,S - Sale,$14.67,-12000,139714,-8%,"-$176,003",,,,,MERC
18,,2018-01-24 17:45:35,2018-01-24,MERC,Gandossi David M,CEO,S - Sale,$14.50,-12000,151714,-7%,"-$173,980",,,,,MERC
19,,2018-01-23 16:56:53,2018-01-22,MERC,Lauritzen Eric,Dir,S - Sale,$14.68,-2100,53485,-4%,"-$30,828",,,,,MERC
20,M,2018-01-18 16:56:21,2018-01-16,MERC,Lee Jimmy S H,Exec COB,S - Sale,$14.46,-25000,1715548,-1%,"-$361,571",,,,,MERC
21,,2018-01-17 19:33:58,2018-01-17,MERC,Gandossi David M,CEO,S - Sale,$14.36,-12000,163714,-7%,"-$172,327",,,,,MERC
22,,2018-01-10 17:54:22,2018-01-10,MERC,Gandossi David M,CEO,S - Sale,$14.19,-12000,175714,-6%,"-$170,338",,,,,MERC
23,M,2018-01-10 17:06:09,2018-01-08,MERC,Lee Jimmy S H,Exec COB,S - Sale,$14.20,-25000,1740548,-1%,"-$355,092",,,,,MERC
24,M,2018-01-08 16:59:37,2017-12-29,MERC,Kellogg Peter R,10%,P - Purchase,$14.25,"+10,000",23000000,0%,"+$142,549",,,,,MERC
25,M,2018-01-04 16:53:53,2018-01-02,MERC,Lee Jimmy S H,Exec COB,S - Sale,$14.26,-25000,1765548,-1%,"-$356,425",,,,,MERC
26,,2018-01-03 19:52:28,2018-01-03,MERC,Gandossi David M,CEO,S - Sale,$14.31,-12000,187714,-6%,"-$171,673",,,,,MERC
27,M,2017-12-29 17:47:46,2017-12-27,MERC,Lee Jimmy S H,Exec COB,S - Sale,$14.30,-25000,1790548,-1%,"-$357,537",,,,,MERC
28,M,2017-12-29 16:00:19,2017-12-27,MERC,Kellogg Peter R,10%,P - Purchase,$14.43,"+40,000",22990000,0%,"+$577,176",,,,,MERC
29,,2017-12-27 15:42:53,2017-12-27,MERC,Gandossi David M,CEO,S - Sale,$14.26,-12000,199714,-6%,"-$171,162",,,,,MERC
30,M,2017-12-27 08:00:15,2017-12-22,MERC,Kellogg Peter R,10%,P - Purchase,$14.13,"+40,000",22930000,0%,"+$565,340",,,,,MERC
31,M,2017-12-22 16:07:39,2017-12-20,MERC,Lee Jimmy S H,Exec COB,S - Sale,$13.93,-25000,1815548,-1%,"-$348,284",,,,,MERC
32,,2017-12-22 16:01:03,2017-12-21,MERC,Kellogg Peter R,10%,P - Purchase,$13.98,"+20,000",22910000,0%,"+$279,540",,,,,MERC
33,,2017-12-20 18:25:03,2017-12-20,MERC,Gandossi David M,CEO,S - Sale,$13.83,-12000,211714,-5%,"-$165,902",,,,,MERC
34,,2017-12-20 16:00:21,2017-12-18,MERC,Kellogg Peter R,10%,P - Purchase,$13.08,"+10,514",22890000,0%,"+$137,569",,,,,MERC
