,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-29 10:01:15,2021-11-24,OFLX,Albino Mark F,Pres,S - Sale,$136.04,-23,309614,0%,"-$3,129",,,,,OFLX
1,,2021-11-24 09:47:30,2021-11-23,OFLX,Albino Mark F,Pres,S - Sale,$136.44,-578,309637,0%,"-$78,863",,,,,OFLX
2,,2021-11-23 11:46:02,2021-11-22,OFLX,Albino Mark F,"Pres, COO",S - Sale,$137.92,-7450,310215,-2%,"-$1,027,528",,,,,OFLX
3,,2021-11-22 15:38:17,2021-11-19,OFLX,Albino Mark F,Pres,S - Sale,$138.35,-1261,317665,0%,"-$174,456",,,,,OFLX
4,,2021-11-22 12:32:33,2021-11-19,OFLX,Albino Mark F,Pres,S - Sale,$138.26,-4910,318926,-2%,"-$678,844",,,,,OFLX
5,,2021-11-22 11:01:15,2021-11-18,OFLX,Albino Mark F,Pres,S - Sale,$139.08,-7913,323836,-2%,"-$1,100,557",,,,,OFLX
6,,2021-11-22 10:14:14,2021-11-18,OFLX,Albino Mark F,Pres,S - Sale,$139.02,-2551,331749,-1%,"-$354,633",,,,,OFLX
7,,2021-11-18 11:38:58,2021-11-17,OFLX,Albino Mark F,Pres,S - Sale,$140.31,-1153,334300,0%,"-$161,777",,,,,OFLX
8,M,2021-11-12 12:30:57,2021-11-09,OFLX,Albino Mark F,Pres,S - Sale,$137.94,-1976,335453,-1%,"-$272,578",,,,,OFLX
9,,2021-11-12 11:02:10,2021-11-09,OFLX,Albino Mark F,Pres,S - Sale,$142.96,-2059,337429,-1%,"-$294,349",,,,,OFLX
10,,2021-11-10 16:29:04,2021-11-09,OFLX,Albino Mark F,Pres,S - Sale,$140.29,-6174,340488,-2%,"-$866,162",,,,,OFLX
11,,2021-03-26 11:30:41,2021-03-26,OFLX,Reed Stewart B,"Dir, 10%",S - Sale,$145.00,-34483,5717695,-1%,"-$5,000,035",,,,,OFLX
12,,2021-03-26 11:10:30,2021-03-26,OFLX,Hoben Kevin R,"COB, CEO",S - Sale,$145.00,-34483,942821,-4%,"-$5,000,035",,,,,OFLX
13,,2021-03-26 11:03:15,2021-03-26,OFLX,Albino Mark F,"Pres, COO",S - Sale,$145.00,-34483,346662,-9%,"-$5,000,035",,,,,OFLX
14,,2021-03-16 12:09:39,2021-03-12,OFLX,Reed Stewart B,"Dir, 10%",S - Sale,$151.00,-25000,5752178,0%,"-$3,775,000",,,,,OFLX
15,,2021-03-16 11:58:04,2021-03-12,OFLX,Hoben Kevin R,"COB, CEO",S - Sale,$151.00,-25000,977304,-2%,"-$3,775,000",,,,,OFLX
16,,2021-03-16 11:50:50,2021-03-12,OFLX,Albino Mark F,"Pres, COO",S - Sale,$151.00,-25000,381145,-6%,"-$3,775,000",,,,,OFLX
17,,2020-11-12 09:45:19,2020-11-10,OFLX,Glanvill Derek,Dir,S - Sale,$154.54,-172,0,-100%,"-$26,580",,,,,OFLX
18,,2020-11-12 09:23:04,2020-11-10,OFLX,Glanvill Derek,Dir,S - Sale,$152.49,-1177,172,-87%,"-$179,476",,,,,OFLX
19,,2020-11-10 14:16:09,2020-11-09,OFLX,Glanvill Derek,Dir,S - Sale,$150.42,-742,1349,-35%,"-$111,609",,,,,OFLX
20,,2020-11-10 13:40:12,2020-11-09,OFLX,Glanvill Derek,Dir,S - Sale,$148.98,-1409,2091,-40%,"-$209,918",,,,,OFLX
