,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,ADM,2021-11-15 09:18:10,2021-11-11,OPRT,Coblentz Jonathan Aaron,"CFO, Chief Admin Officer",S - Sale+OE,$27.50,-10400,180910,-5%,"-$286,000",,,,,OPRT
1,D,2021-11-15 06:12:27,2021-11-11,OPRT,Coblentz Jonathan Aaron,"CFO, Chief Admin Officer",S - Sale+OE,$27.50,-10400,180910,-5%,"-$286,000",,,,,OPRT
2,,2021-09-27 17:04:11,2021-09-24,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale,$25.00,-3805,133258,-3%,"-$95,125",,,,,OPRT
3,,2021-09-14 17:46:04,2021-09-10,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale,$24.63,-2000,137063,-1%,"-$49,260",,,,,OPRT
4,D,2021-08-31 18:04:24,2021-08-31,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale+OE,$24.80,-2000,144942,-1%,"-$49,600",,,,,OPRT
5,DM,2021-08-31 17:52:50,2021-08-27,OPRT,Coblentz Jonathan Aaron,"CFO, Chief Admin Officer",S - Sale+OE,$25.50,-10400,186261,-5%,"-$265,200",,,,,OPRT
6,D,2021-08-10 17:55:12,2021-08-06,OPRT,Coblentz Jonathan Aaron,"CFO, Chief Admin Officer",S - Sale+OE,$25.00,-10400,181525,-5%,"-$260,000",,,,,OPRT
7,,2021-08-06 17:09:44,2021-08-05,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale,$22.00,-5000,138539,-3%,"-$110,000",,,,,OPRT
8,,2021-05-05 18:18:40,2021-03-03,OPRT,Greylock Xii Gp LLC,10%,S - Sale,$16.90,-266000,2618708,-9%,"-$4,495,400",,,,,OPRT
9,,2021-03-25 19:44:17,2021-03-25,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale,$19.75,-2500,143539,-2%,"-$49,375",,,,,OPRT
10,,2020-11-25 19:08:56,2020-11-25,OPRT,Needham David Anthony,CTO,S - Sale,$17.98,-21000,27174,-44%,"-$377,475",,,,,OPRT
11,,2020-11-25 16:45:07,2020-11-24,OPRT,Kirscht Patrick,Chief Credit Officer,S - Sale,$18.00,-8229,105171,-7%,"-$148,122",,,,,OPRT
