,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-01 20:00:46,2021-08-30,PAHC,Corcoran E Thomas,Dir,P - Purchase,$23.68,"+5,000",20000,+33%,"+$118,400",,,,,PAHC
1,D,2021-02-10 20:01:02,2021-02-09,PAHC,Miller Larry Lee,COO,S - Sale+OE,$22.94,-20000,30000,-40%,"-$458,812",,,,,PAHC
2,,2019-09-04 21:53:04,2019-08-30,PAHC,Corcoran E Thomas,Dir,P - Purchase,$21.21,"+5,000",15000,+50%,"+$106,050",,,,,PAHC
3,DM,2019-01-30 21:07:39,2019-01-28,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$31.34,-9780,0,-100%,"-$306,478",,,,,PAHC
4,DM,2019-01-24 21:04:10,2019-01-22,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$31.63,-7500,0,-100%,"-$237,254",,,,,PAHC
5,DM,2019-01-18 21:00:15,2019-01-16,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$32.23,-7500,0,-100%,"-$241,700",,,,,PAHC
6,D,2019-01-17 21:13:14,2019-01-15,PAHC,Warras Dean J,"Pres Animal Health, Nutr N.A.",S - Sale+OE,$31.81,-21560,0,-100%,"-$685,824",,,,,PAHC
7,DM,2019-01-10 21:14:23,2019-01-08,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$32.43,-5000,0,-100%,"-$162,125",,,,,PAHC
8,DM,2019-01-07 20:08:36,2019-01-03,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$31.74,-7500,0,-100%,"-$238,075",,,,,PAHC
9,D,2018-11-05 21:07:48,2018-11-01,PAHC,Warras Dean J,"Pres Animal Health, Nutr N.A.",S - Sale+OE,$42.84,-10000,0,-100%,"-$428,414",,,,,PAHC
10,D,2018-09-14 21:04:41,2018-09-12,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$45.04,-520,59480,-1%,"-$23,421",,,,,PAHC
11,D,2018-09-14 21:04:11,2018-09-12,PAHC,Bendheim Daniel M,"EVP, Corporate Strategy",S - Sale+OE,$44.30,-2500,0,-100%,"-$110,750",,,,,PAHC
12,D,2018-09-14 21:03:48,2018-09-12,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$45.04,-520,59480,-1%,"-$23,421",,,,,PAHC
13,DM,2018-09-06 21:26:27,2018-09-05,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$47.14,-20000,30000,-40%,"-$942,718",,,,,PAHC
14,DM,2018-09-06 21:24:47,2018-09-05,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$47.14,-20000,30000,-40%,"-$942,718",,,,,PAHC
15,DM,2018-08-23 21:18:38,2018-08-21,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$50.04,-30000,30000,-50%,"-$1,501,100",,,,,PAHC
16,DM,2018-08-23 21:18:10,2018-08-21,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$50.04,-30000,30000,-50%,"-$1,501,100",,,,,PAHC
17,DM,2018-08-15 21:11:13,2018-08-13,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$49.75,-30000,30000,-50%,"-$1,492,600",,,,,PAHC
18,DM,2018-08-15 21:09:52,2018-08-13,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$49.75,-30000,30000,-50%,"-$1,492,600",,,,,PAHC
19,DM,2018-08-08 21:11:06,2018-08-06,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$50.20,-30000,0,-100%,"-$1,505,955",,,,,PAHC
20,DM,2018-08-08 21:09:49,2018-08-06,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$50.20,-30000,0,-100%,"-$1,505,955",,,,,PAHC
21,M,2018-07-27 21:10:04,2018-07-25,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale,$47.35,-12000,18000,-40%,"-$568,200",,,,,PAHC
22,M,2018-07-27 21:09:39,2018-07-25,PAHC,"Bfi Co., LLC",10%,S - Sale,$47.35,-12000,18000,-40%,"-$568,200",,,,,PAHC
23,DM,2018-07-19 21:02:04,2018-07-17,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$47.92,-17470,30000,-37%,"-$837,134",,,,,PAHC
24,DM,2018-07-19 21:01:02,2018-07-17,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$47.92,-17470,30000,-37%,"-$837,134",,,,,PAHC
25,DM,2018-07-11 20:14:09,2018-07-09,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$46.89,-30000,30000,-50%,"-$1,406,600",,,,,PAHC
26,DM,2018-07-11 20:11:28,2018-07-09,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$46.89,-30000,30000,-50%,"-$1,406,600",,,,,PAHC
27,D,2018-07-05 18:09:49,2018-07-02,PAHC,Warras Dean J,"Pres Animal Health, Nutr N.A.",S - Sale+OE,$46.39,-10000,0,-100%,"-$463,850",,,,,PAHC
28,DM,2018-06-29 21:14:17,2018-06-27,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$45.66,-30000,30000,-50%,"-$1,369,800",,,,,PAHC
29,DM,2018-06-29 21:13:42,2018-06-27,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$45.66,-30000,30000,-50%,"-$1,369,800",,,,,PAHC
30,DM,2018-06-21 21:06:14,2018-06-19,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$47.56,-30000,30000,-50%,"-$1,426,745",,,,,PAHC
31,DM,2018-06-21 21:05:35,2018-06-19,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$47.56,-30000,30000,-50%,"-$1,426,745",,,,,PAHC
32,DM,2018-06-13 21:09:52,2018-06-11,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$46.44,-30000,30000,-50%,"-$1,393,200",,,,,PAHC
33,DM,2018-06-13 21:06:47,2018-06-11,PAHC,"Bfi Co., LLC",10%,S - Sale+OE,$46.44,-30000,30000,-50%,"-$1,393,200",,,,,PAHC
34,M,2018-06-07 21:09:24,2018-06-05,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale,$46.06,-30000,27470,-52%,"-$1,381,650",,,,,PAHC
35,M,2018-06-07 21:08:45,2018-06-05,PAHC,"Bfi Co., LLC",10%,S - Sale,$46.06,-30000,27470,-52%,"-$1,381,650",,,,,PAHC
36,ADM,2018-05-29 21:12:32,2018-05-23,PAHC,Bendheim Jack,"Pres, CEO, 10%",S - Sale+OE,$45.09,-2600,57470,-4%,"-$117,239",,,,,PAHC
