,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-13 17:20:36,2021-12-09,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$22.50,-131,397387,0%,"-$2,948",,,,,PCVX
1,D,2021-11-23 17:10:08,2021-11-19,PCVX,Pickering Grant,CEO,S - Sale+OE,$23.45,-15000,935914,-2%,"-$351,710",,,,,PCVX
2,D,2021-11-22 16:58:17,2021-11-18,PCVX,Guggenhime Andrew,"Pres, CFO",S - Sale+OE,$24.53,-3100,3125,-50%,"-$76,031",,,,,PCVX
3,,2021-11-03 17:55:01,2021-11-01,PCVX,Sauer Paul,"SVP Process Dev, Manufacturing",S - Sale,$25.00,-3000,33125,-8%,"-$75,000",,,,,PCVX
4,D,2021-10-28 18:00:32,2021-10-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$22.69,-4750,396371,-1%,"-$107,778",,,,,PCVX
5,D,2021-10-22 16:46:35,2021-10-20,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.58,-15000,935914,-2%,"-$338,756",,,,,PCVX
6,D,2021-09-29 19:52:21,2021-09-27,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$26.17,-4750,396371,-1%,"-$124,303",,,,,PCVX
7,,2021-09-24 17:04:48,2021-09-22,PCVX,Sauer Paul,"SVP Process Dev, Manufacturing",S - Sale,$25.20,-5307,36125,-13%,"-$133,724",,,,,PCVX
8,DM,2021-09-23 17:40:03,2021-09-21,PCVX,Pickering Grant,CEO,S - Sale+OE,$25.22,-15000,935914,-2%,"-$378,225",,,,,PCVX
9,D,2021-08-30 18:06:58,2021-08-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$25.38,-4750,396371,-1%,"-$120,543",,,,,PCVX
10,D,2021-08-25 18:11:00,2021-08-23,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.73,-13669,935914,-1%,"-$310,722",,,,,PCVX
11,D,2021-08-20 16:19:41,2021-08-19,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.40,-1331,935914,0%,"-$29,810",,,,,PCVX
12,D,2021-08-18 18:02:03,2021-08-16,PCVX,Wright-Mitchell Jane,GC,S - Sale+OE,$26.00,-2500,3125,-44%,"-$65,000",,,,,PCVX
13,D,2021-08-16 16:31:24,2021-08-12,PCVX,Wright-Mitchell Jane,GC,S - Sale+OE,$26.00,-10000,3125,-76%,"-$260,000",,,,,PCVX
14,D,2021-07-28 16:32:26,2021-07-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$22.70,-4750,396371,-1%,"-$107,825",,,,,PCVX
15,D,2021-07-22 16:58:47,2021-07-20,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.85,-15000,935914,-2%,"-$342,686",,,,,PCVX
16,D,2021-06-30 17:41:35,2021-06-28,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$24.37,-4750,396371,-1%,"-$115,770",,,,,PCVX
17,D,2021-06-28 17:01:28,2021-06-24,PCVX,Pickering Grant,CEO,S - Sale+OE,$23.09,-13863,935914,-1%,"-$320,123",,,,,PCVX
18,DM,2021-06-23 16:56:38,2021-06-21,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.05,-1137,935914,0%,"-$25,067",,,,,PCVX
19,D,2021-06-09 16:53:58,2021-06-07,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$22.50,-9500,396371,-2%,"-$213,750",,,,,PCVX
20,DM,2021-06-07 19:00:19,2021-06-03,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.13,-15098,935914,-2%,"-$334,060",,,,,PCVX
21,DM,2021-05-28 20:18:25,2021-05-27,PCVX,Pickering Grant,CEO,S - Sale+OE,$22.11,-14902,935914,-2%,"-$329,494",,,,,PCVX
22,D,2021-03-29 19:18:35,2021-03-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$23.88,-4750,392635,-1%,"-$113,433",,,,,PCVX
23,D,2021-03-23 20:49:43,2021-03-19,PCVX,Pickering Grant,"Pres, CEO",S - Sale+OE,$25.77,-15000,934351,-2%,"-$386,550",,,,,PCVX
24,D,2021-03-17 16:55:59,2021-03-15,PCVX,Wright-Mitchell Jane,GC,S - Sale+OE,$27.30,-2500,1562,-62%,"-$68,239",,,,,PCVX
25,D,2021-03-15 16:29:25,2021-03-11,PCVX,Sauer Paul,"SVP Process Dev, Manufacturing",S - Sale+OE,$25.00,-2500,77899,-3%,"-$62,500",,,,,PCVX
26,D,2021-03-02 17:37:55,2021-02-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$23.93,-4750,392635,-1%,"-$113,663",,,,,PCVX
27,D,2021-02-24 16:25:59,2021-02-22,PCVX,Wassil Jim,COO,S - Sale+OE,$26.77,-3000,16381,-15%,"-$80,299",,,,,PCVX
28,D,2021-02-24 16:23:09,2021-02-22,PCVX,Pickering Grant,"Pres, CEO",S - Sale+OE,$26.47,-15000,934351,-2%,"-$397,036",,,,,PCVX
29,D,2021-02-17 16:55:29,2021-02-16,PCVX,Wright-Mitchell Jane,GC,S - Sale+OE,$26.95,-2500,1562,-62%,"-$67,375",,,,,PCVX
30,D,2021-02-16 19:46:05,2021-02-11,PCVX,Sauer Paul,"SVP Process Dev, Manufacturing",S - Sale+OE,$26.65,-2500,77899,-3%,"-$66,624",,,,,PCVX
31,M,2021-02-10 19:22:24,2021-02-08,PCVX,Hopfner Robert Lorne,Dir,S - Sale,$27.34,-378698,1405418,-21%,"-$10,355,466",,,,,PCVX
32,M,2021-02-04 20:51:32,2021-02-02,PCVX,Hopfner Robert Lorne,Dir,S - Sale,$25.12,-17002,1784116,-1%,"-$427,067",,,,,PCVX
33,,2021-02-02 12:17:11,2021-01-28,PCVX,Hopfner Robert Lorne,Dir,S - Sale,$25.07,-2000,1801118,0%,"-$50,140",,,,,PCVX
34,D,2021-01-28 16:36:58,2021-01-26,PCVX,Fairman Jeff,"VP, Research",S - Sale+OE,$25.27,-4750,392635,-1%,"-$120,015",,,,,PCVX
35,M,2021-01-27 18:02:17,2021-01-25,PCVX,Hopfner Robert Lorne,Dir,S - Sale,$25.62,-55254,1803118,-3%,"-$1,415,845",,,,,PCVX
