,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-10 09:01:20,2021-11-09,PEBO,Vittorio Michael N,Dir,P - Purchase,$32.80,"+1,000",3012,+50%,"+$32,802",,,,,PEBO
1,,2021-08-16 14:51:15,2021-08-16,PEBO,Vittorio Michael N,Dir,P - Purchase,$31.34,"+1,000",1824,+121%,"+$31,339",,,,,PEBO
2,,2021-08-12 16:12:30,2021-08-12,PEBO,Skinner Frances A,Dir,P - Purchase,$31.28,+100,1818,+6%,"+$3,128",,,,,PEBO
3,,2021-08-10 08:48:27,2021-08-09,PEBO,Skinner Frances A,Dir,P - Purchase,$30.53,+100,1718,+6%,"+$3,053",,,,,PEBO
4,,2021-08-05 16:42:45,2021-08-05,PEBO,Skinner Frances A,Dir,P - Purchase,$29.50,+100,1618,+7%,"+$2,950",,,,,PEBO
5,M,2021-08-03 13:19:20,2021-07-26,PEBO,Skinner Frances A,Dir,P - Purchase,$28.93,"+1,300",1518,+596%,"+$37,608",,,,,PEBO
6,M,2021-04-30 15:50:11,2021-04-29,PEBO,Broughton George W,Dir,S - Sale,$33.21,-4210,120843,-3%,"-$139,796",,,,,PEBO
7,,2021-04-28 09:07:54,2021-04-23,PEBO,Mead David L,Dir,S - Sale,$33.86,-2902,13404,-18%,"-$98,262",,,,,PEBO
8,,2021-04-26 13:49:18,2021-04-23,PEBO,Kirkham Michael Ryan,"EVP, GC",S - Sale,$33.79,-828,5337,-13%,"-$27,978",,,,,PEBO
9,,2021-04-23 11:01:55,2021-04-22,PEBO,Broughton George W,Dir,S - Sale,$33.78,-5790,125053,-4%,"-$195,609",,,,,PEBO
10,,2020-11-16 16:24:02,2020-11-16,PEBO,Mead David L,Dir,S - Sale,$25.98,-1000,15394,-6%,"-$25,982",,,,,PEBO
11,,2019-11-26 15:35:34,2019-11-25,PEBO,Rogers John C.,CFO,S - Sale,$32.80,-1080,15160,-7%,"-$35,427",,,,,PEBO
12,,2019-11-25 15:21:20,2019-11-22,PEBO,Rogers John C.,CFO,S - Sale,$32.57,-377,16240,-2%,"-$12,277",,,,,PEBO
13,,2019-11-14 16:10:40,2019-11-14,PEBO,Sulerzyski Charles W,"Pres, CEO",S - Sale,$32.70,-5649,48524,-10%,"-$184,722",,,,,PEBO
14,,2019-11-14 14:00:51,2019-11-13,PEBO,Sulerzyski Charles W,"Pres, CEO",S - Sale,$32.70,-4351,54173,-7%,"-$142,278",,,,,PEBO
15,,2019-11-13 11:47:38,2019-11-12,PEBO,Sulerzyski Charles W,"Pres, CEO",S - Sale,$32.90,-5000,58524,-8%,"-$164,500",,,,,PEBO
16,,2019-10-30 09:26:38,2019-10-29,PEBO,Broughton George W,Dir,S - Sale,$32.81,-3000,128429,-2%,"-$98,442",,,,,PEBO
17,,2019-09-12 09:34:36,2019-09-11,PEBO,Beam S Craig,Dir,S - Sale,$32.08,-714,20021,-3%,"-$22,907",,,,,PEBO
18,,2019-09-11 10:12:16,2019-09-10,PEBO,Beam S Craig,Dir,S - Sale,$32.00,-286,20735,-1%,"-$9,153",,,,,PEBO
19,,2019-07-29 16:00:51,2019-07-29,PEBO,Broughton George W,Dir,S - Sale,$32.34,-6072,131253,-4%,"-$196,368",,,,,PEBO
20,,2019-05-22 10:21:22,2019-05-21,PEBO,Rector Susan D.,Dir,P - Purchase,$32.89,+366,15768,+2%,"+$12,038",,,,,PEBO
21,,2019-05-21 16:06:44,2019-05-17,PEBO,Sulerzyski Charles W,"Pres, CEO",S - Sale,$31.90,-143,63157,0%,"-$4,562",,,,,PEBO
22,,2019-05-21 16:03:56,2019-05-16,PEBO,Sulerzyski Charles W,"Pres, CEO",S - Sale,$31.92,-5857,63300,-8%,"-$186,944",,,,,PEBO
23,,2019-05-01 16:30:28,2019-05-01,PEBO,Broughton George W,Dir,S - Sale,$32.48,-173,137152,0%,"-$5,619",,,,,PEBO
24,M,2019-05-01 12:14:10,2019-04-29,PEBO,Broughton George W,Dir,S - Sale,$32.40,-10011,137325,-7%,"-$324,382",,,,,PEBO
25,,2019-04-29 11:43:04,2019-04-26,PEBO,Broughton George W,Dir,S - Sale,$31.94,-2000,147336,-1%,"-$63,879",,,,,PEBO
26,,2019-01-30 15:11:01,2019-01-29,PEBO,Broughton George W,Dir,S - Sale,$31.97,-1000,148756,-1%,"-$31,974",,,,,PEBO
27,,2019-01-28 16:33:04,2019-01-28,PEBO,Broughton George W,Dir,S - Sale,$32.33,-1000,149756,-1%,"-$32,326",,,,,PEBO
28,,2019-01-28 12:25:03,2019-01-25,PEBO,Broughton George W,Dir,S - Sale,$32.65,-2000,150756,-1%,"-$65,306",,,,,PEBO
29,,2018-12-07 09:02:56,2018-12-06,PEBO,Beam S Craig,Dir,P - Purchase,$31.83,+65,20082,0%,"+$2,069",,,,,PEBO
30,,2018-11-05 16:14:18,2018-11-01,PEBO,Broughton George W,Dir,S - Sale,$34.13,-4296,156936,-3%,"-$146,622",,,,,PEBO
31,,2018-11-05 16:13:35,2018-11-02,PEBO,Broughton George W,Dir,S - Sale,$34.07,-4366,152570,-3%,"-$148,734",,,,,PEBO
32,,2018-03-01 14:54:28,2018-02-27,PEBO,Broughton George W,Dir,S - Sale,$35.26,-1000,160750,-1%,"-$35,264",,,,,PEBO
33,,2018-01-31 09:42:14,2017-12-04,PEBO,Sweet Terry Thomas,Dir,P - Purchase,$33.97,"+2,000",5767,+53%,"+$67,931",,,,,PEBO
