,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 16:27:24,2021-12-17,PETQ,Sholtis Susan,Pres,P - Purchase,$20.85,"+4,750",9050,+110%,"+$99,038",,,,,PETQ
1,,2021-12-16 16:05:17,2021-12-14,PETQ,Herrman Robert Michael,"GC, Secretary",P - Purchase,$21.51,"+2,333",5061,+86%,"+$50,183",,,,,PETQ
2,,2021-12-16 16:05:12,2021-12-14,PETQ,Smith Michael A,EVP - Products,P - Purchase,$21.40,"+10,000",14000,+250%,"+$214,000",,,,,PETQ
3,AD,2021-12-03 08:29:00,2021-12-01,PETQ,Christensen McCord,CEO,P - Purchase,$20.09,"+50,000",57015,+713%,"+$1,004,500",,,,,PETQ
4,,2021-12-02 17:10:54,2021-12-01,PETQ,Christensen McCord,CEO,P - Purchase,$20.09,"+50,000",57015,+713%,"+$1,004,500",,,,,PETQ
5,A,2021-11-18 16:05:16,2021-11-11,PETQ,Smith Michael A,EVP - Products,P - Purchase,$22.62,"+4,000",4000,New,"+$90,480",,,,,PETQ
6,,2021-11-15 17:59:37,2021-11-11,PETQ,Smith Michael A,EVP - Products,P - Purchase,$22.62,"+4,000",4000,New,"+$90,480",,,,,PETQ
7,,2021-07-23 17:39:07,2021-07-21,PETQ,Newland John,CFO,S - Sale,$36.69,-4500,58682,-7%,"-$165,105",,,,,PETQ
8,,2021-06-21 17:14:38,2021-06-21,PETQ,Newland John,CFO,S - Sale,$40.00,-4500,63182,-7%,"-$180,000",,,,,PETQ
9,DM,2021-06-14 18:22:56,2021-06-10,PETQ,Smith Michael A,EVP - Products,S - Sale+OE,$39.57,-16134,0,-100%,"-$638,496",,,,,PETQ
10,M,2021-06-14 18:13:34,2021-06-10,PETQ,Kennedy Ronald,Dir,S - Sale,$39.43,-30000,88254,-25%,"-$1,183,000",,,,,PETQ
11,,2021-06-09 18:23:37,2021-06-09,PETQ,Kennedy Ronald,Dir,S - Sale,$38.71,-10000,118254,-8%,"-$387,100",,,,,PETQ
