,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-22 19:52:43,2021-06-18,PLRX,Lefebvre Eric,Chief Medical Officer,S - Sale,$28.87,-12500,137080,-8%,"-$360,821",,,,,PLRX
1,,2021-06-15 20:03:58,2021-06-14,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$33.03,-4000,504157,-1%,"-$132,102",,,,,PLRX
2,,2021-05-17 19:34:41,2021-05-14,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$28.64,-3500,508157,-1%,"-$100,224",,,,,PLRX
3,D,2021-04-15 20:05:26,2021-04-14,PLRX,Coulie Bernard,"Pres, CEO",S - Sale+OE,$30.33,-3500,511657,-1%,"-$106,161",,,,,PLRX
4,,2021-03-19 19:09:36,2021-03-18,PLRX,Lefebvre Eric,Chief Medical Officer,S - Sale,$39.41,-12500,149580,-8%,"-$492,678",,,,,PLRX
5,,2021-03-17 19:36:08,2021-03-15,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$38.52,-3500,509157,-1%,"-$134,835",,,,,PLRX
6,,2021-02-17 19:00:23,2021-02-16,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$32.67,-3500,512657,-1%,"-$114,352",,,,,PLRX
7,,2021-01-15 19:00:08,2021-01-14,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$26.38,-3500,516157,-1%,"-$92,325",,,,,PLRX
8,,2020-12-21 20:00:07,2020-12-18,PLRX,Lefebvre Eric,Chief Medical Officer,S - Sale,$26.54,-12500,162080,-7%,"-$331,752",,,,,PLRX
9,,2020-12-16 20:00:07,2020-12-14,PLRX,Coulie Bernard,"Pres, CEO",S - Sale,$27.37,-3500,519657,-1%,"-$95,790",,,,,PLRX
10,D,2020-12-02 20:00:09,2020-12-01,PLRX,Cummings Keith Lamont,CFO,S - Sale+OE,$30.00,-18734,23121,-45%,"-$562,035",,,,,PLRX
