,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-17 20:56:24,2021-12-16,PUBM,Kumar Mukul,"Pres, Engineering",S - Sale+OE,$34.82,-8300,0,-100%,"-$289,039",,,,,PUBM
1,D,2021-12-14 21:46:43,2021-12-13,PUBM,Goel Amar K.,"Chief Innovation Officer, 10%",S - Sale+OE,$36.82,-24000,0,-100%,"-$883,683",,,,,PUBM
2,D,2021-12-03 17:39:28,2021-12-02,PUBM,Goel Rajeev K.,"CEO, 10%",S - Sale+OE,$37.53,-15000,0,-100%,"-$562,991",,,,,PUBM
3,,2021-12-03 17:34:17,2021-12-02,PUBM,Chow Thomas C.,"GC, Secretary",S - Sale,$37.57,-634,0,-100%,"-$23,819",,,,,PUBM
4,DM,2021-12-03 17:30:36,2021-12-01,PUBM,Van Der Zweep Michael,Controller,S - Sale+OE,$38.72,-9421,85,-99%,"-$364,789",,,,,PUBM
5,DM,2021-12-03 17:27:14,2021-12-01,PUBM,Hirsch Jeffrey K.,Chief Commercial Officer,S - Sale+OE,$40.08,-20447,2082,-91%,"-$819,459",,,,,PUBM
6,DM,2021-12-02 17:04:03,2021-11-30,PUBM,Goel Rajeev K.,"CEO, 10%",S - Sale+OE,$41.36,-400,0,-100%,"-$16,542",,,,,PUBM
7,D,2021-12-01 19:48:09,2021-11-29,PUBM,Pantelick Steven,CFO,S - Sale+OE,$39.31,-50000,5530,-90%,"-$1,965,366",,,,,PUBM
8,D,2021-11-30 20:33:22,2021-11-26,PUBM,Chow Thomas C.,"GC, Secretary",S - Sale+OE,$37.82,-66882,0,-100%,"-$2,529,716",,,,,PUBM
9,D,2021-11-23 18:57:19,2021-11-19,PUBM,Goel Rajeev K.,"CEO, 10%",S - Sale+OE,$40.01,-200,0,-100%,"-$8,002",,,,,PUBM
10,,2021-11-19 21:29:36,2021-11-18,PUBM,Black Cathleen,Dir,S - Sale,$38.11,-18750,0,-100%,"-$714,563",,,,,PUBM
11,D,2021-11-17 19:39:21,2021-11-16,PUBM,Van Der Zweep Michael,Controller,S - Sale+OE,$36.62,-27,85,-24%,-$989,,,,,PUBM
12,D,2021-11-17 19:36:42,2021-11-15,PUBM,Goel Rajeev K.,"CEO, 10%",S - Sale+OE,$40.39,-1700,0,-100%,"-$68,669",,,,,PUBM
13,,2021-11-12 21:41:52,2021-11-10,PUBM,Hartenbaum Howard,10%,S - Sale,$39.35,-20000,409237,-5%,"-$787,002",,,,,PUBM
14,DM,2021-11-12 21:24:40,2021-11-10,PUBM,Goel Rajeev K.,"CEO, 10%",S - Sale+OE,$40.70,-27304,0,-100%,"-$1,111,146",,,,,PUBM
15,D,2021-11-12 18:07:19,2021-11-10,PUBM,Chow Thomas C.,"GC, Secretary",S - Sale+OE,$39.44,-10000,0,-100%,"-$394,431",,,,,PUBM
16,D,2021-11-12 18:04:28,2021-11-10,PUBM,Van Der Zweep Michael,Controller,S - Sale+OE,$40.13,-20365,43,-100%,"-$817,320",,,,,PUBM
17,D,2021-11-12 17:59:56,2021-11-10,PUBM,Hirsch Jeffrey K.,Chief Commercial Officer,S - Sale+OE,$39.40,-15000,2082,-88%,"-$590,990",,,,,PUBM
18,D,2021-11-12 17:56:37,2021-11-11,PUBM,Goel Amar K.,"Chief Innovation Officer, 10%",S - Sale+OE,$38.81,-174000,0,-100%,"-$6,753,210",,,,,PUBM
19,DM,2021-11-10 16:26:03,2021-11-08,PUBM,Goel Amar K.,"Chief Innovation Officer, 10%",S - Sale+OE,$30.12,-42780,0,-100%,"-$1,288,650",,,,,PUBM
