,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-15 18:22:14,2021-11-12,RBNC,Mabry William Lawson,Dir,P - Purchase,$35.41,+109,154526,0%,"+$3,857",,,,,RBNC
1,,2021-08-13 16:06:07,2021-08-12,RBNC,Mabry William Lawson,Dir,P - Purchase,$29.99,+128,154417,0%,"+$3,836",,,,,RBNC
2,M,2021-03-22 16:14:48,2020-03-02,RBNC,Vest Ruskin Alexander,Dir,P - Purchase,$19.40,"+2,000",139303,+1%,"+$38,804",,,,,RBNC
3,,2021-03-12 16:05:18,2021-03-12,RBNC,Beasley Charles Trimble,Dir,S - Sale,$26.59,-1000,19406,-5%,"-$26,589",,,,,RBNC
4,,2021-02-22 20:32:41,2021-02-19,RBNC,Mabry William Lawson,Dir,P - Purchase,$21.90,+174,153089,0%,"+$3,801",,,,,RBNC
5,,2021-02-02 13:57:34,2021-02-02,RBNC,Wallace Michael E,Dir,P - Purchase,$20.35,"+1,400",85432,+2%,"+$28,495",,,,,RBNC
6,,2021-02-01 17:20:05,2021-02-01,RBNC,Cooksey Gerald L. Jr.,CFO,P - Purchase,$19.75,+500,51389,+1%,"+$9,875",,,,,RBNC
7,,2021-01-29 15:47:45,2021-01-29,RBNC,Beasley Charles Trimble,Dir,S - Sale,$20.67,-1000,20406,-5%,"-$20,672",,,,,RBNC
8,,2020-12-16 21:01:34,2020-12-16,RBNC,York Kim,Chief Strategy Officer,P - Purchase,$19.02,"+2,620",9620,+37%,"+$49,833",,,,,RBNC
9,,2020-12-02 10:38:39,2020-12-01,RBNC,"Fitzgerald, II William M.",Chief Risk Officer,P - Purchase,$18.06,+700,8000,+10%,"+$12,642",,,,,RBNC
10,,2020-11-16 19:25:15,2020-11-13,RBNC,Mabry William Lawson,Dir,P - Purchase,$18.05,+175,152915,0%,"+$3,154",,,,,RBNC
11,,2020-10-29 21:35:08,2020-10-28,RBNC,Wallace Michael E,Dir,P - Purchase,$16.59,"+1,000",81905,+1%,"+$16,590",,,,,RBNC
12,,2020-10-29 21:19:16,2020-10-28,RBNC,Mabry William Lawson,Dir,P - Purchase,$16.69,"+2,000",152740,+1%,"+$33,390",,,,,RBNC
13,,2020-09-18 21:58:46,2020-06-02,RBNC,Mabry William Lawson,Dir,P - Purchase,$14.10,"+4,981",150529,+3%,"+$70,201",,,,,RBNC
14,,2020-09-18 21:32:03,2020-09-16,RBNC,Mabry William Lawson,Dir,P - Purchase,$14.87,+212,150740,0%,"+$3,152",,,,,RBNC
