,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-09-24 17:00:49,2021-09-22,RLMD,Casamento Charles J,Dir,S - Sale+OE,$29.00,-6600,10000,-40%,"-$191,400",,,,,RLMD
1,,2021-07-16 17:00:23,2021-07-15,RLMD,Casamento Charles J,Dir,S - Sale,$31.54,-3300,4700,-41%,"-$104,088",,,,,RLMD
2,,2021-06-02 17:00:59,2021-06-01,RLMD,Casamento Charles J,Dir,S - Sale,$33.34,-3000,6950,-30%,"-$100,020",,,,,RLMD
3,,2021-05-05 17:00:31,2021-05-03,RLMD,Casamento Charles J,Dir,S - Sale,$38.22,-3000,9950,-23%,"-$114,647",,,,,RLMD
4,,2021-04-05 16:08:46,2021-04-01,RLMD,Casamento Charles J,Dir,S - Sale,$35.43,-3000,12950,-19%,"-$106,281",,,,,RLMD
5,DM,2021-03-11 17:51:28,2021-03-09,RLMD,Traversa Sergio,CEO,S - Sale+OE,$35.48,-10000,88774,-10%,"-$354,845",,,,,RLMD
6,D,2021-03-11 17:50:30,2021-03-09,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$35.71,-5000,167295,-3%,"-$178,551",,,,,RLMD
7,DM,2021-03-10 18:18:21,2021-03-08,RLMD,Shenouda Maged,CFO,S - Sale+OE,$35.45,-10000,2228,-82%,"-$354,507",,,,,RLMD
8,,2021-03-02 16:08:00,2021-03-01,RLMD,Casamento Charles J,Dir,S - Sale,$33.87,-3000,15950,-16%,"-$101,618",,,,,RLMD
9,D,2021-02-26 16:50:58,2021-02-24,RLMD,Traversa Sergio,CEO,S - Sale+OE,$34.24,-10000,88774,-10%,"-$342,392",,,,,RLMD
10,D,2021-02-26 16:49:39,2021-02-24,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$34.19,-5000,167295,-3%,"-$170,933",,,,,RLMD
11,D,2021-02-16 17:10:17,2021-02-11,RLMD,Traversa Sergio,CEO,S - Sale+OE,$35.43,-1446,88774,-2%,"-$51,238",,,,,RLMD
12,D,2021-02-16 17:08:47,2021-02-11,RLMD,Shenouda Maged,CFO,S - Sale+OE,$35.39,-1428,2228,-39%,"-$50,542",,,,,RLMD
13,DM,2021-02-10 19:25:50,2021-02-08,RLMD,Traversa Sergio,CEO,S - Sale+OE,$35.17,-11206,88774,-11%,"-$394,085",,,,,RLMD
14,DM,2021-02-10 19:25:32,2021-02-08,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$35.18,-3569,162295,-2%,"-$125,565",,,,,RLMD
15,DM,2021-02-10 19:25:15,2021-02-08,RLMD,Shenouda Maged,CFO,S - Sale+OE,$35.17,-11372,2228,-84%,"-$399,910",,,,,RLMD
16,DM,2021-02-04 17:40:10,2021-02-02,RLMD,Traversa Sergio,CEO,S - Sale+OE,$35.07,-3278,88874,-4%,"-$114,970",,,,,RLMD
17,DM,2021-02-04 17:38:39,2021-02-02,RLMD,Shenouda Maged,CFO,S - Sale+OE,$35.04,-3200,2228,-59%,"-$112,134",,,,,RLMD
18,DM,2021-02-03 18:34:40,2021-02-01,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$35.04,-2346,162295,-1%,"-$82,203",,,,,RLMD
19,,2021-02-02 17:05:40,2021-02-01,RLMD,Casamento Charles J,Dir,S - Sale,$33.63,-3000,18950,-14%,"-$100,898",,,,,RLMD
20,D,2021-01-29 17:24:03,2021-01-27,RLMD,Shenouda Maged,CFO,S - Sale+OE,$31.93,-3000,2228,-57%,"-$95,778",,,,,RLMD
21,D,2021-01-29 17:22:28,2021-01-27,RLMD,Traversa Sergio,CEO,S - Sale+OE,$32.39,-10000,75493,-12%,"-$323,914",,,,,RLMD
22,D,2021-01-29 17:20:47,2021-01-27,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$32.46,-5000,147295,-3%,"-$162,323",,,,,RLMD
23,A,2021-01-27 06:48:25,2021-01-22,RLMD,Kelly Paul Edward,Dir,S - Sale,$35.43,-1800,149580,-1%,"-$63,774",,,,,RLMD
24,DEM,2021-01-26 19:30:34,2021-01-22,RLMD,Kelly Paul Edward,Dir,S - Sale+OE,$20.64,-4085,147295,-3%,"-$84,333",,,,,RLMD
25,DM,2021-01-26 19:29:47,2021-01-22,RLMD,Traversa Sergio,CEO,S - Sale+OE,$35.43,-4070,75493,-5%,"-$144,180",,,,,RLMD
26,DM,2021-01-26 19:28:50,2021-01-22,RLMD,Shenouda Maged,CFO,S - Sale+OE,$35.40,-4000,2228,-64%,"-$141,612",,,,,RLMD
27,,2021-01-05 16:00:10,2021-01-04,RLMD,Casamento Charles J,Dir,S - Sale,$32.11,-3000,21950,-12%,"-$96,342",,,,,RLMD
28,,2020-12-02 16:01:34,2020-12-01,RLMD,Casamento Charles J,Dir,S - Sale,$35.74,-3000,24950,-11%,"-$107,219",,,,,RLMD
29,,2020-11-03 16:03:15,2020-11-02,RLMD,Casamento Charles J,Dir,S - Sale,$30.29,-3000,49173,-6%,"-$90,864",,,,,RLMD
30,,2020-10-02 16:02:46,2020-10-01,RLMD,Casamento Charles J,Dir,S - Sale,$37.99,-3000,52173,-5%,"-$113,956",,,,,RLMD
31,,2020-09-02 16:36:41,2020-09-01,RLMD,Casamento Charles J,Dir,S - Sale,$34.74,-3000,76657,-4%,"-$104,207",,,,,RLMD
32,,2020-08-04 15:30:48,2020-08-03,RLMD,Casamento Charles J,Dir,S - Sale,$35.74,-3000,55484,-5%,"-$107,213",,,,,RLMD
33,,2020-07-02 13:26:14,2020-07-01,RLMD,Casamento Charles J,Dir,S - Sale,$43.89,-3000,58484,-5%,"-$131,677",,,,,RLMD
34,,2019-10-21 16:23:29,2019-10-21,RLMD,Shenouda Maged,Dir,P - Purchase,$23.00,+978,2228,+78%,"+$22,494",,,,,RLMD
35,,2019-10-21 16:07:46,2019-10-18,RLMD,Kelly Paul Edward,Dir,P - Purchase,$19.14,"+5,000",127121,+4%,"+$95,685",,,,,RLMD
36,D,2019-05-15 16:07:07,2019-05-14,RLMD,Kelly Paul Edward,Dir,P - Purchase,$1.50,"+100,000",488483,+26%,"+$150,000",,,,,RLMD
37,,2018-12-11 16:21:19,2018-12-11,RLMD,Kelly Paul Edward,Dir,P - Purchase,$1.21,"+5,000",388483,+1%,"+$6,065",,,,,RLMD
38,D,2018-10-19 13:02:29,2018-10-12,RLMD,Kelly Paul Edward,Dir,P - Purchase,$0.90,"+150,000",383483,+64%,"+$135,000",,,,,RLMD
