,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-05 10:51:16,2021-11-04,RRBI,Hines Barry Dale,Dir,S - Sale,$52.56,-5000,8261,-38%,"-$262,815",,,,,RRBI
1,,2021-11-05 10:28:42,2021-11-04,RRBI,Price Teddy Ray,Dir,P - Purchase,$53.00,+577,424881,0%,"+$30,581",,,,,RRBI
2,A,2021-10-07 13:07:13,2020-03-12,RRBI,Thompson Don Louis,Dir,P - Purchase,$40.63,"+4,250",8367,+103%,"+$172,678",,,,,RRBI
3,,2021-08-05 12:28:53,2021-08-04,RRBI,Price Teddy Ray,Dir,P - Purchase,$52.50,+587,424304,0%,"+$30,818",,,,,RRBI
4,,2021-06-04 12:44:35,2021-06-03,RRBI,Turner Harold W.,See Remarks,S - Sale,$54.92,-500,40500,-1%,"-$27,460",,,,,RRBI
5,,2021-05-05 16:12:53,2021-05-05,RRBI,Price Teddy Ray,Dir,P - Purchase,$56.15,+505,407217,0%,"+$28,355",,,,,RRBI
6,,2021-03-15 12:14:40,2021-03-12,RRBI,Salazar Bryon C.,See Remarks,S - Sale,$61.77,-1000,68725,-1%,"-$61,770",,,,,RRBI
7,,2021-03-15 12:09:17,2021-03-12,RRBI,Salazar Tammi R.,See Remarks,S - Sale,$61.77,-1000,68725,-1%,"-$61,770",,,,,RRBI
8,,2021-03-09 16:57:53,2021-03-09,RRBI,Cutrer Andrew Blake,SVP,S - Sale,$59.67,-350,8000,-4%,"-$20,885",,,,,RRBI
9,,2021-03-03 10:53:21,2021-03-02,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,$53.07,-300,2450,-11%,"-$15,921",,,,,RRBI
10,,2021-02-10 10:32:08,2021-02-09,RRBI,Hines Barry Dale,Dir,S - Sale,$50.00,-7500,12986,-37%,"-$375,000",,,,,RRBI
11,,2021-02-05 11:34:32,2021-02-04,RRBI,Price Teddy Ray,Dir,P - Purchase,$48.00,+708,406437,0%,"+$33,984",,,,,RRBI
12,,2020-11-25 10:01:59,2020-11-24,RRBI,Salazar Tammi R.,See Remarks,S - Sale,$49.54,-3500,70000,-5%,"-$173,390",,,,,RRBI
13,,2020-11-25 09:55:33,2020-11-24,RRBI,Salazar Bryon C.,See Remarks,S - Sale,$49.54,-3500,70000,-5%,"-$173,390",,,,,RRBI
14,M,2020-11-24 08:52:42,2020-11-20,RRBI,Triche Debbie B.,See Remarks,S - Sale,$50.00,-1000,19550,-5%,"-$50,000",,,,,RRBI
15,M,2020-11-17 12:22:10,2020-11-13,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,$50.68,-4194,163064,-3%,"-$212,556",,,,,RRBI
16,,2020-11-12 16:40:11,2020-11-11,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,$49.93,-107,167258,0%,"-$5,343",,,,,RRBI
17,,2020-11-04 14:35:45,2020-11-04,RRBI,Price Teddy Ray,Dir,P - Purchase,$47.25,+499,405729,0%,"+$23,578",,,,,RRBI
18,,2020-09-28 16:14:27,2020-09-09,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,$49.15,-3000,167365,-2%,"-$147,440",,,,,RRBI
19,,2020-08-11 08:48:47,2020-08-10,RRBI,Price Teddy Ray,Dir,P - Purchase,$41.75,"+4,790",341323,+1%,"+$199,981",,,,,RRBI
20,,2020-08-06 12:24:38,2020-08-05,RRBI,Price Teddy Ray,Dir,P - Purchase,$41.21,+577,400054,0%,"+$23,777",,,,,RRBI
21,,2020-06-12 16:44:19,2020-06-10,RRBI,Triche Debbie B.,See Remarks,S - Sale,$40.69,-1000,20200,-5%,"-$40,690",,,,,RRBI
22,,2020-06-09 16:56:34,2020-06-08,RRBI,Chatelain Ronald Blake,See Remarks,P - Purchase,$40.00,+300,158746,0%,"+$12,000",,,,,RRBI
23,,2020-05-11 10:02:37,2020-05-07,RRBI,Carriere Isabel V.,See Remarks,P - Purchase,$38.00,+260,38940,+1%,"+$9,880",,,,,RRBI
24,,2020-05-11 09:55:55,2020-05-07,RRBI,Chatelain Ronald Blake,See Remarks,P - Purchase,$38.46,+300,158446,0%,"+$11,538",,,,,RRBI
25,M,2020-05-07 14:37:49,2020-05-05,RRBI,Price Teddy Ray,Dir,P - Purchase,$38.67,"+5,753",399863,+1%,"+$222,486",,,,,RRBI
26,,2020-03-16 11:58:25,2020-03-13,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,$38.53,-300,2400,-11%,"-$11,559",,,,,RRBI
27,M,2020-03-13 14:02:10,2020-03-11,RRBI,Thompson Don Louis,Dir,P - Purchase,$40.68,"+4,500",61017,+8%,"+$183,078",,,,,RRBI
28,,2020-02-07 16:46:19,2020-02-07,RRBI,Price Teddy Ray,Dir,P - Purchase,$54.50,+500,393824,0%,"+$27,250",,,,,RRBI
29,,2019-11-27 15:46:38,2019-11-27,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,$47.73,-500,2700,-16%,"-$23,865",,,,,RRBI
30,,2019-11-27 15:46:16,2019-11-27,RRBI,Cutrer Andrew Blake,SVP,S - Sale,$48.52,-1000,8000,-11%,"-$48,520",,,,,RRBI
31,,2019-05-07 17:46:09,2019-05-07,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,$42.30,-10000,170128,-6%,"-$423,000",,,,,RRBI
32,,2019-05-07 17:45:39,2019-05-07,RRBI,Hines Barry Dale,Dir,S - Sale,$42.30,-9680,20272,-32%,"-$409,464",,,,,RRBI
33,,2019-05-07 17:43:48,2019-05-07,RRBI,Torbett Harrie Lindsey,Dir,S - Sale,$42.30,-7000,76180,-8%,"-$296,100",,,,,RRBI
