,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-10-01 06:02:26,2021-09-30,SAFT,Whitford Christopher Thomas,"VP, CFO, Secretary",S - Sale,$79.80,-200,11883,-2%,"-$15,959",,,,,SAFT
1,,2021-09-23 06:10:20,2021-09-22,SAFT,McKeown Ann Marie,V.P Insurance Operations,S - Sale,$79.01,-3390,21092,-14%,"-$267,844",,,,,SAFT
2,,2021-06-08 15:13:49,2021-06-07,SAFT,Manning Peter J,Dir,S - Sale,$83.14,-3000,6000,-33%,"-$249,420",,,,,SAFT
3,,2021-03-17 16:01:33,2021-03-15,SAFT,Hiltpold Glenn,VP of Actuarial Services,P - Purchase,$84.38,+27,6084,0%,"+$2,278",,,,,SAFT
4,M,2021-03-02 20:29:49,2021-02-26,SAFT,Berry James,VP - Underwriting,S - Sale,$80.39,-4026,26169,-13%,"-$323,630",,,,,SAFT
5,M,2021-03-02 20:22:56,2021-02-26,SAFT,Varga Stephen Albert,VP - MIS,S - Sale,$80.36,-1641,24833,-6%,"-$131,869",,,,,SAFT
6,M,2021-03-02 20:20:56,2021-02-23,SAFT,Whitford Christopher Thomas,"VP, CFO, Secretary",S - Sale,$81.62,-299,12083,-2%,"-$24,405",,,,,SAFT
7,M,2020-11-25 13:35:21,2020-11-24,SAFT,Lindeberg Frederic H,Dir,P - Purchase,$74.50,"+2,800",24800,+13%,"+$208,600",,,,,SAFT
8,,2020-11-06 17:46:09,2020-11-04,SAFT,Srb Corp,10%,P - Purchase,$69.97,+650,1674782,0%,"+$45,478",,,,,SAFT
9,,2020-11-03 18:14:14,2020-10-30,SAFT,Srb Corp,10%,P - Purchase,$69.91,"+43,378",1674132,+3%,"+$3,032,712",,,,,SAFT
10,M,2020-10-29 21:33:36,2020-10-27,SAFT,Srb Corp,10%,P - Purchase,$68.98,"+48,559",1630754,+3%,"+$3,349,629",,,,,SAFT
11,,2020-10-22 19:53:40,2020-10-20,SAFT,Srb Corp,10%,P - Purchase,$68.00,+100,1582195,0%,"+$6,800",,,,,SAFT
12,,2020-09-25 16:46:14,2020-09-25,SAFT,Lindeberg Frederic H,Dir,P - Purchase,$67.93,"+2,000",22000,+10%,"+$135,860",,,,,SAFT
13,,2020-09-11 17:06:23,2020-09-11,SAFT,Lindeberg Frederic H,Dir,P - Purchase,$70.18,"+1,000",20000,+5%,"+$70,180",,,,,SAFT
14,,2020-09-02 07:31:15,2020-09-01,SAFT,Lindeberg Frederic H,Dir,P - Purchase,$71.58,"+1,000",19000,+6%,"+$71,580",,,,,SAFT
15,,2020-03-30 07:42:20,2020-03-27,SAFT,Lindeberg Frederic H,Dir,P - Purchase,$76.15,"+1,000",18000,+6%,"+$76,150",,,,,SAFT
16,,2020-03-24 19:44:21,2020-03-23,SAFT,Srb Corp,10%,P - Purchase,$66.82,+862,1582095,0%,"+$57,599",,,,,SAFT
17,,2020-03-23 12:07:30,2020-03-20,SAFT,Srb Corp,10%,P - Purchase,$71.32,"+17,590",1581233,+1%,"+$1,254,519",,,,,SAFT
18,,2020-03-19 21:47:13,2020-03-18,SAFT,Srb Corp,10%,P - Purchase,$73.75,"+17,110",1563643,+1%,"+$1,261,863",,,,,SAFT
19,,2020-03-03 16:55:11,2020-03-02,SAFT,Berry James,VP - Underwriting,S - Sale,$81.39,-3599,27243,-12%,"-$292,935",,,,,SAFT
20,,2019-11-26 06:18:20,2019-11-25,SAFT,Varga Stephen Albert,VP - MIS,S - Sale,$98.25,-900,19428,-4%,"-$88,425",,,,,SAFT
21,M,2019-03-26 14:18:05,2019-03-22,SAFT,Krupa David E,VP - Claims Operations,S - Sale,$86.91,-3588,86709,-4%,"-$311,834",,,,,SAFT
22,,2019-03-22 06:21:07,2019-03-20,SAFT,Manning Peter J,Dir,S - Sale,$87.81,-1000,7000,-13%,"-$87,810",,,,,SAFT
23,,2018-09-28 14:01:02,2018-09-07,SAFT,Berry James,VP - Underwriting,S - Sale,$98.02,-5130,30514,-14%,"-$502,843",,,,,SAFT
24,,2018-09-13 08:15:22,2018-09-10,SAFT,McKown David D,Dir,S - Sale,$96.53,-1235,4500,-22%,"-$119,217",,,,,SAFT
25,,2018-09-11 14:47:51,2018-09-06,SAFT,McKown David D,Dir,S - Sale,$98.67,-3765,5735,-40%,"-$371,510",,,,,SAFT
26,,2018-08-07 16:49:27,2018-08-07,SAFT,Lindeberg Frederic H,Dir,S - Sale,$92.45,-1000,15000,-6%,"-$92,450",,,,,SAFT
27,,2018-06-07 14:06:00,2018-06-06,SAFT,Lindeberg Frederic H,Dir,S - Sale,$88.36,-2000,16000,-11%,"-$176,720",,,,,SAFT
28,,2018-05-14 06:15:24,2018-05-11,SAFT,Lindeberg Frederic H,Dir,S - Sale,$83.17,-2000,18000,-10%,"-$166,340",,,,,SAFT
29,,2017-12-29 16:27:54,2017-12-28,SAFT,Krupa David E,VP - Claims Operations,S - Sale,$80.30,-7000,87374,-7%,"-$562,100",,,,,SAFT
30,,2017-12-21 14:12:05,2017-12-21,SAFT,Brussard David F,Dir,S - Sale,$80.01,-451,359566,0%,"-$36,085",,,,,SAFT
31,M,2017-12-19 21:12:54,2017-12-14,SAFT,Brussard David F,Dir,S - Sale,$81.36,-14549,360017,-4%,"-$1,183,741",,,,,SAFT
