,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-29 16:22:26,2021-09-28,SCHL,Hukkanen Paul,Chief Accounting Officer,S - Sale,$35.36,-1301,2139,-38%,"-$46,003",,,,,SCHL
1,,2021-04-08 17:20:56,2021-04-06,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$31.72,-250,4067957,0%,"-$7,929",,,,,SCHL
2,,2020-01-06 16:55:18,2019-12-24,SCHL,Alonso Andres A,Dir,S - Sale,$39.03,-1398,3714,-27%,"-$54,564",,,,,SCHL
3,,2019-04-16 16:54:24,2019-04-16,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$40.69,-1000,4011018,0%,"-$40,690",,,,,SCHL
4,,2019-03-28 16:30:33,2019-03-27,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$39.95,-500,4013018,0%,"-$19,973",,,,,SCHL
5,,2019-01-22 16:54:07,2019-01-18,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale,$41.65,-3587,12748,-22%,"-$149,388",,,,,SCHL
6,,2019-01-08 17:09:08,2019-01-07,SCHL,Hedden Andrews S,"EVP, GC",S - Sale,$40.96,-2000,42592,-4%,"-$81,920",,,,,SCHL
7,,2018-10-31 17:26:06,2018-10-30,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale,$42.01,-2500,16335,-13%,"-$105,013",,,,,SCHL
8,,2018-10-02 17:34:12,2018-10-01,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$45.76,-2000,8796330,0%,"-$91,520",,,,,SCHL
9,D,2018-10-02 16:37:14,2018-10-01,SCHL,Davies John L,Dir,S - Sale+OE,$46.13,-6634,1253,-84%,"-$306,058",,,,,SCHL
10,,2018-10-02 16:34:49,2018-10-01,SCHL,Hukkanen Paul,Chief Accounting Officer,S - Sale,$45.69,-207,1925,-10%,"-$9,458",,,,,SCHL
11,D,2018-10-01 16:02:17,2018-09-27,SCHL,Boyko Alan J,"Pres, Schl Book Fairs",S - Sale+OE,$45.07,-12953,47631,-21%,"-$583,838",,,,,SCHL
12,D,2018-08-22 16:24:58,2018-08-21,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale+OE,$41.54,-18517,14269,-56%,"-$769,235",,,,,SCHL
13,D,2018-08-21 17:10:34,2018-08-17,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale+OE,$41.31,-28177,14269,-66%,"-$1,164,013",,,,,SCHL
14,,2018-08-15 18:18:05,2018-08-14,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$41.03,-500,4410702,0%,"-$20,515",,,,,SCHL
15,D,2018-05-11 16:13:43,2018-05-09,SCHL,Boyko Alan J,"Pres, Schl Book Fairs",S - Sale+OE,$43.00,-8853,41884,-17%,"-$380,679",,,,,SCHL
16,,2018-04-24 16:28:24,2018-04-20,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$41.70,-1500,4411598,0%,"-$62,550",,,,,SCHL
17,,2018-04-24 16:24:08,2018-04-20,SCHL,Davies John L,Dir,S - Sale,$41.55,-1089,1398,-44%,"-$45,248",,,,,SCHL
18,DM,2018-04-17 17:07:36,2018-04-13,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$40.31,-33000,4414598,-1%,"-$1,330,350",,,,,SCHL
19,M,2018-04-16 16:10:11,2018-04-12,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale,$40.02,-3000,14269,-17%,"-$120,070",,,,,SCHL
20,D,2018-04-12 17:20:20,2018-04-10,SCHL,Hedden Andrews S,"EVP, GC",S - Sale+OE,$39.03,-30500,32618,-48%,"-$1,190,415",,,,,SCHL
21,DM,2018-04-12 17:19:39,2018-04-10,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$39.61,-83860,8710056,-1%,"-$3,321,631",,,,,SCHL
22,DM,2018-04-10 16:19:00,2018-04-06,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$38.63,-37077,8710056,0%,"-$1,432,184",,,,,SCHL
23,DM,2018-04-06 16:30:55,2018-04-04,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$38.48,-41745,8710056,0%,"-$1,606,396",,,,,SCHL
24,DM,2018-04-04 16:12:13,2018-04-02,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$38.46,-8769,8710056,0%,"-$337,240",,,,,SCHL
25,D,2018-04-02 16:48:30,2018-03-29,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale+OE,$39.23,-1200,8710056,0%,"-$47,071",,,,,SCHL
26,D,2018-04-02 16:37:45,2018-03-29,SCHL,Hedden Andrews S,"EVP, GC",S - Sale+OE,$39.08,-2000,32618,-6%,"-$78,160",,,,,SCHL
27,,2018-01-17 16:58:41,2018-01-16,SCHL,Newman Judith,"EVP, Pres, Book Clubs",S - Sale,$39.36,-2500,17269,-13%,"-$98,395",,,,,SCHL
28,,2017-12-20 18:39:12,2017-12-18,SCHL,Robinson Richard,"CEO, COB, Pres, 10%",S - Sale,$40.33,-3500,4391474,0%,"-$141,155",,,,,SCHL
