,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-10 16:08:31,2021-12-09,SGMO,Biogen Inc.,10%,S - Sale,$8.56,-23660,24237017,0%,"-$202,541",,,,,SGMO
1,M,2021-12-09 16:08:53,2021-12-07,SGMO,Biogen Inc.,10%,S - Sale,$8.59,-127992,24260677,-1%,"-$1,099,265",,,,,SGMO
2,M,2021-12-03 16:09:21,2021-12-01,SGMO,Biogen Inc.,10%,S - Sale,$8.51,-2604,24388669,0%,"-$22,166",,,,,SGMO
3,,2021-11-30 16:20:45,2021-11-26,SGMO,Biogen Inc.,10%,S - Sale,$8.60,-28884,24391273,0%,"-$248,434",,,,,SGMO
4,D,2021-03-25 19:19:47,2021-03-23,SGMO,Loeb Gary,"EVP, GC, Sec.",S - Sale+OE,$13.13,-17524,83238,-17%,"-$230,042",,,,,SGMO
5,,2021-01-06 16:27:10,2020-12-31,SGMO,Ramelmeier Rolf Andrew,"EVP, Technical Operations",S - Sale,$16.74,-2464,65978,-4%,"-$41,247",,,,,SGMO
6,,2020-12-30 19:51:40,2020-12-24,SGMO,Ramelmeier Rolf Andrew,"EVP, Technical Operations",S - Sale,$18.13,-3331,68442,-5%,"-$60,391",,,,,SGMO
7,D,2020-12-18 19:18:23,2020-12-17,SGMO,Ramasastry Saira,Dir,S - Sale+OE,$13.27,-10000,15000,-40%,"-$132,747",,,,,SGMO
8,D,2020-03-20 17:00:12,2020-03-19,SGMO,Dilly Stephen George,Dir,S - Sale+OE,$6.00,-35000,5000,-88%,"-$210,000",,,,,SGMO
9,,2020-03-19 19:55:10,2020-03-18,SGMO,Parker H Stewart,Dir,P - Purchase,$5.20,"+3,000",13000,+30%,"+$15,585",,,,,SGMO
10,,2020-03-19 17:00:15,2020-03-17,SGMO,Zakrzewski Joseph S,Dir,P - Purchase,$4.99,"+5,000",30000,+20%,"+$24,950",,,,,SGMO
11,D,2020-03-18 21:09:23,2020-03-16,SGMO,Dilly Stephen George,Dir,S - Sale+OE,$6.02,-15000,5000,-75%,"-$90,261",,,,,SGMO
12,M,2020-03-13 17:41:46,2020-03-12,SGMO,Zakrzewski Joseph S,Dir,P - Purchase,$6.15,"+20,000",25000,+400%,"+$123,000",,,,,SGMO
13,D,2019-05-17 17:41:40,2019-05-15,SGMO,Yi Kathy,"EVP, CFO",S - Sale+OE,$10.00,-5000,25512,-16%,"-$50,000",,,,,SGMO
14,D,2019-04-16 19:27:45,2019-04-15,SGMO,Yi Kathy,"EVP, CFO",S - Sale+OE,$12.11,-5000,25512,-16%,"-$60,550",,,,,SGMO
15,D,2019-03-18 19:35:20,2019-03-15,SGMO,Yi Kathy,"EVP, CFO",S - Sale+OE,$10.00,-5000,25512,-16%,"-$50,000",,,,,SGMO
16,D,2019-03-05 20:21:54,2019-03-01,SGMO,Yi Kathy,"EVP, CFO",S - Sale+OE,$10.00,-5000,25512,-16%,"-$50,000",,,,,SGMO
17,D,2019-01-16 16:08:37,2019-01-15,SGMO,Yi Kathy,"SVP, CFO",S - Sale+OE,$11.04,-5000,7250,-41%,"-$55,200",,,,,SGMO
18,D,2019-01-08 17:38:25,2019-01-07,SGMO,Conner Edward R.,"SVP, Chief Medical Officer",S - Sale+OE,$12.33,-5000,12125,-29%,"-$61,631",,,,,SGMO
19,D,2018-12-18 17:35:40,2018-12-17,SGMO,Yi Kathy,"SVP, CFO",S - Sale+OE,$11.44,-5000,7250,-41%,"-$57,200",,,,,SGMO
