,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 19:51:53,2021-12-14,SNCY,Trousdale William,"VP-Fin. Plan., Anlys, Treas.",S - Sale+OE,$25.79,-3309,1127,-75%,"-$85,354",,,,,SNCY
1,D,2021-12-16 19:51:10,2021-12-15,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$24.90,-1000,1337,-43%,"-$24,898",,,,,SNCY
2,D,2021-12-16 19:50:22,2021-12-15,SNCY,Trousdale William,"VP-Fin. Plan., Anlys, Treas.",S - Sale+OE,$24.90,-3309,1127,-75%,"-$82,378",,,,,SNCY
3,D,2021-12-15 15:40:14,2021-12-13,SNCY,Trousdale William,"VP-Fin. Plan., Anlys, Treas.",S - Sale+OE,$26.08,-3309,31127,-10%,"-$86,314",,,,,SNCY
4,D,2021-12-10 14:32:45,2021-12-08,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$28.32,-1000,1337,-43%,"-$28,318",,,,,SNCY
5,D,2021-12-03 12:15:22,2021-12-01,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$27.81,-1000,1337,-43%,"-$27,806",,,,,SNCY
6,D,2021-11-29 16:21:41,2021-11-24,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$28.58,-1000,1337,-43%,"-$28,584",,,,,SNCY
7,D,2021-11-19 15:56:12,2021-11-17,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$30.66,-3000,1337,-69%,"-$91,980",,,,,SNCY
8,,2021-11-18 19:30:12,2021-11-16,SNCY,"Sca Horus Holdings, LLC","Dir, 10%",S - Sale,$31.28,-242523,24869997,-1%,"-$7,586,435",,,,,SNCY
9,,2021-11-18 18:47:06,2021-11-16,SNCY,Siegel David N,Dir,S - Sale,$31.28,-30000,175341,-15%,"-$938,439",,,,,SNCY
10,D,2021-11-18 18:46:10,2021-11-16,SNCY,Bricker Jude,CEO,S - Sale+OE,$31.28,-162768,77232,-68%,"-$5,091,595",,,,,SNCY
11,D,2021-11-12 07:16:47,2021-11-10,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$31.43,-3000,1337,-69%,"-$94,302",,,,,SNCY
12,D,2021-11-09 21:06:34,2021-11-05,SNCY,Levenhagen Eric,"Chief Admin. Officer, GC, Sec.",S - Sale+OE,$32.45,-53224,1337,-98%,"-$1,727,128",,,,,SNCY
13,D,2021-11-05 09:22:18,2021-11-03,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$31.16,-3000,1337,-69%,"-$93,474",,,,,SNCY
14,D,2021-10-29 15:23:56,2021-10-27,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$31.01,-3000,1337,-69%,"-$93,021",,,,,SNCY
15,D,2021-10-28 19:27:23,2021-10-26,SNCY,Levenhagen Eric,"Chief Admin. Officer, GC, Sec.",S - Sale+OE,$32.05,-5036,1337,-79%,"-$161,393",,,,,SNCY
16,D,2021-10-22 20:27:08,2021-10-20,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$31.69,-3000,1337,-69%,"-$95,065",,,,,SNCY
17,D,2021-10-22 20:25:39,2021-10-20,SNCY,Levenhagen Eric,"Chief Admin. Officer, GC, Sec.",S - Sale+OE,$32.05,-3604,1337,-73%,"-$115,502",,,,,SNCY
18,D,2021-10-21 18:25:23,2021-10-19,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$31.58,-3000,1337,-69%,"-$94,752",,,,,SNCY
19,D,2021-10-21 18:24:20,2021-10-19,SNCY,Levenhagen Eric,"Chief Admin. Officer, GC, Sec.",S - Sale+OE,$32.00,-200,1337,-13%,"-$6,400",,,,,SNCY
20,,2021-10-21 16:05:27,2021-10-19,SNCY,"Sca Horus Holdings, LLC","Dir, 10%",S - Sale,$31.28,-7450000,25112520,-23%,"-$233,045,685",,,,,SNCY
21,,2021-10-19 18:11:45,2021-10-19,SNCY,Bricker Jude,CEO,S - Sale,$31.28,-1050000,77232,-93%,"-$32,845,365",,,,,SNCY
22,D,2021-10-08 21:04:51,2021-10-06,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$35.29,-3000,1337,-69%,"-$105,862",,,,,SNCY
23,D,2021-10-06 15:54:25,2021-10-05,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$36.28,-5063,1337,-79%,"-$183,661",,,,,SNCY
24,D,2021-10-06 15:53:42,2021-10-05,SNCY,Gyurci John,"Chief Acct. Officer, VP, Finan",S - Sale+OE,$36.21,-7953,1035,-88%,"-$288,004",,,,,SNCY
25,D,2021-09-30 17:20:46,2021-09-29,SNCY,Davis Brian Edward,"CMO, SVP",S - Sale+OE,$33.23,-3000,1337,-69%,"-$99,689",,,,,SNCY
