,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2018-05-25 12:04:55,2018-05-24,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$37.11,"+20,000",8156960,0%,"+$742,200",,,,,SOHU
1,,2018-05-25 12:03:38,2018-05-24,SOHU,Photon Group Ltd,10%,P - Purchase,$37.11,"+20,000",8088260,0%,"+$742,200",,,,,SOHU
2,D,2018-05-24 21:33:05,2018-05-23,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.54,"+20,000",8136960,0%,"+$730,800",,,,,SOHU
3,,2018-05-24 21:31:28,2018-05-23,SOHU,Photon Group Ltd,10%,P - Purchase,$36.54,"+20,000",8068260,0%,"+$730,800",,,,,SOHU
4,D,2018-05-22 10:56:17,2018-05-21,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.93,"+10,000",8116960,0%,"+$369,300",,,,,SOHU
5,,2018-05-22 10:53:42,2018-05-21,SOHU,Photon Group Ltd,10%,P - Purchase,$36.93,"+10,000",8048260,0%,"+$369,300",,,,,SOHU
6,D,2018-05-21 09:56:36,2018-05-18,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.23,"+30,000",8106960,0%,"+$1,086,900",,,,,SOHU
7,,2018-05-21 09:53:47,2018-05-18,SOHU,Photon Group Ltd,10%,P - Purchase,$36.23,"+30,000",8038260,0%,"+$1,086,900",,,,,SOHU
8,DM,2018-05-18 10:41:20,2018-05-16,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.78,"+20,000",8076960,0%,"+$735,600",,,,,SOHU
9,M,2018-05-18 10:38:51,2018-05-16,SOHU,Photon Group Ltd,10%,P - Purchase,$36.78,"+20,000",8008260,0%,"+$735,600",,,,,SOHU
10,DM,2018-05-16 11:26:23,2018-05-14,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.53,"+16,500",8056960,0%,"+$602,690",,,,,SOHU
11,M,2018-05-16 11:23:39,2018-05-14,SOHU,Photon Group Ltd,10%,P - Purchase,$36.53,"+16,500",7988260,0%,"+$602,690",,,,,SOHU
12,DM,2018-05-14 09:33:50,2018-05-10,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$36.03,"+20,000",8040460,0%,"+$720,600",,,,,SOHU
13,M,2018-05-14 09:32:09,2018-05-10,SOHU,Photon Group Ltd,10%,P - Purchase,$36.03,"+20,000",7971760,0%,"+$720,600",,,,,SOHU
14,DM,2018-05-10 08:29:30,2018-05-08,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$35.34,"+100,000",8020460,+1%,"+$3,533,500",,,,,SOHU
15,M,2018-05-10 08:27:24,2018-05-08,SOHU,Photon Group Ltd,10%,P - Purchase,$35.34,"+100,000",7951760,+1%,"+$3,533,500",,,,,SOHU
16,DM,2018-05-02 11:09:41,2018-04-30,SOHU,Zhang Charles,"CEO, 10%",P - Purchase,$30.89,"+128,940",7920460,+2%,"+$3,983,513",,,,,SOHU
17,M,2018-05-02 11:08:26,2018-04-30,SOHU,Photon Group Ltd,10%,P - Purchase,$30.89,"+128,940",7851760,+2%,"+$3,983,513",,,,,SOHU
